 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             283.904              11.590             266.301              30.593              -1.031              -1.319
               0.000             283.430              10.993             263.416              24.886              -3.474              -1.703
               0.000             286.511              12.820             264.636              21.635              -2.582              -0.990
               0.134             286.894              13.564             268.406              29.641               0.009               0.850
              45.516             285.690              14.680             277.222              63.555              -2.408               3.432
              19.884             283.965              14.717             282.441              91.150              -2.407               2.591
               0.000             285.053              15.200             282.027              82.359              -1.120               0.681
               0.328             285.690              15.877             283.037              84.511              -0.622               0.164
               0.602             285.550              15.684             282.546              83.283               0.722               0.141
               0.000             285.252              14.875             280.309              73.386               0.460              -0.343
               0.406             285.704              14.933             279.645              67.780               0.726               0.854
               0.483             285.639              15.899             282.900              85.693               0.985               1.454
               0.000             285.324              13.608             274.335              49.604               0.198              -2.400
              12.904             286.174              14.205             274.823              48.855              -2.731              -0.628
              22.017             280.987              11.641             277.313              78.126              -2.505               1.782
               5.283             281.337              11.890             277.577              77.460              -2.748               0.705
               6.123             282.410              12.768             278.678              77.907              -1.383              -0.162
               2.246             281.772              12.111             277.322              74.633               0.617               1.285
               0.090             282.414              12.655             277.901              75.384               0.439              -0.063
               0.131             283.762              12.373             272.887              48.061              -0.146              -1.756
               0.000             285.980              13.778             273.778              44.031              -0.232              -0.272
               0.000             284.767              14.417             279.472              72.383               1.372               0.723
               0.000             283.199              13.268             278.645              74.979              -0.443               0.365
               0.205             284.223              13.666             277.871              66.488              -0.564               0.448
               0.000             282.441              12.894             278.753              80.106               2.512               1.789
               0.000             280.635              10.747             273.176              62.953               2.507              -1.863
               0.000             281.040              10.376             270.047              46.900               0.641              -1.051
               2.951             280.640              11.274             276.178              75.815               2.827               0.794
               0.000             278.751               9.240             270.843              59.433               2.253              -1.271
              18.638             279.654              10.334             274.374              71.100              -1.421               2.319
              78.173             278.980              10.327             276.559              84.825              -1.781               4.213
              21.044             280.351              10.961             275.861              73.595               0.216               3.228
               6.044             280.240              10.850             275.646              72.943               0.649               2.201
               0.183             279.854              10.496             274.598              71.396              -1.372              -2.225
               0.000             280.706              10.169             269.637              47.542              -1.141              -3.508
               0.000             283.024              11.384             269.046              38.563               0.573              -3.353
               0.038             285.518              13.147             271.659              38.858               0.204              -0.978
               0.000             286.689              14.882             277.213              53.553               0.129              -0.249
               0.000             285.240              14.377             278.125              64.587              -0.344              -0.266
               0.025             287.585              15.383             277.044              50.428               0.113              -0.320
               0.064             288.269              15.102             273.959              38.334              -0.275              -0.448
               0.029             287.596              15.271             276.548              48.560              -0.411              -0.214
               0.010             287.613              14.984             275.114              43.930              -0.820              -0.120
               0.248             287.203              14.890             275.718              47.290              -0.583               0.192
               7.911             285.105              14.879             280.461              75.688              -0.257               0.731
               0.000             283.755              13.447             278.278              69.517               1.867               0.094
               0.000             283.314              13.318             278.643              74.091               1.299               0.578
               0.092             283.892              13.575             278.334              69.885               0.878              -0.243
               0.070             284.576              13.792             277.515              63.563               0.715               0.100
               2.521             284.462              14.597             280.792              80.572               0.367               0.636
               2.437             283.806              14.281             281.299              85.255               0.597               1.272
              30.611             284.009              14.716             282.305              90.378               1.881               3.596
               1.168             282.289              12.462             277.577              73.333               2.447               1.778
               7.713             281.292              11.707             276.864              74.006               1.656               1.370
               0.057             282.974              12.652             276.634              65.862              -0.285              -0.585
               0.058             288.139              15.420             275.681              44.505              -1.465              -1.005
               0.041             285.805              14.887             278.944              65.526               2.127               0.467
               0.000             284.373              13.597             276.936              62.896               2.074              -1.534
               2.058             285.125              14.266             277.995              64.250               0.444               0.871
               7.481             282.351              13.125             280.125              86.755              -0.324               0.377
               1.848             281.644              11.888             276.152              71.822               2.573              -0.675
               0.169             283.427              13.014             276.876              66.056               0.382               0.313
               0.079             286.169              15.247             279.583              66.606               0.553              -0.444
               0.000             290.694              17.508             278.221              45.925              -0.424              -2.027
               0.000             292.803              18.308             276.773              35.853              -0.826              -2.189
               0.222             294.216              19.558             278.566              37.417              -0.676              -1.510
               0.000             291.733              18.328             279.375              45.763               0.321               0.882
               0.000             288.452              16.718             280.196              60.013              -0.350               0.898
               0.019             286.777              16.200             281.261              73.928               0.088               0.589
               0.091             289.088              17.160             280.539              58.766               0.974               0.104
               0.000             289.459              17.241             280.214              55.622               0.555               0.165
               1.071             286.384              16.364             283.080              82.316              -0.246               1.327
               0.029             286.182              16.024             282.508              79.579               0.935               0.384
               1.195             286.224              15.925             282.076              77.299               1.105               1.042
               2.042             284.375              14.484             280.675              79.810               2.128               1.744
              20.043             283.104              13.566             280.067              82.767               2.479               2.040
               6.628             282.195              12.419             277.695              74.033              -0.246               1.089
              20.866             280.462              11.249             276.930              78.630               0.358               1.874
               1.197             280.259              11.011             276.367              76.641              -2.284               1.114
               0.661             282.342              12.432             277.441              71.757              -0.788               0.804
               0.000             283.593              13.394             278.376              71.062              -0.405               1.567
               0.000             282.889              12.476             276.021              63.550               0.532              -0.682
               0.005             284.107              13.385             276.977              62.821               0.719              -0.807
               0.050             285.328              14.531             278.934              66.086               0.512               0.735
               0.000             283.650              14.021             280.559              82.706              -0.144               1.206
              52.455             282.074              12.420             278.040              76.180              -2.055               3.986
              11.118             282.040              12.560             278.658              79.917              -1.493               2.774
               2.544             282.195              12.508             278.072              75.999               0.111               1.833
               0.000             283.557              13.318             278.234              70.104               0.629              -0.129
               0.037             283.107              13.280             278.784              76.764               0.664               0.221
               0.000             286.817              14.954             277.350              53.102               1.082              -0.555
               0.000             286.930              15.629             279.322              62.578               1.382              -0.294
               0.000             287.431              16.027             279.493              62.353               0.359              -0.604
               0.000             290.476              17.097             277.356              42.866              -0.220              -0.723
               0.000             292.487              19.261             281.374              49.403               0.243               0.175
               0.000             288.233              17.293             282.575              71.247               0.724               1.561
               0.033             285.764              16.007             283.066              85.632               0.536               1.712
               0.000             285.901              16.064             283.065              84.513               1.136               0.819
               0.000             286.210              16.576             284.080              88.514               0.471               2.004
               0.000             285.383              14.947             279.829              72.734               3.180               0.058
               0.000             286.717              15.425             279.132              62.092               3.579              -0.795
               0.127             288.874              17.485             282.074              65.932               1.546              -0.500
               0.000             293.016              19.817             282.096              50.603               0.600              -0.488
               0.017             293.175              19.874             281.840              49.749               0.602              -0.128
               0.000             291.151              19.265             283.437              63.089               0.672               0.998
               0.095             287.839              17.563             284.046              80.588               0.855               1.801
               0.000             286.843              16.758             283.541              82.077               1.524               2.324
               0.000             285.330              14.671             279.045              68.564               2.227               0.440
               0.085             286.113              14.700             277.446              58.070               1.246               0.100
               0.000             288.388              16.005             277.776              50.320               0.416               0.515
               0.000             288.819              16.741             279.673              55.976               0.730               0.949
               0.114             287.065              16.666             282.549              77.406               0.960               1.368
               0.025             286.842              16.446             282.384              77.012               1.931               1.859
               0.000             287.174              16.245             280.822              69.176               1.647               0.784
               0.000             289.083              17.264             280.647              60.289               0.891               0.611
               0.000             290.595              18.697             282.695              62.112               1.760               1.216
