ID,Lat,Lon,All-Analogs
1,39.5096,-76.1641,Aberdeen-MD
2,35.0844,-106.6504,Albuquerque
3,39.7294,-104.8319,Aurora
4,30.2672,-97.7431,Austin
5,30.0041,-120.1290,Avenal-CA
6,32.7562,-91.8723,Bastrop-LA
7,35.6678,-101.3974,Borger-TX
8,42.3601,-71.0589,Boston
9,33.3703,-112.5838,Buckeye-AZ
10,35.1359,-114.5286,Bullhead-City-AZ
11,26.5629,-81.9495,Cape-Coral-FL
12,35.2271,-80.8431,Charlotte
13,39.8496,-75.3557,Chester-PA
14,41.8781,-87.6298,Chicago
15,32.6401,-117.0842,Chula-Vista
16,39.1031,-84.5120,Cincinnati
17,22.7422,-98.9747,Ciudad-Mante-Mexico
18,34.2001,-90.5709,Clarksdale-MS
19,41.4993,-81.6944,Cleveland
20,38.8339,-104.8214,Colorado-Springs
21,39.9612,-82.9988,Columbus
22,39.7392,-104.9903,Denver
23,35.8654,-101.9732,Dumas-TX
24,35.9940,-78.8986,Durham
25,31.7619,-106.4850,El-Paso
26,36.3956,-97.8784,Enid-OK
27,27.5800,-109.9298,Esperanza-Mexico
28,37.9716,-87.5711,Evansville-IN
29,33.1507,-96.8236,Frisco-TX
30,33.6259,-97.1333,Gainsville-TX
31,33.5387,-112.1860,Glendale
32,36.0726,-79.7920,Greensboro
33,32.2879,-115.1046,Guadaloupe-Victoria-Mexico
34,37.5645,-97.3523,Haysville-KS
35,29.0730,-110.9559,Hermosillo-Mexico
36,30.7235,-95.5508,Huntsville-TX
37,37.1753,-113.2899,Hurricane-UT
38,39.7684,-86.1481,Indianapolis
39,26.5204,-81.9640,Iona-FL
40,41.6611,-91.5302,Iowa-City-IA
41,35.8423,-90.7043,Jonesboro-AK
42,39.0997,-94.5786,Kansas-City
43,36.2362,-90.0556,Kennett-MO
44,39.1071,-76.4850,Lake-Shore-MD
45,39.2486,-94.9002,Lansing-KS
46,22.9410,-109.9452,Las-Palmas-Mexico
47,36.1699,-115.1398,Las-Vegas
48,35.5942,-105.2228,Las-Vegas-NM
49,34.6036,-98.9590,Lawton-OK
50,38.8916,-121.2930,Lincoln-CA
51,34.0522,-118.2437,Los-Angeles
52,38.2527,-85.7585,Louisville
53,43.0731,-89.4012,Madison
54,33.0581,-112.0476,Maricopa-AZ
55,36.8055,-114.0672,Mesquite-NV
56,25.7617,-80.1918,Miami
57,45.4465,-122.6323,Milwaukie-OR
58,44.9778,-93.2650,Minneapolis
59,32.5093,-92.1193,Monroe-LA
60,34.0625,-118.1228,Monterey-Park-CA
61,35.7479,-95.3697,Muskogee-OK
62,31.7607,-93.0863,Natchitoches-LA
63,40.7128,-74.0060,New-York-City
64,37.4779,-99.5496,Nuevo-Laredo-Mexico
65,35.4197,-119.0195,Oildale-CA
66,35.4676,-97.5164,Oklahoma-City
67,41.2565,-95.9345,Omaha
68,28.5383,-81.3792,Orlando
69,33.8006,-118.3901,Palos-Verdes-Estates-CA
70,33.4484,-112.0740,Phoenix
71,45.5051,-122.6750,Portland
72,33.2362,-98.8011,Prosper-TX
73,38.2544,-104.6091,Pueblo-CO
74,35.7796,-78.7382,Raleigh
75,40.3084,-88.1559,Rantoul-IL
76,39.5296,-119.8138,Reno
77,39.3201,-76.5155,Rosedale-MD
78,38.5816,-121.4944,Sacramento
79,44.9537,-93.0900,Saint-Paul
80,29.4241,-98.4936,San-Antonio
81,16.3296,-95.2254,San-Blas-Atempa-Mexico
82,32.7157,-117.1611,San-Diego
83,37.7749,-122.4194,San-Francisco
84,33.7455,-117.8677,Santa-Ana
85,47.6062,-122.3321,Seattle
86,40.9667,-82.6005,Shiloh-OH
87,36.8767,-89.5879,Sikeston-MO
88,31.6546,-106.3033,Socorro-TX
89,33.9547,-118.2120,South-Gate-CA
90,39.6491,-119.7074,Spanish-Springs-NV
91,30.0799,-95.4172,Spring-TX
92,38.6270,-90.1994,St.-Louis
93,27.7676,-82.6403,St.-Petersburg
94,37.9577,-121.2908,Stockton
95,33.1384,-95.6011,Sulphur-Springs-TX
96,30.4383,-84.2807,Tallahassee-FL
97,27.9506,-82.4572,Tampa
98,32.2226,-110.9747,Tucson
99,36.1540,-95.9928,Tulsa
100,33.2098,-87.5692,Tuscaloosa-AL
101,33.9400,-118.3047,Westmont-CA
102,37.6872,-97.3301,Wichita
103,22.3287,-79.2367,Yaguajay-Cuba
