year,month,wateruse,elecuse
2007,1,2279.371527,0.734944324
2007,2,1837.286441,0.598323501
2007,3,2126.234204,0.583332373
2007,4,2708.236193,0.51555741
2007,5,3018.173227,0.505762315
2007,6,4054.756576,0.589053857
2007,7,4612.896578,0.73711545
2007,8,4034.843086,0.768251057
2007,9,4109.275068,0.662878909
2007,10,3168.805604,0.522139888
2007,11,2577.139131,0.511217689
2007,12,2231.082351,0.644511264
2008,1,2150.038146,0.757396881
2008,2,1984.140076,0.639949708
2008,3,2124.395614,0.580313506
2008,4,2899.660807,0.500641653
2008,5,3497.89824,0.51286509
2008,6,4220.842617,0.611092826
2008,7,4159.620629,0.712438095
2008,8,3908.981177,0.731163615
2008,9,3822.328177,0.590659465
2008,10,3183.71183,0.506572577
2008,11,2520.039228,0.523204614
2008,12,2137.915149,0.64761085
2009,1,2160.252002,0.685644393
2009,2,1961.198338,0.577721544
2009,3,2035.340795,0.58650215
2009,4,2764.295527,0.498671245
2009,5,3402.520404,0.534592456
2009,6,3625.157228,0.573761221
2009,7,3930.541842,0.76996056
2009,8,4470.596474,0.756111224
2009,9,3906.794483,0.56706215
2009,10,3253.247964,0.499075379
2009,11,2435.441313,0.551352019
2009,12,2255.851248,0.759896508
2010,1,2003.791532,0.758959277
2010,2,1677.361608,0.587059499
2010,3,1831.126064,0.58865908
2010,4,2487.933444,0.505119423
2010,5,2908.230938,0.503423452
2010,6,3851.150022,0.652218539
2010,7,4429.434168,0.791650333
2010,8,3186.158948,0.748069615
2010,9,3739.844268,0.641109207
2010,10,2898.8028,0.525078244
2010,11,2227.516217,0.529424911
2010,12,2043.148443,0.694025534
2011,1,1888.373783,0.744351222
2011,2,1743.767652,0.622600614
2011,3,1946.622911,0.539068532
2011,4,2744.687506,0.458728895
2011,5,2923.612768,0.496901672
2011,6,3746.15117,0.644437154
2011,7,4109.647858,0.850328841
2011,8,3700.451045,0.803328395
2011,9,3437.314464,0.601925831
2011,10,2573.541089,0.471514303
2011,11,1991.010799,0.530064536
2011,12,1951.969981,0.736702607
2012,1,1768.22432,0.704450431
2012,2,1660.814879,0.605881004
2012,3,1853.012707,0.580177924
2012,4,2467.179096,0.500581821
2012,5,2875.794866,0.526321294
2012,6,3900.846856,0.671579968
2012,7,3909.413268,0.774113679
2012,8,3585.985885,0.780931922
2012,9,3583.721393,0.616390993
2012,10,2736.247944,0.509745274
2012,11,2414.042288,0.505795176
2012,12,1924.3084,0.634689361
2013,1,1778.643176,0.721085072
2013,2,1668.909249,0.603938711
2013,3,1837.924614,0.568349661
2013,4,2303.675043,0.486624238
2013,5,2950.254986,0.509186631
2013,6,3603.169899,0.656005281
2013,7,3739.963566,0.737633227
2013,8,3083.836189,0.733333776
2013,9,3145.026877,0.616849425
2013,10,2359.328551,0.501604264
2013,11,2134.24658,0.510200928
2013,12,1787.798816,0.652284331
2014,1,1781.221547,0.681140851
2014,2,1642.382519,0.554045922
2014,3,1794.57007,0.521069842
2014,4,2257.432612,0.470559201
2014,5,2752.703542,0.496579521
2014,6,3212.256523,0.621499865
2014,7,3527.831428,0.737847899
2014,8,3097.356379,0.692446941
2014,9,3066.909814,0.607535491
2014,10,2607.296469,0.49943851
2014,11,2135.922633,0.487517323
2014,12,1756.496773,0.600683911
2015,1,1762.60272,0.673119731
2015,2,1572.15749,0.544841267
2015,3,1571.99466,0.530182141
2015,4,2270.678881,0.445717249
2015,5,2496.786152,0.4581503
2015,6,2694.97303,0.597836186
2015,7,3406.013692,0.704641636
2015,8,3082.137592,0.732976417
2015,9,3113.274317,0.625981778
2015,10,2586.403624,0.513396691
2015,11,1972.879484,0.495587499
2015,12,1617.468524,0.618990188
2016,1,1765.075707,0.673237507
2016,2,1505.61905,0.557899908
2016,3,1731.179038,0.492260949
2016,4,2290.554683,0.449767309
2016,5,2373.995257,0.469189149
2016,6,3034.706684,0.625639557
2016,7,3750.695475,0.798695528
2016,8,3303.622982,0.720905495
2016,9,3007.995573,0.573256932
2016,10,2465.030111,0.485479379
2016,11,2068.506298,0.454027649
2016,12,1731.57073,0.595641589
2017,1,1702.318322,0.630047558
2017,2,1502.115186,0.519257578
2017,3,1657.240372,0.495727344
2017,4,2307.297375,0.419935518
2017,5,2416.329074,0.459602957
2017,6,3249.73212,0.652717556
2017,7,3677.908886,0.8289774
2017,8,3064.825555,0.718515314
2017,9,3115.24254,0.558482425
2017,10,2399.437093,0.438128004
2017,11,2083.745182,0.447035364
2017,12,1803.005924,0.570365919
