year,month,wateruse,elecuse
2007,1,4260.189345,0.909375416
2007,2,3881.144114,0.907510659
2007,3,4550.09306,0.73148999
2007,4,4420.644075,0.677633802
2007,5,4560.557499,0.765106984
2007,6,4609.779119,1.036308503
2007,7,4455.91311,1.162621539
2007,8,5672.501024,1.231899138
2007,9,5271.3642,1.3130542
2007,10,5626.76755,1.092453177
2007,11,4891.543825,0.77862437
2007,12,4302.434673,0.798396268
2008,1,4233.395214,0.910769674
2008,2,4249.40193,0.814364098
2008,3,4416.710221,0.704120024
2008,4,4678.534358,0.68423646
2008,5,5137.393544,0.79163733
2008,6,6757.501849,1.233040926
2008,7,6778.844137,1.4126384
2008,8,6499.488835,1.406521627
2008,9,6483.863232,1.320830773
2008,10,5848.54906,1.004358288
2008,11,5109.95346,0.686398021
2008,12,4641.566467,0.732336416
2009,1,4388.9382,0.906175676
2009,2,4048.887694,0.707888463
2009,3,4423.607124,0.653156149
2009,4,4466.021233,0.66380601
2009,5,5086.742492,0.794272349
2009,6,6071.856268,1.114838367
2009,7,6879.199606,1.510758277
2009,8,6684.463525,1.456663482
2009,9,4445.367406,1.379613176
2009,10,3885.501171,0.92356211
2009,11,3694.453273,0.68170961
2009,12,3557.990489,0.753073321
2010,1,3659.656151,0.996727638
2010,2,3106.81916,0.807572384
2010,3,3608.664551,0.807094494
2010,4,4043.010269,0.627808995
2010,5,4954.989538,0.70722292
2010,6,4973.698686,1.097573022
2010,7,4835.030881,1.320967568
2010,8,6098.448662,1.336307442
2010,9,4636.56717,1.398657774
2010,10,4965.261227,0.946498734
2010,11,4262.75105,0.695822483
2010,12,4037.140732,0.735960024
2011,1,3610.998316,0.861825302
2011,2,3500.070316,0.883607695
2011,3,4341.882474,0.701455658
2011,4,5159.611579,0.712735373
2011,5,5404.455947,0.901360225
2011,6,6184.965789,1.213419202
2011,7,6989.558684,1.480531549
2011,8,7398.970579,1.526508285
2011,9,5799.272053,1.687588744
2011,10,5198.290421,1.25765203
2011,11,4247.739632,0.731745243
2011,12,3589.104632,0.710262175
2012,1,3743.611489,0.821771155
2012,2,3351.610286,0.662872895
2012,3,3723.2855,0.683111303
2012,4,4531.6065,0.731211635
2012,5,4596.577069,0.865275261
2012,6,5531.935495,1.175119848
2012,7,5240.475342,1.304355822
2012,8,5976.203525,1.380491347
2012,9,5135.941688,1.048326863
2012,10,4544.310242,0.87143663
2012,11,4416.909851,0.7354813
2012,12,4060.842092,0.658943324
2013,1,3722.990592,0.903327424
2013,2,3478.245049,0.650858068
2013,3,4150.67003,0.617264548
2013,4,3943.440227,0.629996289
2013,5,4334.31851,0.733458256
2013,6,4759.496898,1.071217682
2013,7,4960.652724,1.281405793
2013,8,5455.503201,1.382143153
2013,9,4737.344747,1.331302001
2013,10,4086.000039,0.939581848
2013,11,3531.838964,0.666348718
2013,12,3447.517872,0.827698287
2014,1,3469.109092,0.953645381
2014,2,3180.135148,0.837298127
2014,3,3540.197393,0.693344402
2014,4,3862.93828,0.625428402
2014,5,4228.687589,0.725804534
2014,6,4094.3307,0.969535448
2014,7,4741.945122,1.182203503
2014,8,5421.904722,1.264814877
2014,9,4489.226212,1.271777171
2014,10,4589.105275,0.883404391
2014,11,3650.38426,0.735696102
2014,12,3437.474798,0.67388238
2015,1,3355.520399,0.924136978
2015,2,3024.992112,0.702881457
2015,3,3424.467075,0.772926738
2015,4,3633.039432,0.642859765
2015,5,3554.738182,0.714724847
2015,6,3741.136734,0.915655892
2015,7,4901.796861,1.164157128
2015,8,5753.06311,1.356476651
2015,9,4947.183869,1.228812045
2015,10,4778.801534,0.986848353
2015,11,3609.82623,0.673022294
2015,12,3494.799614,0.656979546
2016,1,3459.020566,0.788015134
2016,2,3327.280858,0.662536201
2016,3,3737.175648,0.602237389
2016,4,3637.176336,0.611732835
2016,5,3702.022306,0.702443386
2016,6,4134.442539,0.962991729
2016,7,5285.287862,1.257832333
2016,8,4665.8382,1.251269783
2016,9,4509.866577,1.131348846
2016,10,4700.991541,0.939524265
2016,11,3824.54706,0.728406151
2016,12,3645.708701,0.671202096
2017,1,3577.971765,0.778240752
2017,2,3321.729802,0.606544223
2017,3,3786.126325,0.610333063
2017,4,3905.167867,0.657589953
2017,5,4405.209598,0.708246426
2017,6,4504.074607,0.959272548
2017,7,5325.932031,1.24565909
2017,8,5023.956594,1.277437346
2017,9,4515.507975,1.111736229
2017,10,4290.539638,0.888489408
2017,11,3904.495316,0.66038109
2017,12,3610.254217,0.636628931
2018,1,3669.282758,0.886987898
2018,2,3160.580714,0.756698272
2018,3,3741.196989,0.600485016
2018,4,3862.821516,0.625545604
2018,5,4487.182853,0.686424275
2018,6,4746.670606,1.143755574
2018,7,5051.891832,1.182926549
2018,8,5579.152387,1.310855678
2018,9,4116.344034,1.235430808
2018,10,3826.367298,0.819261261
2018,11,3492.976903,0.684788243
2018,12,3515.512238,0.662624493
