year,month,wateruse,elecuse
2007,1,4075.814286,1.336614364
2007,2,3809.814286,1.260082889
2007,3,4527.471429,1.042102342
2007,4,4730.514286,0.785176249
2007,5,6072.114286,0.915005804
2007,6,6055.642857,1.191919835
2007,7,6004.128571,1.337694108
2007,8,6682,1.595053735
2007,9,5358.242857,1.260658924
2007,10,4398.628571,0.826202758
2007,11,4068.771429,0.886755037
2007,12,3998.014286,1.190177686
2008,1,3713.786667,1.513776013
2008,2,3350.6,1.126934117
2008,3,3589.08,0.982828611
2008,4,3627.933333,0.800778446
2008,5,4122.293333,0.813138975
2008,6,4683.453333,1.255585851
2008,7,4497.066667,1.418859842
2008,8,4678.986667,1.300442374
2008,9,4195.746667,0.992033128
2008,10,4305.386667,0.795878603
2008,11,3865.12,0.971664977
2008,12,3627.453333,1.372114664
2009,1,3640.497224,1.50919994
2009,2,3192.536393,1.183163573
2009,3,3522.859431,1.103931825
2009,4,3701.915125,0.826075688
2009,5,4175.314703,0.857645609
2009,6,4388.38061,1.134676315
2009,7,4996.259008,1.395529493
2009,8,4776.564325,1.304247725
2009,9,4500.597246,0.989247707
2009,10,4148.58958,0.794611376
2009,11,3779.832771,0.846159441
2009,12,3966.737986,1.429441002
2010,1,4003.029712,1.798179982
2010,2,3557.909989,1.280995307
2010,3,3896.796073,1.152054654
2010,4,4256.577613,0.740874229
2010,5,4693.754996,0.892955313
2010,6,4809.390299,1.318360451
2010,7,5212.189619,1.618681636
2010,8,5035.869673,1.41619376
2010,9,5228.862076,1.120576615
2010,10,5125.624571,0.760245512
2010,11,4271.91989,0.846293019
2010,12,4060.059587,1.651748731
2011,1,3923.08178,1.787443425
2011,2,3195.313315,1.036373982
2011,3,3550.80914,0.9521263
2011,4,3633.520644,0.821568085
2011,5,4144.131143,0.836381934
2011,6,4702.147097,1.332244529
2011,7,4847.211144,1.443540193
2011,8,4648.350473,1.439656757
2011,9,4244.263734,0.97979504
2011,10,4256.324486,0.705318509
2011,11,3560.576287,0.906436031
2011,12,3367.810419,1.163785079
2012,1,3309.620777,1.377118474
2012,2,3101.105063,1.025641879
2012,3,3488.181784,0.930927635
2012,4,3638.830739,0.672489319
2012,5,4268.120631,0.942465669
2012,6,4455.194813,1.0894894
2012,7,4737.284157,1.491855895
2012,8,4395.704082,1.263816244
2012,9,4110.049607,0.932954241
2012,10,4210.253873,0.731174029
2012,11,3823.951078,0.957290881
2012,12,3464.697598,1.222028627
2013,1,3340.354103,1.410350429
2013,2,3004.047932,1.142418809
2013,3,3357.912307,1.190019047
2013,4,3486.860862,0.841872828
2013,5,3891.000981,0.767434726
2013,6,3923.555247,1.051702045
2013,7,3856.374394,1.27476809
2013,8,4079.732834,1.175772357
2013,9,4406.581689,0.955256114
2013,10,4445.930654,0.736784724
2013,11,3627.489767,0.920654963
2013,12,3419.177628,1.34438373
2014,1,3597.117388,1.631264332
2014,2,3143.527039,1.255902839
2014,3,3418.177393,1.111782655
2014,4,3416.016552,0.779938805
2014,5,4159.296212,0.839575997
2014,6,4277.819587,1.11679788
2014,7,4368.003656,1.321696061
2014,8,4304.469961,1.060023924
2014,9,4122.462564,1.016419696
2014,10,4223.674374,0.70715589
2014,11,3541.146637,0.836940587
2014,12,3319.511402,1.393848712
2015,1,3301.471262,1.45100262
2015,2,3035.433769,1.239979541
2015,3,3376.165182,1.235929456
2015,4,3382.815508,0.657449793
2015,5,4451.659831,0.831555003
2015,6,4714.714458,1.218516738
2015,7,4939.859781,1.446961899
2015,8,4807.562301,1.22178882
2015,9,4366.012433,0.953188026
2015,10,4052.126821,0.707457957
2015,11,3481.934707,0.689869267
2015,12,3429.673413,1.196608209
2016,1,3396.270779,1.435014338
2016,2,3204.327364,1.17230722
2016,3,3540.06039,0.964476503
2016,4,3769.528743,0.686982281
2016,5,4015.46824,0.799207456
2016,6,4504.4081,1.257385191
2016,7,4841.028865,1.374170583
2016,8,4698.019024,1.358591627
2016,9,4454.082936,1.116828082
2016,10,4370.107692,0.725828594
2016,11,3818.618271,0.829134775
2016,12,3328.970619,1.225085369
2017,1,2905.711448,1.220480586
2017,2,2669.361563,0.824838775
2017,3,2946.868152,1.001809963
2017,4,3024.520135,0.676326967
2017,5,3469.293265,0.881608746
2017,6,3531.557314,1.076039816
2017,7,3846.732394,1.34908864
2017,8,3827.636271,1.197777699
2017,9,3626.095173,0.901927738
2017,10,3781.95432,0.686869482
2017,11,3166.311211,0.868084508
2017,12,2982.294971,1.247755929
2018,1,3122.770136,1.678720297
2018,2,2599.64019,0.895703025
2018,3,2837.509223,1.016808608
2018,4,2978.755016,0.782233222
2018,5,3396.569673,0.969450391
2018,6,3737.116059,1.199399513
2018,7,4076.560779,1.296911253
2018,8,3804.823076,1.233661389
2018,9,3596.901184,1.082261512
2018,10,3595.506413,0.894744754
2018,11,2942.157447,0.939008119
2018,12,2639.33051,1.181260418
