year,month,wateruse,elecuse
2007,1,4879.388368,0.60835117
2007,2,3779.357035,0.533235038
2007,3,4596.078694,0.495435532
2007,4,4925.759011,0.450024276
2007,5,5842.701093,0.443143441
2007,6,6187.938013,0.459876646
2007,7,6559.800658,0.514711788
2007,8,6732.419119,0.573454438
2007,9,5938.134869,0.637680213
2007,10,5554.305606,0.461633984
2007,11,4984.993769,0.504258117
2007,12,4321.444817,0.556028672
2008,1,4326.551739,0.605989653
2008,2,3351.933364,0.539726143
2008,3,4462.962414,0.512839755
2008,4,5796.556251,0.459559361
2008,5,5835.146113,0.459447441
2008,6,5911.727544,0.488695471
2008,7,6384.97686,0.554899667
2008,8,6394.549539,0.549588733
2008,9,5892.881332,0.598566418
2008,10,6022.411644,0.551047646
2008,11,4952.963918,0.493702064
2008,12,3965.482255,0.531067863
2009,1,4141.222949,0.58956218
2009,2,3414.009318,0.511784523
2009,3,4449.605708,0.481174121
2009,4,5226.52099,0.45962996
2009,5,5563.387736,0.461890771
2009,6,5040.793768,0.453839311
2009,7,5896.185341,0.512914358
2009,8,5813.639909,0.566166164
2009,9,5209.372467,0.611196289
2009,10,5169.553016,0.518793719
2009,11,4565.576227,0.473332237
2009,12,3488.125815,0.53069169
2010,1,3402.611281,0.575242825
2010,2,2792.952017,0.5091385
2010,3,3596.311,0.475944435
2010,4,3839.778823,0.455821257
2010,5,4863.135444,0.42036101
2010,6,4977.375863,0.447476509
2010,7,5336.215198,0.482062608
2010,8,5839.268922,0.479135822
2010,9,5251.665977,0.556848411
2010,10,4124.248776,0.518967025
2010,11,3910.472151,0.477730906
2010,12,3651.169023,0.544673185
2011,1,3736.099776,0.586710606
2011,2,3322.534209,0.508757727
2011,3,3611.974067,0.493654837
2011,4,4078.216007,0.445630958
2011,5,4871.163537,0.450061051
2011,6,5032.554977,0.453074
2011,7,5450.043253,0.507445318
2011,8,5411.09636,0.538954862
2011,9,4848.467865,0.470094907
2011,10,4548.380655,0.466469095
2011,11,3577.230076,0.534741763
2011,12,3171.79012,0.574258693
2012,1,4060.849726,0.494307422
2012,2,3779.51162,0.484056289
2012,3,3838.492936,0.456469342
2012,4,3700.316051,0.433324143
2012,5,4545.991814,0.442321283
2012,6,4791.885749,0.474864041
2012,7,5162.941912,0.542562772
2012,8,5322.994496,0.648553941
2012,9,5054.947954,0.571197238
2012,10,4617.710878,0.466902172
2012,11,3964.208979,0.517581123
2012,12,3394.886985,0.598074285
2013,1,3220.378616,0.503036525
2013,2,3090.447431,0.471651666
2013,3,3945.804939,0.432279247
2013,4,4358.02872,0.42841033
2013,5,4978.415936,0.447551881
2013,6,5164.422686,0.539274264
2013,7,5245.663869,0.477964229
2013,8,5399.119437,0.604538827
2013,9,4984.707341,0.462687135
2013,10,4587.528224,0.415866784
2013,11,3979.723816,0.49688683
2013,12,3757.062796,0.520211067
2014,1,3978.27698,0.451255792
2014,2,3425.071706,0.429704863
2014,3,3630.75059,0.401309524
2014,4,4177.954624,0.42807151
2014,5,4962.75323,0.459421827
2014,6,4903.286391,0.494800898
2014,7,4999.579025,0.552643989
2014,8,4802.629218,0.63725704
2014,9,4613.590138,0.5463348
2014,10,4351.172251,0.444113555
2014,11,3752.957672,0.468363382
2014,12,3009.894967,0.518974039
2015,1,3146.931087,0.424360296
2015,2,3247.825474,0.414466207
2015,3,3790.437109,0.395928868
2015,4,3924.602299,0.399721739
2015,5,3586.754875,0.403467495
2015,6,3835.068674,0.473422388
2015,7,3831.822742,0.516561075
2015,8,4075.808632,0.613429651
2015,9,3751.485925,0.568176384
2015,10,3696.034586,0.461305499
2015,11,3159.373826,0.458090094
2015,12,3050.36461,0.522803637
2016,1,2748.592245,0.427254149
2016,2,3182.708137,0.379990685
2016,3,3306.933728,0.368623486
2016,4,3315.017823,0.362360748
2016,5,3472.657672,0.388212711
2016,6,3823.507388,0.471060792
2016,7,4260.587449,0.547192728
2016,8,4309.630958,0.49053066
2016,9,4064.952354,0.454741697
2016,10,4368.64485,0.404794819
2016,11,3867.43097,0.437426487
2016,12,2983.300465,0.494558275
2017,1,2480.299919,0.426256493
2017,2,2251.23442,0.387981734
2017,3,2931.239327,0.352535374
2017,4,3495.113352,0.357044529
2017,5,3622.164798,0.37542947
2017,6,3732.702219,0.473968934
2017,7,4106.664965,0.514410316
2017,8,3925.809762,0.525049562
2017,9,3671.706871,0.417263321
2017,10,3714.323708,0.405702409
2017,11,3422.664729,0.40754968
2017,12,3287.622627,0.441494757
2018,1,2915.820493,0.377429675
2018,2,2567.792979,0.376143973
2018,3,2873.539246,0.335005887
2018,4,3574.350915,0.334305318
2018,5,3470.76186,0.344726652
2018,6,3988.971393,0.442830005
2018,7,4161.531732,0.595226931
2018,8,4217.818642,0.509324417
2018,9,3635.130207,0.40114918
2018,10,3540.525917,0.359712784
2018,11,3441.429245,0.392639027
