year,month,wateruse,elecuse
2007,1,3326.895273,1.139768518
2007,2,3519.825273,1.236344461
2007,3,3606.298,0.919820976
2007,4,3411.975091,0.842926754
2007,5,4252.963909,0.827389781
2007,6,4724.805364,1.198413466
2007,7,4455.952727,1.13931017
2007,8,5475.572545,1.483958112
2007,9,5034.933273,1.056127128
2007,10,4061.179455,0.844309491
2007,11,3310.191455,0.895740317
2007,12,3374.313182,1.135557977
2008,1,3462.713364,1.247047428
2008,2,3159.061727,1.103926689
2008,3,3372.423182,1.03582869
2008,4,3340.729727,0.770443612
2008,5,3568.019,0.680909966
2008,6,4029.346182,1.043608735
2008,7,4449.017545,1.250234171
2008,8,4887.923818,1.221844678
2008,9,4307.161545,0.86418652
2008,10,3859.084364,0.693206123
2008,11,3254.019727,0.932887457
2008,12,3371.150091,1.217841082
2009,1,3416.928727,1.37988379
2009,2,3080.174818,1.01296213
2009,3,3228.793182,0.876065099
2009,4,3124.608364,0.702864176
2009,5,3519.342636,0.787595472
2009,6,3791.106273,1.060024736
2009,7,4017.910364,1.007795978
2009,8,4032.853909,1.129635952
2009,9,3778.287455,0.865661495
2009,10,3277.375636,0.705751795
2009,11,3033.292,0.819255618
2009,12,3112.620545,1.153813772
2010,1,3298.138545,1.339368237
2010,2,2866.575818,1.164981332
2010,3,3117.560727,0.849751798
2010,4,3084.158636,0.63736986
2010,5,3446.529091,0.800145132
2010,6,3598.762909,1.171237763
2010,7,4281.572818,1.312084155
2010,8,4777.210636,1.278173955
2010,9,4418.694818,0.894140319
2010,10,3894.859727,0.651854269
2010,11,3063.440182,0.776048195
2010,12,3178.834091,1.233094651
2011,1,3207.417818,1.225636633
2011,2,2825.953727,0.954531953
2011,3,3027.394,0.886437302
2011,4,2969.812364,0.645332356
2011,5,3234.840818,0.812362224
2011,6,3662.709182,0.974777315
2011,7,4542.074182,1.466356586
2011,8,4394.549364,1.192750792
2011,9,3465.960182,0.773140572
2011,10,3207.984,0.657789667
2011,11,2876.356727,0.754590485
2011,12,2945.628091,1.032467787
2012,1,2997.663,1.096104186
2012,2,2747.414,0.930354093
2012,3,2992.203727,0.768377894
2012,4,2933.241273,0.61651502
2012,5,3538.070182,0.798510769
2012,6,4229.415273,1.060615816
2012,7,4754.859727,1.310352206
2012,8,4488.124364,1.119147338
2012,9,3409.871182,0.807188246
2012,10,3176.578091,0.681449209
2012,11,2884.449,0.85450886
2012,12,2969.276273,1.052995948
2013,1,3088.506727,1.191322913
2013,2,2783.638,1.096988625
2013,3,3033.977364,1.034816536
2013,4,2983.433818,0.782150871
2013,5,3271.659091,0.743805038
2013,6,3529.435455,0.96927159
2013,7,3600.321909,1.157416983
2013,8,3977.196636,1.06706071
2013,9,3605.219909,0.860782469
2013,10,3170.106273,0.770593758
2013,11,2876.753273,0.879027353
2013,12,2986.359091,1.173759063
2014,1,3381.403909,1.386492308
2014,2,3121.297455,1.242097647
2014,3,3187.394091,0.994965804
2014,4,3044.093273,0.740360995
2014,5,3379.194182,0.772455297
2014,6,3523.961182,1.037447293
2014,7,3677.682818,1.036587214
2014,8,3857.303545,1.003310745
2014,9,3468.081545,0.863277194
2014,10,3175.909545,0.725458119
2014,11,2914.294455,0.900450745
2014,12,2942.367818,1.164280263
2015,1,3100.548,1.25605552
2015,2,2803.830818,1.246324386
2015,3,3144.628364,1.000216112
2015,4,2947.113,0.702274219
2015,5,3544.436364,0.807453684
2015,6,3537.417818,0.974567354
2015,7,3541.647091,1.075415859
2015,8,3740.094636,0.996406861
2015,9,3559.401091,0.88072939
2015,10,3276.699545,0.665114085
2015,11,2923.450182,0.752472383
2015,12,2980.491,0.892610991
2016,1,3137.798545,1.179384335
2016,2,2877.905909,1.044211517
2016,3,2997.844727,0.761991323
2016,4,3023.676636,0.714821834
2016,5,3171.736636,0.678665713
2016,6,3664.655,1.010943088
2016,7,3926.992273,1.17091459
2016,8,3889.014,1.196242895
2016,9,3585.125364,1.017661293
2016,10,3412.375727,0.661250868
2016,11,3011.985273,0.766869218
2016,12,3112.458636,1.111281916
2017,1,3190.064455,1.047659286
2017,2,2766.223364,0.843840834
2017,3,3032.52,0.804370139
2017,4,3004.648545,0.6784513
2017,5,3261.960818,0.696160596
2017,6,3678.525636,1.011720436
2017,7,3805.798818,1.163154282
2017,8,3855.062182,0.953231979
2017,9,3488.701909,0.838346609
2017,10,3313.331364,0.631345328
2017,11,2978.284636,0.890112666
2017,12,3143.821,1.19854563
2018,1,3598.016364,1.246002363
2018,2,2871.105364,1.062675769
2018,3,3062.713455,0.845288562
2018,4,2993.382818,0.863069134
2018,5,3479.096182,0.898731305
2018,6,3578.167182,1.080731128
2018,7,3993.846545,1.13738533
2018,8,3657.510727,1.084065544
2018,9,3363.605,0.971217575
2018,10,3267.998273,0.752729236
2018,11,2988.839909,0.946768883
2018,12,3140.561273,1.111716128
