year,month,wateruse,elecuse,,,,,,
2007,1,4667.435714,0.823521493,,,,,,
2007,2,5441.614286,0.750101989,,,,,,
2007,3,5438.485714,0.720507868,,,,,,
2007,4,4887.442857,0.587302177,,,,,,
2007,5,5303.785714,0.575544257,,,,,,
2007,6,5854.571429,0.674636986,,,,,,
2007,7,6141.621429,0.738427051,,,,,,
2007,8,5580.821429,0.825695554,,,,,,
2007,9,5079.807143,0.67133437,,,,,,
2007,10,4795.592857,0.649192615,,,,,,
2007,11,4521.178571,0.594329215,,,,,,
2007,12,4812.185714,0.801841179,,,,,,
2008,1,5053.042857,0.861684848,,,,,,
2008,2,4846.321429,0.751869932,,,,,,
2008,3,5110.221429,0.766391075,,,,,,
2008,4,4856.192857,0.534828691,,,,,,
2008,5,4993.085714,0.531079772,,,,,,
2008,6,5256.157143,0.67971829,,,,,,
2008,7,5488.321429,0.821490932,,,,,,
2008,8,5646.092857,0.752471751,,,,,,
2008,9,5018.85,0.597127949,,,,,,
2008,10,4772.05,0.555255205,,,,,,
2008,11,4377.292857,0.646790062,,,,,,
2008,12,4791.557143,0.81689932,,,,,,
2009,1,5157.928571,0.9761674,,,,,,
2009,2,4683.007143,0.715219327,,,,,,
2009,3,4904,0.67755974,,,,,,
2009,4,4571.585714,0.59787559,,,,,,
2009,5,4890.157143,0.536946656,,,,,,
2009,6,5053.085714,0.62179889,,,,,,
2009,7,5038.871429,0.675988464,,,,,,
2009,8,5113.021429,0.974488543,,,,,,
2009,9,4679.464286,0.564524044,,,,,,
2009,10,4501.521429,0.615512295,,,,,,
2009,11,4227.5,0.641541665,,,,,,
2009,12,4583.892857,0.893989249,,,,,,
2010,1,4901.535714,0.949952523,,,,,,
2010,2,4462.778571,0.817509848,,,,,,
2010,3,4807.357143,0.706751417,,,,,,
2010,4,4559.142857,0.559816842,,,,,,
2010,5,4852,0.5614554,,,,,,
2010,6,4953.414286,0.683796294,,,,,,
2010,7,5666.721429,0.861388456,,,,,,
2010,8,5508.171429,0.866085312,,,,,,
2010,9,4912.442857,0.701427884,,,,,,
2010,10,4687.435714,0.567883846,,,,,,
2010,11,4438.657143,0.569694152,,,,,,
2010,12,4858.428571,0.86142616,,,,,,
2011,1,5116.257143,0.915292806,,,,,,
2011,2,4766.135714,0.682730802,,,,,,
2011,3,5029.421429,0.683734396,,,,,,
2011,4,4713.264286,0.580865969,,,,,,
2011,5,4833.75,0.577187506,,,,,,
2011,6,5070.064286,0.607861972,,,,,,
2011,7,5663.842857,0.668110368,,,,,,
2011,8,5298.75,0.942605623,,,,,,
2011,9,4675.321429,0.585715465,,,,,,
2011,10,4624.435714,0.514230943,,,,,,
2011,11,4373.221429,0.604996928,,,,,,
2011,12,4578.128571,0.733375593,,,,,,
2012,1,4815.014286,0.819108017,,,,,,
2012,2,4495.842857,0.676835071,,,,,,
2012,3,4791.021429,0.610907373,,,,,,
2012,4,4464.092857,0.516872275,,,,,,
2012,5,4991.764286,0.569836913,,,,,,
2012,6,5541.542857,0.683738025,,,,,,
2012,7,6006.514286,0.85537201,,,,,,
2012,8,5410.778571,0.83077609,,,,,,
2012,9,4595.328571,0.533877471,,,,,,
2012,10,4471.992857,0.565178078,,,,,,
2012,11,4560.728571,0.615332107,,,,,,
2012,12,4447.992857,0.857039924,,,,,,
2013,1,4749.078571,0.705995234,,,,,,
2013,2,4499.264286,0.724451914,,,,,,
2013,3,4777.728571,0.760429145,,,,,,
2013,4,4476.571429,0.57106563,,,,,,
2013,5,4898.464286,0.583831672,,,,,,
2013,6,4824.278571,0.594883377,,,,,,
2013,7,5008.721429,0.727352828,,,,,,
2013,8,4956.721429,0.645128929,,,,,,
2013,9,4622.921429,0.583903919,,,,,,
2013,10,4414.307143,0.564902852,,,,,,
2013,11,4160.314286,0.651089491,,,,,,
2013,12,4506.585714,0.779897304,,,,,,
2014,1,5276.478571,1.028668023,,,,,,
2014,2,5004.842857,0.745420805,,,,,,
2014,3,5233.214286,0.782458663,,,,,,
2014,4,4791.185714,0.555698077,,,,,,
2014,5,4962.15,0.567297109,,,,,,
2014,6,5147.171429,0.584733954,,,,,,
2014,7,5119.085714,0.650043217,,,,,,
2014,8,4905.221429,0.661381014,,,,,,
2014,9,4491.492857,0.563468532,,,,,,
2014,10,4356.621429,0.537339137,,,,,,
2014,11,4267.892857,0.683924735,,,,,,
2014,12,8772.764286,0.709600616,,,,,,
2015,1,4872.407143,0.954482658,,,,,,
2015,2,4560.9,0.839668872,,,,,,
2015,3,5257.235714,0.738751974,,,,,,
2015,4,4665.085714,0.565364023,,,,,,
2015,5,4817.807143,0.573816266,,,,,,
2015,6,4664.014286,0.588572506,,,,,,
2015,7,4978.471429,0.712498753,,,,,,
2015,8,5216.814286,0.718839229,,,,,,
2015,9,4590.042857,0.639491023,,,,,,
2015,10,4332.45,0.526163961,,,,,,
2015,11,4024.835714,0.571567146,,,,,,
2015,12,4184.371429,0.690343368,,,,,,
2016,1,4468.55,0.802335902,,,,,,
2016,2,4239.928571,0.70853955,,,,,,
2016,3,4402.95,0.6198882,,,,,,
2016,4,4192.485714,0.59543625,,,,,,
2016,5,4466.421429,0.532462568,,,,,,
2016,6,4804.778571,0.657885383,,,,,,
2016,7,5134.778571,0.83962989,,,,,,
2016,8,4888.392857,0.855969916,,,,,,
2016,9,4333.035714,0.639358722,,,,,,
2016,10,4162.25,0.483161278,,,,,,
2016,11,3912.571429,0.575906456,,,,,,
2016,12,4241.835714,0.767571169,,,,,,
,,,,,,,,,
