year,month,wateruse,elecuse
2007,1,3724.820597,1.105187646
2007,2,4053.636092,1.160899974
2007,3,4038.233175,0.996163097
2007,4,3696.800409,0.742699554
2007,5,4429.959553,0.787116747
2007,6,4843.720528,0.968569028
2007,7,4836.116134,1.081556589
2007,8,4716.16052,1.243747643
2007,9,4379.168591,0.977829758
2007,10,4123.382499,0.732811244
2007,11,3715.73884,0.757061229
2007,12,3803.376416,1.098192111
2008,1,3842.613394,1.1583962
2008,2,3594.82286,1.073857734
2008,3,3737.078603,1.076419191
2008,4,3630.197476,0.708732973
2008,5,3911.850077,0.662360723
2008,6,4146.146076,0.900907485
2008,7,4529.692968,1.129683591
2008,8,4879.100729,1.071068919
2008,9,4246.246571,0.877715806
2008,10,4023.606638,0.705578121
2008,11,3655.499836,0.818224121
2008,12,3875.374215,1.1592655
2009,1,3978.294521,1.317702727
2009,2,3582.111417,1.001926532
2009,3,3749.137094,0.960384496
2009,4,3576.462731,0.702339706
2009,5,3979.554364,0.716530573
2009,6,4198.047029,0.881097451
2009,7,4293.758469,0.992541385
2009,8,4292.407941,1.03075267
2009,9,3892.065494,0.79488825
2009,10,3651.841111,0.718034496
2009,11,3422.383719,0.765745546
2009,12,3536.925509,1.066675164
2010,1,3709.392761,1.288522095
2010,2,3255.750879,1.057787351
2010,3,3522.06389,0.976828376
2010,4,3408.609509,0.629199188
2010,5,3769.936755,0.744510243
2010,6,3882.919875,0.969023702
2010,7,4318.584232,1.275854259
2010,8,4369.869268,1.227793402
2010,9,4149.915004,0.834323816
2010,10,3822.722635,0.668874568
2010,11,3474.367873,0.837585406
2010,12,3788.874846,1.193128001
2011,1,3721.212814,1.331307408
2011,2,3297.217491,0.999707213
2011,3,3546.588443,0.84605369
2011,4,3425.658882,0.717093577
2011,5,3688.684144,0.736404249
2011,6,3997.939925,0.935377054
2011,7,4358.638679,1.286389142
2011,8,4189.506191,1.183581534
2011,9,3759.051109,0.763925007
2011,10,3630.359316,0.690745309
2011,11,3355.75274,0.75451249
2011,12,3435.983391,0.99841327
2012,1,3503.421712,1.227492072
2012,2,3244.21513,0.944937094
2012,3,3413.218697,0.845194561
2012,4,3304.942644,0.646676003
2012,5,3945.260268,0.755267758
2012,6,4316.41791,0.91921918
2012,7,4520.149295,1.299219779
2012,8,4392.02178,1.201297794
2012,9,3808.717108,0.754715475
2012,10,3637.009565,0.703648749
2012,11,3395.465562,0.872087271
2012,12,3459.038783,1.077949984
2013,1,3673.270853,1.204689819
2013,2,3243.9542,0.962864895
2013,3,3486.079191,1.176787025
2013,4,3369.824381,0.736056674
2013,5,3730.995498,0.719347417
2013,6,3917.126573,0.863530925
2013,7,3980.605714,1.09274457
2013,8,4079.275731,0.967368605
2013,9,3827.51407,0.807077115
2013,10,3623.764317,0.691861596
2013,11,3369.050511,0.858082845
2013,12,3508.158981,1.160690656
2014,1,3846.110863,1.411460694
2014,2,3473.263703,1.232524343
2014,3,3537.125046,1.072322437
2014,4,3319.077284,0.727139518
2014,5,3605.382993,0.666505822
2014,6,3638.402181,0.863919147
2014,7,3773.860189,0.968923925
2014,8,3852.255377,0.931418052
2014,9,3690.679939,0.774428135
2014,10,3514.292509,0.704676772
2014,11,3258.32163,0.853710813
2014,12,3311.720505,1.144785846
2015,1,3460.080565,1.266118881
2015,2,3192.355672,1.209982886
2015,3,3518.583647,1.078745395
2015,4,3249.459034,0.68513621
2015,5,3602.763857,0.741458961
2015,6,3582.094163,0.854485374
2015,7,3697.754069,1.030036221
2015,8,3958.343373,1.01167076
2015,9,3733.398857,0.842842751
2015,10,3544.792436,0.6457694
2015,11,3163.25845,0.730929545
2015,12,3275.68502,0.914548857
2016,1,3384.605638,1.195652505
2016,2,3158.402205,1.013251773
2016,3,3264.560044,0.830215148
2016,4,3191.647282,0.693815428
2016,5,3395.704939,0.738268836
2016,6,3706.487575,0.870595455
2016,7,3958.688832,1.164204414
2016,8,3980.575049,1.23190129
2016,9,3739.934862,0.923736064
2016,10,3554.399365,0.63292053
2016,11,3234.862951,0.682927333
2016,12,3402.647821,1.101235612
