year,month,wateruse,elecuse
2007,1,2998.976359,1.24721539
2007,2,2772.438866,1.519147939
2007,3,3255.256317,1.167310554
2007,4,3448.996669,0.931453711
2007,5,3926.167845,0.906326043
2007,6,4050.296531,1.125976455
2007,7,4255.410675,1.34347769
2007,8,4635.766512,1.451260644
2007,9,4116.439191,1.414437904
2007,10,3291.156065,1.011455509
2007,11,2666.77878,0.926284611
2007,12,2443.443822,1.138828096
2008,1,2245.24738,1.374640915
2008,2,2279.730279,1.386415186
2008,3,2491.294987,1.034595079
2008,4,2755.183199,0.929109166
2008,5,2922.946624,0.837183727
2008,6,3485.701519,1.142801831
2008,7,3333.138354,1.393477141
2008,8,3498.724511,1.374174554
2008,9,3149.31351,1.216553214
2008,10,3227.934844,0.855932463
2008,11,2963.39264,0.885319993
2008,12,2863.092046,1.314023798
2009,1,3016.065481,1.4377449
2009,2,2794.19571,1.426310635
2009,3,3288.345926,1.259536928
2009,4,3250.836786,0.921517037
2009,5,3547.359656,0.841555936
2009,6,3745.12958,1.122360814
2009,7,3763.603867,1.360057833
2009,8,3711.463563,1.333817862
2009,9,3333.715168,1.15163481
2009,10,3109.094971,0.868192078
2009,11,2641.721505,0.807679842
2009,12,2485.38874,1.154916938
2010,1,2588.016898,1.783286182
2010,2,2140.799415,1.462884752
2010,3,2743.919084,1.405265942
2010,4,2962.283695,0.91082468
2010,5,2743.919084,0.825059933
2010,6,3450.739296,1.213170324
2010,7,3806.04842,1.538250632
2010,8,3573.235031,1.512694432
2010,9,3798.472662,1.313534489
2010,10,3217.934032,0.91645901
2010,11,3123.531562,0.827290313
2010,12,2571.512714,1.426337714
2011,1,2333.743524,1.867797181
2011,2,2284.918938,1.13565355
2011,3,2576.592076,1.028487056
2011,4,3006.614815,0.857966656
2011,5,3425.287631,0.878398963
2011,6,3979.243577,1.44003634
2011,7,4203.171607,1.599448775
2011,8,4018.593963,1.442741537
2011,9,3620.028435,1.029411657
2011,10,3769.373524,0.802084202
2011,11,3408.880021,0.957335345
2011,12,3424.120779,1.410820339
2012,1,3329.312238,1.109399289
2012,2,3012.78631,0.971667047
2012,3,3352.437402,0.74540065
2012,4,3046.173,1.007047148
2012,5,3409.753476,1.1368619
2012,6,3472.641086,1.544457241
2012,7,3893.309516,1.322512554
2012,8,3821.358976,1.008084525
2012,9,3410.306377,0.772953781
2012,10,3317.51187,1.136113088
2012,11,3067.167757,1.277560302
2012,12,2964.40944,1.413935666
2013,1,2949.715482,1.210137436
2013,2,2587.877058,1.345570543
2013,3,2744.227233,0.922936885
2013,4,2976.429346,0.820723407
2013,5,3252.221524,1.173637775
2013,6,3175.974498,1.335940232
2013,7,3365.251879,1.258856223
2013,8,3631.213246,1.026486963
2013,9,3410.905319,0.795279893
2013,10,3241.171187,0.997548146
2013,11,2878.858122,1.471702665
2013,12,2821.010562,1.737756952
2014,1,2741.973014,1.265308356
2014,2,2465.401391,1.322219127
2014,3,2908.220076,0.84728991
2014,4,2793.645469,1.017759118
2014,5,3278.198831,1.210900804
2014,6,3393.879581,1.324819756
2014,7,3565.099144,1.233959247
2014,8,3315.980593,1.034202358
2014,9,3347.283329,0.791988062
2014,10,3168.545082,1.09871521
2014,11,2845.271818,1.400825607
2014,12,2838.265429,1.539173365
2015,1,2851.272319,1.562331096
2015,2,2702.182806,1.124698766
2015,3,2999.955694,0.774267004
2015,4,2929.878454,0.972300831
2015,5,3346.723575,1.330135344
2015,6,3548.4264,1.444207278
2015,7,3468.823382,1.155612477
2015,8,3607.611762,1.095819677
2015,9,2961.261833,0.781527292
2015,10,2782.804862,0.8558944
2015,11,2466.475167,1.028652912
2015,12,2290.986693,1.57517426
2016,1,2511.888889,1.22798319
2016,2,2368.481481,0.947641006
2016,3,2747.148148,0.780023992
2016,4,2828.888889,0.906822626
2016,5,2767.518519,1.22068982
2016,6,3119.074074,1.480670232
2016,7,3362.407407,1.438363318
2016,8,3625.367037,1.11642224
2016,9,3428.524074,0.692287277
2016,10,3233.811481,0.94155525
2016,11,3046.484815,1.335263106
2016,12,2834.905185,1.242153411
2017,1,2837.127273,0.959669371
2017,2,2803.035636,1.044060604
2017,3,3023.234182,0.75848089
2017,4,2887.686182,0.983144858
2017,5,3012.836364,1.194611756
2017,6,3055.881818,1.402115065
2017,7,3325.625455,1.268234328
2017,8,3411.595273,0.981211253
2017,9,3040.584,0.829297314
2017,10,2600.145455,1.028059893
2017,11,2220.509091,1.358496727
2017,12,2287.163636,1.625795245
2018,1,2335.75,1.08867191
2018,2,2288.5,1.080447668
2018,3,2550.75,0.809429652
2018,4,2397.521429,1.057667609
2018,5,2633.607143,1.230443046
2018,6,2667.107143,1.328377683
2018,7,3003.343214,1.330334212
2018,8,3310.823929,1.115201083
2018,9,3026.046429,0.856755973
2018,10,3022.5,1.071080268
2018,11,2595.720714,1.254901992
