year,month,wateruse,elecuse
2007,1,844.5728,0.616117133
2007,2,807.12,0.527269294
2007,3,2075.448,0.414597353
2007,4,4562.0736,0.425226953
2007,5,5039.9024,0.467512085
2007,6,5566.2592,0.645392892
2007,7,5765.2352,0.726122673
2007,8,5865.1648,0.729135142
2007,9,5218.3792,0.787878914
2007,10,4545.3104,0.591129574
2007,11,1302.0976,0.452135217
2007,12,1195.0944,0.479265956
2008,1,1163.66875,0.609331326
2008,2,1198.917188,0.512263321
2008,3,3128.003125,0.386871826
2008,4,4582.015625,0.432929524
2008,5,5175.69375,0.456694733
2008,6,5869.5875,0.777612851
2008,7,4980.445313,0.757911549
2008,8,4903.290625,0.730854777
2008,9,4482.135938,0.612619159
2008,10,3977.423438,0.511995964
2008,11,1313.379688,0.43852966
2008,12,1229.689063,0.52189187
2009,1,1253.70625,0.601397516
2009,2,1220.226563,0.489587025
2009,3,3222.209375,0.353809692
2009,4,4689.921875,0.429096193
2009,5,5453.93125,0.526175814
2009,6,5630.025,0.753497884
2009,7,5752.15,0.799450516
2009,8,5871.34375,0.85326065
2009,9,4964.21875,0.687500756
2009,10,3220.0875,0.553970626
2009,11,1233.478125,0.456864937
2009,12,1147.353125,0.529544788
2010,1,1126.615385,0.647285019
2010,2,992.8107692,0.504836967
2010,3,2147.653846,0.458850637
2010,4,4432.787692,0.517413546
2010,5,5386.955385,0.458989518
2010,6,5741.229231,0.738008598
2010,7,5479.367692,0.848061838
2010,8,5654.630769,0.832273324
2010,9,5138.576923,0.749873594
2010,10,2891.221538,0.624735412
2010,11,1229.84,0.454097319
2010,12,1121.224615,0.516550561
2011,1,1112.264615,0.606085381
2011,2,1189.863077,0.553869015
2011,3,1847.130769,0.459239492
2011,4,4895.418462,0.448917306
2011,5,5569.42,0.506604841
2011,6,5662.727692,0.710267609
2011,7,5763.938462,0.929185672
2011,8,5738.207692,0.891466724
2011,9,3800.372308,0.875634349
2011,10,1977.767692,0.609246561
2011,11,1222.166154,0.460968006
2011,12,1074.415385,0.536562584
2012,1,1092.259091,0.652132602
2012,2,1075.562121,0.500086926
2012,3,1419.621212,0.478568725
2012,4,2241.892424,0.485850914
2012,5,2791.169697,0.556423541
2012,6,4829.672727,0.744220897
2012,7,5222.430303,0.8872455
2012,8,5509.442424,0.897944543
2012,9,3738.468182,0.870302714
2012,10,1708.693939,0.584690043
2012,11,1286.795455,0.483075402
2012,12,1147.577273,0.486867191
2013,1,1055.584848,0.653179324
2013,2,954.5378788,0.566449611
2013,3,1262.483333,0.452729433
2013,4,1433.283333,0.437106677
2013,5,2082.374242,0.511717242
2013,6,3773.525758,0.759475943
2013,7,4151.933333,0.896998405
2013,8,2547.510606,0.898952819
2013,9,1903.19697,0.819580955
2013,10,1487.845455,0.558225328
2013,11,1018.606061,0.465257873
2013,12,987.1363636,0.513028657
2014,1,1048.59403,0.623248188
2014,2,1049.404478,0.531619762
2014,3,1338.261194,0.397838148
2014,4,1517.908955,0.414671467
2014,5,2038.959701,0.485018629
2014,6,4837.7,0.717987386
2014,7,5395.283582,0.95611819
2014,8,4179.352239,0.889689762
2014,9,1663.1,0.779825272
2014,10,1451.261194,0.609642987
2014,11,1045.010448,0.458447063
2014,12,970.6791045,0.499996304
2015,1,979.8925373,0.650720514
2015,2,948.6223881,0.494323463
2015,3,1226.680597,0.441738683
2015,4,1432.702985,0.442257681
2015,5,1855.685075,0.46390766
2015,6,4758.668657,0.695104706
2015,7,5416.713433,0.973827002
2015,8,5451.952239,0.935420486
2015,9,4945.850746,0.910822681
2015,10,1432.573134,0.699651746
2015,11,1113.531852,0.440000874
2015,12,1082.277037,0.502501248
2016,1,1039.094815,0.624164831
2016,2,1065.383704,0.522692359
2016,3,1311.447407,0.438957839
2016,4,3942.497778,0.431624658
2016,5,4803.865185,0.482295165
2016,6,5077.395556,0.750793737
2016,7,5096.977778,1.004542916
2016,8,4672.943704,0.972302656
2016,9,4061.259259,0.831836315
2016,10,1437.980741,0.626187411
2016,11,1134.948148,0.487900098
2016,12,1049.908148,0.502924711
2017,1,973.642963,0.563824451
2017,2,935.8592593,0.466873103
2017,3,1323.657778,0.45635226
2017,4,3768.69037,0.438768539
2017,5,5335.405926,0.534942244
2017,6,5485.358519,0.787707776
2017,7,5251.466667,0.999042061
2017,8,5084.497778,0.918669542
2017,9,4939.586667,0.839446499
2017,10,3228.4,0.658301696
2017,11,1300.077037,0.455234953
2017,12,1286.845926,0.461964336
2018,1,1261.084444,0.575266322
2018,2,1098.211852,0.492321637
2018,3,1885.351111,0.418438424
2018,4,4096.374815,0.443089459
2018,5,5281.053333,0.545522135
2018,6,5318.395556,0.860330504
2018,7,5285.367407,1.02254213
2018,8,5236.081481,0.97983223
2018,9,4431.105185,0.936501776
2018,10,1553.285926,0.673337836
2018,11,1099.524444,0.432394722
2018,12,999.5140741,0.507082457
