year,month,wateruse,elecuse
2007,1,2429.117521,1.244522977
2007,2,2112.208854,1.064986412
2007,3,2284.317223,0.829037731
2007,4,2249.526521,0.81017653
2007,5,3103.216484,1.176909796
2007,6,2904.517163,1.530892449
2007,7,2742.225985,2.008310352
2007,8,2824.432856,1.942165076
2007,9,2486.706824,2.109072437
2007,10,3090.752411,1.334565412
2007,11,2465.304708,0.971976948
2007,12,1872.688123,0.988193701
2008,1,2081.856231,1.165241005
2008,2,1552.326729,1.080911995
2008,3,2139.309405,0.880574131
2008,4,2575.599787,0.813086201
2008,5,2793.859629,1.04007993
2008,6,2957.972147,1.374187722
2008,7,3233.811825,1.961605812
2008,8,5724.338818,2.007973281
2008,9,5170.921044,1.773992911
2008,10,4872.08589,1.302249537
2008,11,3879.527646,0.917184972
2008,12,2922.797859,0.906765091
2009,1,3012.759044,1.049886169
2009,2,2711.510489,0.867082172
2009,3,3552.764943,0.894394059
2009,4,3995.870165,0.746265564
2009,5,5171.836531,1.21300055
2009,6,5564.304379,1.389458167
2009,7,6607.343528,1.888894456
2009,8,6387.73407,2.015958577
2009,9,5833.951436,1.783024194
2009,10,5455.709072,1.200836919
2009,11,4440.530162,0.86227242
2009,12,3271.931944,0.945022923
2010,1,2671.710145,1.031285888
2010,2,2484.99728,0.881891594
2010,3,3258.426548,0.838217088
2010,4,4620.795924,0.800749205
2010,5,5362.917741,1.024667853
2010,6,5969.141765,1.550038452
2010,7,6515.938477,2.056050336
2010,8,5871.689891,1.848014968
2010,9,5523.276743,1.629475864
2010,10,4921.716823,1.070608963
2010,11,4235.940423,0.812928638
2010,12,3324.839758,0.914809441
2011,1,3158.396343,1.031181447
2011,2,2784.419979,0.944946012
2011,3,3199.146598,0.767169667
2011,4,3765.550389,0.89856691
2011,5,4913.027946,1.057078105
2011,6,5572.717983,1.506057977
2011,7,5738.163565,1.96034406
2011,8,5741.878393,2.03230753
2011,9,5153.138259,1.600378033
2011,10,4903.473571,1.069195651
2011,11,3488.068111,0.766679444
2011,12,2905.863847,1.085494448
2012,1,3192.606749,0.929586892
2012,2,2605.236764,0.786035972
2012,3,2955.444357,0.770412199
2012,4,3787.216048,0.927003275
2012,5,4500.157886,1.254981581
2012,6,5153.067614,1.700241391
2012,7,5152.744717,1.840603613
2012,8,4889.395457,1.939004316
2012,9,4139.815328,1.501762791
2012,10,3979.511919,1.0453033
2012,11,3913.60137,0.76095887
2012,12,3108.423158,0.980335592
2013,1,2331.478365,1.072994639
2013,2,2115.750469,0.854891845
2013,3,3048.95844,0.802983748
2013,4,4090.42848,0.865319777
2013,5,4655.369401,1.238963381
2013,6,5347.161197,1.720616952
2013,7,5206.344694,1.921685601
2013,8,4960.836528,1.81397595
2013,9,3789.205471,1.471094194
2013,10,3749.734606,0.863006343
2013,11,3050.873899,0.743242848
2013,12,2683.514963,0.966403415
2014,1,2271.582541,0.909123949
2014,2,2324.147404,0.72736112
2014,3,3035.816619,0.739527766
2014,4,3708.727697,0.841278794
2014,5,4443.761061,1.156390388
2014,6,4727.246598,1.620432515
2014,7,4807.058893,1.926625905
2014,8,3927.818177,1.701350939
2014,9,3251.692532,1.495431384
2014,10,3286.12883,1.012340025
2014,11,3435.914602,0.764082923
2014,12,2869.736207,0.912772113
2015,1,2315.41555,0.925654809
2015,2,2044.340447,0.676805401
2015,3,2672.21158,0.804991543
2015,4,3853.850207,0.824235078
2015,5,4345.297022,1.019635345
2015,6,4493.45244,1.624491531
2015,7,4973.112821,1.848168304
2015,8,5166.077585,1.900283485
2015,9,4310.967577,1.510855994
2015,10,3964.190488,1.047271206
2015,11,3640.740306,0.743855781
2015,12,3338.704094,1.03301409
2016,1,3123.567585,0.991422765
2016,2,3331.276171,0.75576663
2016,3,3567.85238,0.745577192
2016,4,3720.747133,0.805966028
2016,5,4373.290611,1.07130615
2016,6,5002.477742,1.735016926
2016,7,5344.921699,2.026536474
2016,8,4899.420554,1.774329398
2016,9,4315.383162,1.356399959
2016,10,4401.612382,1.077336868
2016,11,3704.155264,0.767511282
2016,12,3137.804125,0.877407747
2017,1,2617.117826,0.916858966
2017,2,2523.341313,0.702138937
2017,3,3720.976415,0.807845083
2017,4,4270.036375,0.871200713
2017,5,5143.449821,1.156018656
2017,6,5540.059844,1.719536872
2017,7,5615.809212,1.957207651
2017,8,5199.685435,1.814158135
2017,9,5004.346603,1.447616368
2017,10,4840.88716,1.045350026
2017,11,4090.830233,0.771618169
2017,12,3267.737918,0.874016909
2018,1,2335.193049,0.817475792
2018,2,2454.907154,0.722750651
2018,3,3657.938259,0.748684433
2018,4,4521.903295,0.913082249
2018,5,5525.784667,1.217948909
2018,6,6029.451838,1.625806589
2018,7,6069.356563,1.990602176
2018,8,5913.499538,1.892781844
2018,9,5283.255966,1.596310984
2018,10,4136.974419,0.884239408
2018,11,3757.379869,0.713093052
2018,12,3219.433114,0.912339478
