year,month,wateruse,elecuse
2007,1,3488.435577,1.336614364
2007,2,3196.865385,1.260082889
2007,3,3694.815385,1.042102342
2007,4,3801.334615,0.785176249
2007,5,4337.653846,0.915005804
2007,6,4375.2,1.191919835
2007,7,4533.315385,1.337694108
2007,8,5053.226923,1.595053735
2007,9,4258.369231,1.260658924
2007,10,3807.746154,0.826202758
2007,11,3402.046154,0.886755037
2007,12,3301.215385,1.190177686
2008,1,3277.957692,1.513776013
2008,2,3072.898077,1.126934117
2008,3,3213.423077,0.982828611
2008,4,3280.407692,0.800778446
2008,5,3611.919231,0.813138975
2008,6,4188.253846,1.255585851
2008,7,4138.853846,1.418859842
2008,8,4300.234615,1.300442374
2008,9,3905.865385,0.992033128
2008,10,3846.396154,0.795878603
2008,11,3349.5,0.971664977
2008,12,3282.811538,1.372114664
2009,1,3408.793077,1.50919994
2009,2,3110.346154,1.183163573
2009,3,3415.85,1.103931825
2009,4,3382.190769,0.826075688
2009,5,3635.711538,0.857645609
2009,6,3772.965385,1.134676315
2009,7,4319.753077,1.395529493
2009,8,4368.94,1.304247725
2009,9,3926.453846,0.989247707
2009,10,3753.630769,0.794611376
2009,11,3440.057692,0.846159441
2009,12,3368.668115,1.429441002
2010,1,3266.632727,1.798179982
2010,2,3014.429091,1.280995307
2010,3,3205.385455,1.152054654
2010,4,3329.94908,0.740874229
2010,5,3690.876364,0.892955313
2010,6,3838.709091,1.318360451
2010,7,4294.098182,1.618681636
2010,8,4225.130909,1.41619376
2010,9,4276.021818,1.120576615
2010,10,3981.912724,0.760245512
2010,11,3528.149091,0.846293019
2010,12,3436.214545,1.651748731
2011,1,3512.683636,1.787443425
2011,2,3131.316364,1.036373982
2011,3,3429.96,0.9521263
2011,4,3414.269091,0.821568085
2011,5,3714.792727,0.836381934
2011,6,3975.71212,1.332244529
2011,7,4053.234847,1.443540193
2011,8,4369.589091,1.439656757
2011,9,3863.796364,0.97979504
2011,10,3891.945756,0.705318509
2011,11,3427.127273,0.906436031
2011,12,3331.774545,1.163785079
2012,1,3414.654545,1.377118474
2012,2,3233.632727,1.025641879
2012,3,3500.255149,0.930927635
2012,4,3517.36,0.672489319
2012,5,4010.407273,0.942465669
2012,6,4126.105455,1.0894894
2012,7,4497.105455,1.491855895
2012,8,4336.650909,1.263816244
2012,9,3891.341818,0.932954241
2012,10,3883.327273,0.731174029
2012,11,3651.487273,0.957290881
2012,12,3525.545455,1.222028627
2013,1,3518.729242,1.410350429
2013,2,3202.891697,1.142418809
2013,3,3544.512635,1.190019047
2013,4,3554.617329,0.841872828
2013,5,3724.855596,0.767434726
2013,6,#VALUE!,1.051702045
2013,7,3829.119134,1.27476809
2013,8,3850.263538,1.175772357
2013,9,3855.064982,0.955256114
2013,10,3801.404332,0.736784724
2013,11,3326.577617,0.920654963
2013,12,3213.823105,1.34438373
2014,1,3505.66065,1.631264332
2014,2,3018.743682,1.255902839
2014,3,3286.00361,1.111782655
2014,4,3291.050419,0.779938805
2014,5,3688.407942,0.839575997
2014,6,3843.064982,1.11679788
2014,7,4081.296029,1.321696061
2014,8,3904.090253,1.060023924
2014,9,3758.00722,1.016419696
2014,10,3827.888087,0.70715589
2014,11,3334.210552,0.836940587
2014,12,3284.433213,1.393848712
2015,1,3379.4,1.45100262
2015,2,3174.671429,1.239979541
2015,3,3459.582143,1.235929456
2015,4,3330.392857,0.657449793
2015,5,3753.998625,0.831555003
2015,6,3975.360714,1.218516738
2015,7,4014.9,1.446961899
2015,8,4088.65,1.22178882
2015,9,3780.803571,0.953188026
2015,10,3632.342857,0.707457957
2015,11,3280.864286,0.689869267
2015,12,3258.196429,1.196608209
2016,1,3360.645614,1.435014338
2016,2,3132.224561,1.17230722
2016,3,3178.621053,0.964476503
2016,4,3331.852632,0.686982281
2016,5,3429.477193,0.799207456
2016,6,3708.708772,1.257385191
2016,7,4025.266667,1.374170583
2016,8,4131.463158,1.358591627
2016,9,4072.898246,1.116828082
2016,10,3951.252632,0.725828594
2016,11,3647.25614,0.829134775
2016,12,3475.554386,1.225085369
2017,1,3447.166991,1.220480586
2017,2,3197.469228,0.824838775
2017,3,3520.728015,1.001809963
2017,4,3329.303515,0.676326967
2017,5,3414.437781,0.881608746
2017,6,3484.912569,1.076039816
2017,7,3937.378714,1.34908864
2017,8,4004.804426,1.197777699
2017,9,3678.573793,0.901927738
2017,10,3781.134702,0.686869482
2017,11,3275.890421,0.868084508
2017,12,3228.166688,1.247755929
2018,1,3317.15893,1.678720297
2018,2,2768.053406,0.895703025
2018,3,2900.457557,1.016808608
2018,4,2899.514713,0.782233222
2018,5,3286.352873,0.969450391
2018,6,3565.967575,1.199399513
2018,7,3774.217326,1.296911253
2018,8,3563.134913,1.233661389
2018,9,3370.500106,1.082261512
2018,10,3419.340865,0.894744754
2018,11,3050.401053,0.939008119
2018,12,3032.361946,1.181260418
