year,month,wateruse,elecuse
2007,1,4752.7625,1.288795961
2007,2,4964.6,1.417078297
2007,3,5287.65,0.96421264
2007,4,4852.525,0.862090033
2007,5,6269.85,0.859166995
2007,6,6971.9625,1.090034085
2007,7,7269.975,1.142655686
2007,8,7365.875,1.38728943
2007,9,6313.7875,0.990836147
2007,10,5571.45,0.845281029
2007,11,4614.1125,0.965777611
2007,12,4672.95,1.299567346
2008,1,4883.1125,1.429065804
2008,2,4538.375,1.30087827
2008,3,4739.9,1.113950305
2008,4,4606.3625,0.779848468
2008,5,5138.7,0.730345531
2008,6,5532.1,1.022267513
2008,7,6198.875,1.193628015
2008,8,6969.875,1.134262366
2008,9,5826.9875,0.887210301
2008,10,5188.5625,0.796077927
2008,11,4502.225,1.033920911
2008,12,4706.675,1.435829739
2009,1,4877.6375,1.562124578
2009,2,4384.5125,1.150687796
2009,3,4582.0375,0.933011827
2009,4,4614.7875,0.816821594
2009,5,5274.5,0.767272299
2009,6,5479.5,1.035956016
2009,7,5963.5875,0.957868007
2009,8,6163.9375,1.093245088
2009,9,5772.7125,0.818576898
2009,10,4815.9875,0.807203217
2009,11,4360.6125,0.885552762
2009,12,4565.6125,1.407560795
2010,1,4851.375,1.502116733
2010,2,4353.175,1.280807824
2010,3,4712.6,0.962698249
2010,4,4577.075,0.701260897
2010,5,5164.05,0.862659188
2010,6,5321.3125,1.160143433
2010,7,6172.6375,1.332234543
2010,8,6921.0875,1.339333634
2010,9,6447.125,0.890852851
2010,10,5429.575,0.740139426
2010,11,4398.6,0.964824684
2010,12,4535.3375,1.492335323
2011,1,4568.65,1.490551335
2011,2,4198.625,1.175278033
2011,3,4507.9625,1.013984881
2011,4,4349.7625,0.755110486
2011,5,4909.7875,0.848584537
2011,6,5495.6625,1.037236637
2011,7,7359.35,1.483536044
2011,8,6862.0625,1.208710679
2011,9,5423.25,0.800806217
2011,10,4821.725,0.773201637
2011,11,4210.7375,0.878852821
2011,12,4231.725,1.198052134
2012,1,4344.167367,1.306924289
2012,2,4051.95444,1.089321708
2012,3,4419.436608,0.821725105
2012,4,4317.925588,0.708700264
2012,5,5769.601606,0.927220521
2012,6,7296.186383,1.100441712
2012,7,6619.436291,1.495615632
2012,8,5236.02879,1.123855591
2012,9,4582.749071,0.784566216
2012,10,4378.7875,0.777350886
2012,11,4007.15,0.997487219
2012,12,4141.5125,1.164762799
2013,1,4308.6625,1.351875314
2013,2,3901.75,1.176540076
2013,3,4242.1125,1.175366011
2013,4,4189.775,0.778369978
2013,5,4662.325,0.798230509
2013,6,5077.4625,0.951539992
2013,7,5781.0625,1.07824925
2013,8,6245.5125,1.088701081
2013,9,5512.7125,0.872694358
2013,10,4563.9625,0.79792722
2013,11,4078.4375,1.01922761
2013,12,4268.1875,1.358795182
2014,1,4925.6625,1.731464833
2014,2,4395.5125,1.254852847
2014,3,4600.8125,1.129646173
2014,4,4348.725,0.718392288
2014,5,5024.3,0.797783571
2014,6,5210.5625,0.98213769
2014,7,5520.075,0.953827417
2014,8,5475.2875,1.023033677
2014,9,4913.3375,0.760876571
2014,10,4605.35,0.717964745
2014,11,4215.7375,1.130498309
2014,12,4248.9875,1.187764922
2015,1,4542.05,1.464777072
2015,2,4121.6,1.388697871
2015,3,4598.8625,1.026392713
2015,4,4338.8375,0.689613699
2015,5,5001.4125,0.781972239
2015,6,5010.7125,0.953085386
2015,7,5158.675,1.079438826
2015,8,5592.5125,1.011839551
2015,9,5322.325,0.849114779
2015,10,4766.8625,0.706114526
2015,11,4183,0.838210206
2015,12,4229.8375,1.009202106
2016,1,4401.3375,1.337219362
2016,2,4065.3625,1.139574382
2016,3,4211.325,0.809345803
2016,4,4211.05,0.748780047
2016,5,4702.925,0.754826552
2016,6,5347.9625,1.027334278
2016,7,5564.6875,1.146999378
2016,8,5570.025,1.221300732
2016,9,4977.25,0.857032406
2016,10,4667.1375,0.696269087
2016,11,4225.4625,0.851412767
2016,12,4424.8625,1.307837631
