year,month,wateruse,elecuse
2007,1,4127.023316,0.986741663
2007,2,4133.119362,0.894576442
2007,3,4261.136334,0.748513821
2007,4,4053.870761,0.597097706
2007,5,4687.859571,0.781528505
2007,6,5276.128035,0.996956906
2007,7,6480.097171,1.239528204
2007,8,7237.530918,1.427595255
2007,9,5772.955805,1.040481703
2007,10,4572.034693,0.722703124
2007,11,4009.674425,0.766739117
2007,12,4098.067096,0.966173693
2008,1,4347.352397,1.075137903
2008,2,4006.887974,0.95971141
2008,3,4105.244363,0.820574074
2008,4,3946.360965,0.669795883
2008,5,4489.590868,0.604192699
2008,6,4627.138495,0.937666379
2008,7,4627.138495,1.234817471
2008,8,5615.090594,1.278643538
2008,9,4461.445809,0.74637627
2008,10,4210.107405,0.594796852
2008,11,3741.779676,0.734448901
2008,12,4108.270713,1.091781045
2009,1,4168.106136,1.125872428
2009,2,3667.09589,0.820447738
2009,3,3855.68512,0.775170871
2009,4,3876.473307,0.705747612
2009,5,4323.344535,0.599901411
2009,6,4930.539042,0.960332646
2009,7,5564.952613,1.220009923
2009,8,5095.498535,1.063847394
2009,9,4304.799678,0.710780855
2009,10,3922.835449,0.63559725
2009,11,3556.42497,0.704194994
2009,12,3851.647127,1.092818546
2010,1,4412.64682,1.098948785
2010,2,3954.790574,1.042136522
2010,3,3997.488365,0.847401989
2010,4,3982.418557,0.598754378
2010,5,4317.056955,0.611652335
2010,6,4810.519317,1.166605237
2010,7,5433.995715,1.435607164
2010,8,6471.005393,1.449288638
2010,9,4833.56726,0.859659545
2010,10,4724.828249,0.557130365
2010,11,3997.931595,0.634071694
2010,12,4227.376819,1.115062504
2011,1,4611.926492,1.135193497
2011,2,4265.774232,0.946889329
2011,3,4743.022454,0.800024162
2011,4,4684.102921,0.620594033
2011,5,4801.941988,0.679914389
2011,6,5523.706274,1.073857257
2011,7,6943.667034,1.559887452
2011,8,6216.010794,1.431572663
2011,9,5597.355691,0.756473575
2011,10,6024.52231,0.536925176
2011,11,4536.804087,0.677216503
2011,12,4374.775369,1.016861047
2012,1,4243.927727,0.941316979
2012,2,3684.514204,0.8127541
2012,3,3924.681266,0.727778332
2012,4,4378.655592,0.554621693
2012,5,5374.470241,0.761567983
2012,6,6250.20136,1.128184734
2012,7,8136.391461,1.682487898
2012,8,7702.919201,1.300654666
2012,9,5750.829601,0.78407968
2012,10,5125.516579,0.548948759
2012,11,4173.634928,0.698631817
2012,12,4041.835931,0.90923358
2013,1,4222.936076,1.070105526
2013,2,3640.462135,0.835801728
2013,3,4077.317591,0.922434598
2013,4,4004.508348,0.680745912
2013,5,4426.801956,0.679552287
2013,6,4862.201227,0.857526654
2013,7,6465.460751,1.260700451
2013,8,5766.492022,1.109061266
2013,9,5572.819436,1.021282038
2013,10,4694.739969,0.620960837
2013,11,3858.889863,0.696529507
2013,12,4062.755742,1.115412939
2014,1,4451.400963,1.156887108
2014,2,4032.275548,0.98023543
2014,3,4292.422357,0.863917062
2014,4,4061.180749,0.594655198
2014,5,4451.400963,0.696607239
2014,6,4032.275548,0.967329104
2014,7,4292.422357,1.115649949
2014,8,4061.180749,1.208474394
2014,9,4451.400963,0.728226389
2014,10,4032.275548,0.613221729
2014,11,4292.422357,0.776580679
2014,12,4061.180749,0.995820378
2015,1,3730.015723,0.996787734
2015,2,3285.28308,1.00927099
2015,3,3916.51651,0.704464856
2015,4,3773.054366,0.533065472
2015,5,3988.247581,0.595759228
2015,6,4404.287797,0.954967756
2015,7,4992.482584,1.217838314
2015,8,5349.70332,1.108579214
2015,9,4750.031562,0.866316105
2015,10,4577.87699,0.598683829
2015,11,3938.035831,0.686633406
2015,12,3800.312174,0.897792344
2016,1,3696.512107,0.950966746
2016,2,3469.906001,0.853995321
2016,3,3498.231764,0.609253118
2016,4,3656.856039,0.535280085
2016,5,3838.140924,0.629135221
2016,6,5549.017025,1.117567752
2016,7,5549.017025,1.272103717
2016,8,5136.87717,1.20072606
2016,9,4212.040999,0.867433812
2016,10,4149.72432,0.659642187
2016,11,3566.213596,0.564770297
2016,12,3519.476087,0.982626257
2017,1,3522.899546,0.971800801
2017,2,3216.621261,0.72687812
2017,3,3599.81875,0.671001044
2017,4,3594.224626,0.56827384
2017,5,4034.761886,0.642363208
2017,6,5019.327698,0.952042235
2017,7,5111.630743,1.305382745
2017,8,4398.379942,0.90920932
2017,9,4508.863889,0.862959719
2017,10,3959.241213,0.626908378
2017,11,3290.743403,0.637859484
2017,12,3506.117175,0.983857458
2018,1,3906.097036,0.984394761
2018,2,3574.645193,0.893404648
2018,3,4044.551603,0.757402943
2018,4,4036.160417,0.642280519
2018,5,4504.668296,0.896507242
2018,6,5251.483841,1.066424052
2018,7,5736.774092,1.19719304
2018,8,5086.457185,1.12469285
2018,9,4689.274386,0.810123944
2018,10,4300.482773,0.614018671
2018,11,3476.748024,0.791302086
2018,12,3546.674573,0.909476278
