year,month,wateruse,elecuse
2007,1,3406.885777,0.936406264
2007,2,3197.210547,0.651863948
2007,3,4387.566605,0.681345447
2007,4,4643.558325,0.668299065
2007,5,6183.538868,1.05083686
2007,6,6653.044373,1.58134542
2007,7,7271.642249,2.193553031
2007,8,6846.800738,1.808288975
2007,9,5665.826087,1.460708488
2007,10,5029.832979,0.604814452
2007,11,3821.807136,0.52982883
2007,12,3373.706366,0.836794262
2008,1,3279.393196,0.925622532
2008,2,3156.9106,0.722977427
2008,3,4142.192606,0.637476742
2008,4,4617.050689,0.583258115
2008,5,5665.462582,0.831399239
2008,6,6283.837885,1.346440465
2008,7,6889.971172,2.105174768
2008,8,6770.292846,1.876613787
2008,9,5454.455589,1.374290538
2008,10,4937.986097,0.817803336
2008,11,3741.811558,0.504759671
2008,12,3211.070987,0.733010404
2009,1,3224.162934,0.885881422
2009,2,2861.772579,0.615210071
2009,3,3958.693917,0.652559046
2009,4,4293.659691,0.597703812
2009,5,5705.200198,1.05943546
2009,6,5785.193718,1.348035453
2009,7,6472.711871,1.884174271
2009,8,6411.57404,1.800574595
2009,9,5418.191329,1.39042659
2009,10,4773.006907,0.717941156
2009,11,3682.6425,0.502515952
2009,12,3151.850979,0.804654256
2010,1,2951.957545,0.833394027
2010,2,2571.445362,0.640971436
2010,3,3541.129788,0.62311781
2010,4,4050.896436,0.567467686
2010,5,5085.759984,0.708706749
2010,6,5773.408656,1.318476346
2010,7,6539.73218,2.029692928
2010,8,6486.020088,1.86873089
2010,9,5341.499248,1.245248067
2010,10,4386.015744,0.813797135
2010,11,3497.571433,0.510418523
2010,12,3011.582005,0.757118184
2011,1,3132.509089,0.82845301
2011,2,2938.123868,0.623008204
2011,3,3862.088546,0.635042957
2011,4,4230.653357,0.583365995
2011,5,5138.744811,0.733178021
2011,6,5783.958001,1.107779681
2011,7,6248.456186,1.876959575
2011,8,6409.449274,1.78240556
2011,9,5247.344166,1.364248687
2011,10,4546.719279,0.768223493
2011,11,3581.407454,0.508898768
2011,12,3181.805993,0.755962084
2012,1,3130.73151,0.820328605
2012,2,2986.782859,0.610955887
2012,3,3778.382205,0.633948065
2012,4,4163.036935,0.601425163
2012,5,5516.083314,1.041543178
2012,6,6164.320043,1.481280639
2012,7,6222.090736,1.859503493
2012,8,5899.29352,1.836892368
2012,9,5095.084145,1.320326011
2012,10,4503.255835,0.810381541
2012,11,3653.91664,0.461115061
2012,12,3203.096526,0.703211207
2013,1,3040.92014,0.921612086
2013,2,2792.163151,0.611716194
2013,3,3743.940961,0.621509971
2013,4,4182.004085,0.602203541
2013,5,5524.486033,0.905810274
2013,6,5864.30148,1.61240183
2013,7,6186.668091,2.075317588
2013,8,5846.343408,1.561933957
2013,9,4693.601944,1.15282785
2013,10,4431.629771,0.595782768
2013,11,3400.530904,0.475787014
2013,12,3043.850746,0.80001369
2014,1,3103.068382,0.784198371
2014,2,2911.424051,0.567710927
2014,3,3752.025458,0.569383452
2014,4,4103.879302,0.580009217
2014,5,5123.899843,0.889931288
2014,6,5665.074788,1.519247583
2014,7,5922.614355,1.895118621
2014,8,5568.000141,1.548525652
2014,9,4854.817803,1.3228708
2014,10,4495.06105,0.799767671
2014,11,3510.664999,0.459748289
2014,12,3013.739471,0.646826289
2015,1,2896.036724,0.863252763
2015,2,2787.673334,0.523323713
2015,3,3619.714166,0.580238051
2015,4,4089.716752,0.595016916
2015,5,4712.141565,0.775775792
2015,6,5404.875896,1.556338343
2015,7,5847.522003,1.728288847
2015,8,5785.645397,1.645302276
2015,9,5072.400918,1.429020741
2015,10,4300.087598,0.929792521
2015,11,3436.420946,0.441650566
2015,12,3096.070763,0.743157729
2016,1,2865.407832,0.819265053
2016,2,2885.199903,0.604789919
2016,3,3685.762957,0.563611643
2016,4,3688.72615,0.546807212
2016,5,4351.741801,0.768969007
2016,6,5438.803038,1.71850202
2016,7,5880.033274,1.74913356
2016,8,5826.953262,1.863339922
2016,9,4967.734899,1.161407981
2016,10,4383.962431,0.610239669
2016,11,3558.855898,0.605447831
2016,12,3041.565689,0.773199804
2017,1,2769.425337,0.72854174
2017,2,2563.557152,0.539726239
2017,3,3548.950752,0.616983745
2017,4,3927.751885,0.622832883
2017,5,4935.37631,0.911670701
2017,6,5500.983419,1.530950788
2017,7,5963.14211,1.984570688
2017,8,5736.82028,1.663048344
2017,9,4884.251382,1.149298786
2017,10,4430.918894,0.689471681
2017,11,3559.558727,0.568676635
2017,12,3233.563265,0.709295147
2018,1,3028.990356,0.665897335
2018,2,2837.329379,0.574026791
2018,3,3429.773439,0.571041441
2018,4,3964.291043,0.677996651
2018,5,4806.983547,0.986957309
2018,6,5380.921163,1.491392703
2018,7,5697.965883,2.18361051
2018,8,5810.034497,1.830251839
2018,9,5112.48005,1.338220912
2018,10,4386.30599,0.70748383
2018,11,3514.913395,0.587077529
2018,12,3086.505378,0.717836683
