year,month,wateruse,elecuse
2007,1,4008.700465,0.51945853
2007,2,3226.983916,0.531586039
2007,3,4171.625965,0.450224515
2007,4,4276.305599,0.44289859
2007,5,4731.112132,0.402483393
2007,6,4967.354107,0.456985191
2007,7,5384.280461,0.497482496
2007,8,5529.528545,0.590572214
2007,9,4889.557181,0.610116985
2007,10,4717.996629,0.578853713
2007,11,3957.867709,0.457727089
2007,12,3483.998892,0.493859906
2008,1,3502.00216,0.524224027
2008,2,3134.197844,0.549573364
2008,3,3986.135283,0.474096599
2008,4,4321.517425,0.449256585
2008,5,4665.045842,0.419761147
2008,6,4917.743292,0.477827386
2008,7,5137.937105,0.542143454
2008,8,5158.628644,0.623750656
2008,9,4850.862374,0.588020478
2008,10,4918.55792,0.587467942
2008,11,4204.699841,0.490872897
2008,12,3238.551626,0.500773041
2009,1,3414.999943,0.519017022
2009,2,2846.064097,0.525477298
2009,3,3509.578196,0.449830747
2009,4,3843.656933,0.435895602
2009,5,4298.382004,0.409828609
2009,6,3710.5468,0.448190509
2009,7,4473.119603,0.47772392
2009,8,4246.816083,0.576650778
2009,9,4251.622385,0.59680019
2009,10,3834.37018,0.594979303
2009,11,3611.569559,0.486307871
2009,12,3225.273198,0.498532135
2010,1,3133.709067,0.50806158
2010,2,2468.321325,0.519174699
2010,3,3375.897823,0.448794192
2010,4,3290.443398,0.423640055
2010,5,3893.512136,0.394379533
2010,6,3985.809432,0.430075043
2010,7,4205.433006,0.450921019
2010,8,4303.514157,0.507754435
2010,9,4288.850862,0.514780519
2010,10,3499.313889,0.549389409
2010,11,3287.592202,0.467998365
2010,12,3088.578704,0.494041335
2011,1,3130.857871,0.507261427
2011,2,2944.634024,0.510620326
2011,3,3015.180766,0.444971594
2011,4,3353.088253,0.445289713
2011,5,3834.288717,0.406309095
2011,6,3782.559871,0.421076246
2011,7,4288.769399,0.454145013
2011,8,4451.287586,0.535523111
2011,9,4126.73999,0.578804661
2011,10,3782.967185,0.542187326
2011,11,3094.362559,0.45688144
2011,12,3150.734782,0.491216713
2012,1,3375.81636,0.500940093
2012,2,3191.54762,0.491872825
2012,3,3231.627293,0.425788099
2012,4,3220.30397,0.435914314
2012,5,3795.105134,0.395356167
2012,6,4067.272182,0.429975257
2012,7,4443.793013,0.454233215
2012,8,4696.97924,0.546822445
2012,9,4347.74843,0.608893187
2012,10,4260.909139,0.645700529
2012,11,3432.67736,0.506732708
2012,12,2814.782401,0.479024295
2013,1,3153.911829,0.48221324
2013,2,3051.594615,0.508272483
2013,3,3514.14011,0.41002053
2013,4,3709.487784,0.392474075
2013,5,4111.669381,0.363146468
2013,6,4279.075332,0.413557798
2013,7,4481.591729,0.4663886
2013,8,4485.339015,0.511709118
2013,9,4393.93781,0.61831077
2013,10,4429.455569,0.629117844
2013,11,3527.255612,0.46727241
2013,12,3451.087941,0.496873523
2014,1,3702.156137,0.498772676
2014,2,3105.685881,0.490877497
2014,3,3356.346763,0.419089181
2014,4,3738.895837,0.430147785
2014,5,4235.492761,0.428171526
2014,6,4467.172822,0.500979781
2014,7,4138.063312,0.543213389
2014,8,4023.526685,0.617684395
2014,9,3952.57263,0.640906634
2014,10,3928.785507,0.653623155
2014,11,3350.318519,0.517862548
2014,12,2776.25052,0.487934019
2015,1,3297.286269,0.501072238
2015,2,2823.417452,0.503072234
2015,3,3249.060321,0.441953529
2015,4,3333.292805,0.439053935
2015,5,3307.061799,0.412086714
2015,6,3429.337387,0.454029141
2015,7,3534.994574,0.506929695
2015,8,3691.158665,0.607956474
2015,9,3477.156021,0.634483474
2015,10,3497.84756,0.693752139
2015,11,3348.85219,0.570761405
2015,12,3050.046823,0.526807552
2016,1,2756.617997,0.531696771
2016,2,2844.353379,0.531142458
2016,3,2904.065575,0.435423591
2016,4,3095.665963,0.426273747
2016,5,3377.364152,0.395328336
2016,6,3555.9305,0.447796476
2016,7,3849.359326,0.522764667
2016,8,3931.392315,0.65239724
2016,9,3622.159716,0.618593758
2016,10,3498.499262,0.577337618
2016,11,3135.419785,0.499206575
2016,12,2807.613679,0.488831322
2017,1,2549.865538,0.511680409
2017,2,2276.720937,0.515878323
2017,3,2989.845851,0.447406335
2017,4,3379.237796,0.425419459
2017,5,3567.661136,0.397289606
2017,6,3666.393989,0.449819293
2017,7,4016.602352,0.533578733
2017,8,4052.445962,0.650603125
2017,9,3761.379556,0.656990081
2017,10,3832.496537,0.611907716
2017,11,3356.835539,0.494334404
2017,12,3471.290703,0.481014582
2018,1,3188.614961,0.480772923
2018,2,2981.862501,0.466363189
2018,3,2788.469933,0.428490604
2018,4,3250.608113,0.434768778
2018,5,3432.758822,0.393617403
2018,6,3603.01597,0.425501199
