year,month,wateruse,elecuse
2007,1,4032.867059,0.997265136
2007,2,3997.049415,1.021694215
2007,3,4211.368914,0.844703571
2007,4,4049.445708,0.689617955
2007,5,5083.793723,0.95743061
2007,6,5697.501779,1.286156519
2007,7,5404.973612,1.429249282
2007,8,6170.288009,1.722221751
2007,9,5569.484052,1.239409961
2007,10,4955.126357,0.846876436
2007,11,4149.16648,0.691317827
2007,12,4110.504452,0.98834212
2008,1,4356.131443,0.987302145
2008,2,3918.564775,0.96902823
2008,3,4173.78302,0.882894733
2008,4,4162.463015,0.701400147
2008,5,4603.390995,0.727720859
2008,6,5238.439937,1.286323729
2008,7,5369.875697,1.377974674
2008,8,5726.355529,1.358486319
2008,9,5210.327992,1.007230589
2008,10,4804.213072,0.717217394
2008,11,4079.249714,0.822296145
2008,12,4191.130122,1.070565934
2009,1,4219.758501,1.18578158
2009,2,3888.250346,0.88540806
2009,3,4073.357756,0.808980238
2009,4,4031.251948,0.77593687
2009,5,4571.662345,0.821127775
2009,6,4734.410238,1.349679509
2009,7,4974.346788,1.202523979
2009,8,4908.083352,1.308057781
2009,9,4571.483191,0.988773453
2009,10,4283.029012,0.735582778
2009,11,3988.138122,0.699401191
2009,12,4079.186151,1.124960267
2010,1,4109.347134,1.151966253
2010,2,3650.209344,1.135072198
2010,3,3996.195464,0.790419367
2010,4,4039.801703,0.703439591
2010,5,4407.949038,0.977389847
2010,6,4911.672496,1.558618189
2010,7,5341.380779,1.700210244
2010,8,5430.347641,1.552864015
2010,9,5432.097633,1.030114009
2010,10,5075.107788,0.594907573
2010,11,3992.590989,0.715299908
2010,12,4004.020954,1.241380795
2011,1,4094.341731,1.145918125
2011,2,3602.482916,0.851188218
2011,3,3945.549085,0.789921366
2011,4,3857.512079,0.689056573
2011,5,4205.281559,0.972464338
2011,6,4794.993959,1.312821332
2011,7,5366.275554,1.679821632
2011,8,5382.049397,1.47056951
2011,9,4586.436658,0.904819052
2011,10,4329.71789,0.698253725
2011,11,3871.187613,0.754578404
2011,12,3769.159552,0.972491783
2012,1,3774.22182,1.026157891
2012,2,3452.852207,0.837859133
2012,3,3756.006033,0.731105612
2012,4,3690.360597,0.743204121
2012,5,4575.607248,1.100437516
2012,6,4971.759807,1.315626155
2012,7,5583.380585,1.740571471
2012,8,5380.353549,1.387868909
2012,9,4548.633756,0.928454365
2012,10,4198.326254,0.710972035
2012,11,3746.627925,0.817961801
2012,12,3702.593078,0.953426779
2013,1,3821.148091,1.046426425
2013,2,3497.819599,0.906121018
2013,3,3822.913064,0.926413136
2013,4,3872.233626,0.683927241
2013,5,4367.622424,0.950346899
2013,6,4521.704504,1.177175061
2013,7,4615.5741,1.310605886
2013,8,4951.776247,1.35305961
2013,9,4547.31437,0.988086616
2013,10,4125.517451,0.731412183
2013,11,3766.797791,0.824111074
2013,12,3827.593306,1.067363604
2014,1,4252.020977,1.220716156
2014,2,3719.266897,0.9610846
2014,3,3944.352689,0.868729056
2014,4,3836.459092,0.648880393
2014,5,4353.939827,0.972274682
2014,6,4679.867637,1.246601143
2014,7,5037.858344,1.192772737
2014,8,4896.608716,1.30311525
2014,9,4659.263938,0.929468345
2014,10,4178.325195,0.678081178
2014,11,3802.134823,0.835292647
2014,12,3807.530923,1.002817477
2015,1,3926.958838,1.079275776
2015,2,3708.589726,1.007657094
2015,3,4074.037346,0.829730711
2015,4,3755.243801,0.636874076
2015,5,4633.16551,0.940944223
2015,6,4777.711119,1.253538739
2015,7,4795.976248,1.401647576
2015,8,5212.290746,1.18871111
2015,9,5048.043533,1.017810108
2015,10,4441.817187,0.664663713
2015,11,3765.103411,0.691230217
2015,12,3762.842795,0.835778018
2016,1,3910.099658,1.093419274
2016,2,3602.945034,0.832512841
2016,3,3702.067968,0.738525754
2016,4,3735.638052,0.666441876
2016,5,4079.468352,0.83068615
2016,6,4575.297637,1.293181761
2016,7,4729.086922,1.44549795
2016,8,4707.13727,1.451639602
2016,9,4700.432647,1.070451846
2016,10,4404.223183,0.734536552
2016,11,3788.179994,0.690290675
2016,12,3739.437655,0.97961988
2017,1,3794.63958,0.959093268
2017,2,3336.358001,0.69122216
2017,3,3683.241935,0.773219247
2017,4,3662.83232,0.657944579
2017,5,4175.310896,0.914871234
2017,6,4612.171151,1.150224347
2017,7,4995.746513,1.467253018
2017,8,4920.13311,1.198784077
2017,9,4491.956505,0.867364254
2017,10,4515.347671,0.711627604
2017,11,4055.799701,0.734399988
2017,12,4011.612328,1.006559428
2018,1,4443.965172,1.151835617
2018,2,3682.619073,0.743632257
2018,3,3885.632147,0.843481925
2018,4,3841.041717,0.683265091
2018,5,4646.731817,1.102391198
2018,6,4595.365218,1.260179762
2018,7,4990.13219,1.396396551
2018,8,4955.430818,1.37489778
2018,9,4557.210577,1.00194128
2018,10,4273.500513,0.779524877
2018,11,3680.363986,0.815933611
2018,12,3698.357806,0.915265456
