year,month,wateruse,elecuse
2007,1,4912.416235,0.405633865
2007,2,4252.927045,0.395415349
2007,3,5186.787204,0.381491948
2007,4,5592.995322,0.342491373
2007,5,4966.89847,0.333962637
2007,6,5153.369579,0.430290486
2007,7,5485.851562,0.527316583
2007,8,5526.22329,0.577121559
2007,9,4717.916298,0.513618276
2007,10,5100.556328,0.434220748
2007,11,4712.226577,0.376747794
2007,12,5231.862435,0.407685403
2008,1,4930.115782,0.411323178
2008,2,4919.343066,0.395892457
2008,3,5231.298767,0.369445484
2008,4,4807.32444,0.335734723
2008,5,5043.644601,0.325223669
2008,6,4964.384596,0.430297687
2008,7,4997.60886,0.581799334
2008,8,4907.878178,0.577561928
2008,9,5118.424364,0.503628834
2008,10,4850.528568,0.380524707
2008,11,4793.355147,0.349067885
2008,12,5353.020388,0.4109262
2009,1,4920.197722,0.429076374
2009,2,4135.001877,0.39905342
2009,3,4504.717808,0.363580134
2009,4,4796.020523,0.335284488
2009,5,4946.189463,0.336098229
2009,6,5454.511325,0.367711033
2009,7,5109.898636,0.443068544
2009,8,5077.311976,0.535970446
2009,9,4589.538231,0.49450918
2009,10,5034.638969,0.360717856
2009,11,4408.209235,0.34949829
2009,12,5278.263046,0.388807874
2010,1,4548.987064,0.418826088
2010,2,4526.678057,0.393772676
2010,3,5828.484257,0.357022735
2010,4,4749.694899,0.316727405
2010,5,4609.140835,0.327016555
2010,6,4512.448133,0.445165567
2010,7,4737.77154,0.629718029
2010,8,4706.370515,0.635154105
2010,9,4547.595802,0.383421358
2010,10,4685.562607,0.386978555
2010,11,4260.556505,0.348420937
2010,12,4451.757383,0.391299334
2011,1,4478.234656,0.417671553
2011,2,4359.194501,0.389259064
2011,3,5040.443748,0.358307848
2011,4,4740.383456,0.327781957
2011,5,4846.062945,0.321370633
2011,6,4518.268419,0.431152607
2011,7,4788.496322,0.572126089
2011,8,5845.628844,0.61737923
2011,9,5469.673218,0.495983478
2011,10,5152.586519,0.389901989
2011,11,4595.683106,0.346195954
2011,12,4795.972507,0.371683393
2012,1,4583.074905,0.393378703
2012,2,4014.134065,0.363169641
2012,3,4110.531966,0.340137967
2012,4,4163.287214,0.309926867
2012,5,4734.673187,0.317510649
2012,6,4712.189885,0.406860961
2012,7,4732.084924,0.59280719
2012,8,4747.984256,0.612412069
2012,9,4462.78626,0.536432646
2012,10,4601.192748,0.377130598
2012,11,4294.608779,0.345469649
2012,12,4746.135496,0.369054354
2013,1,4364.333846,0.38852283
2013,2,4170.705757,0.382301146
2013,3,4474.642393,0.35420262
2013,4,3977.065847,0.317862678
2013,5,4455.95224,0.307207667
2013,6,5157.701856,0.408805184
2013,7,4787.610829,0.611460407
2013,8,4464.747606,0.543000985
2013,9,4117.153328,0.485250572
2013,10,4023.513418,0.353007834
2013,11,4027.781062,0.328107606
2013,12,4481.605391,0.382780489
2014,1,4327.485037,0.39676609
2014,2,4267.198686,0.388125494
2014,3,4388.968431,0.35602907
2014,4,4569.534092,0.31272203
2014,5,4712.392912,0.302938199
2014,6,4416.735125,0.370211244
2014,7,4681.833118,0.511915587
2014,8,4353.315339,0.478808182
2014,9,4080.859054,0.473296725
2014,10,4439.173806,0.33805738
2014,11,4317.451003,0.322275617
2014,12,4793.15808,0.36929057
2015,1,4530.435796,0.383616449
2015,2,3878.62969,0.38579989
2015,3,4927.05663,0.358333421
2015,4,4070.030296,0.308298019
2015,5,4047.121883,0.30661566
2015,6,4510.487066,0.389172843
2015,7,4368.969937,0.508827277
2015,8,4282.63808,0.568889297
2015,9,4230.482405,0.548756862
2015,10,4457.830343,0.372187212
2015,11,4018.993242,0.317764128
2015,12,4354.521091,0.347821161
2016,1,4270.191526,0.368500655
2016,2,4374.74173,0.360141566
2016,3,4036.656994,0.323961483
2016,4,3891.120139,0.294508505
2016,5,4271.990714,0.300697243
2016,6,4058.270459,0.388688449
2016,7,4636.506094,0.516185987
2016,8,4287.463726,0.606527096
2016,9,4137.31863,0.564030643
2016,10,4236.366802,0.370462295
2016,11,4127.916425,0.318555676
2016,12,4328.845038,0.34897327
2017,1,4589.064131,0.369984515
2017,2,3770.242375,0.341214399
2017,3,4515.725386,0.326351737
2017,4,4520.352546,0.29113717
2017,5,4742.931694,0.283348203
2017,6,4390.235417,0.363274346
2017,7,4577.20051,0.525536995
2017,8,4496.312188,0.509115943
2017,9,4089.643975,0.43126275
2017,10,4210.147281,0.385674389
2017,11,3937.956628,0.320613298
2017,12,4002.713673,0.342875377
2018,1,4095.106112,0.38755585
2018,2,4385.573466,0.345705115
2018,3,4967.980981,0.323256427
2018,4,4522.439986,0.294089633
2018,5,4598.411226,0.291431977
2018,6,4286.559202,0.363051916
2018,7,4763.423403,0.524942311
2018,8,4878.824075,0.557652883
2018,9,4658.47153,0.542167647
2018,10,4399.605706,0.370821115
2018,11,4770.497507,0.3128227
2018,12,4979.844602,0.34676845
