year,month,wateruse,elecuse
2007,1,2561.650048,1.298739492
2007,2,2343.163954,1.057415514
2007,3,2692.548259,0.775382195
2007,4,2602.972185,0.743286884
2007,5,2859.771261,0.817583904
2007,6,3036.774015,1.220819609
2007,7,3360.258099,1.458767904
2007,8,4500.888775,1.748059053
2007,9,3507.803382,1.162581125
2007,10,3223.631748,0.915530431
2007,11,2807.326001,0.89320031
2007,12,2624.949758,1.18477913
2008,1,2550.560787,1.249152762
2008,2,2366.048981,1.071785237
2008,3,2522.719935,0.934615046
2008,4,2689.765046,0.75516235
2008,5,3288.184575,0.928960878
2008,6,3577.464789,1.390476522
2008,7,4642.890791,1.688062045
2008,8,4044.238373,1.60446326
2008,9,3279.080723,0.996276661
2008,10,3126.284199,0.800107115
2008,11,2628.112909,0.797381486
2008,12,2555.747866,1.421923627
2009,1,2475.680453,1.318573766
2009,2,2218.005043,0.745178053
2009,3,2588.920373,0.927322389
2009,4,2591.322432,0.815366267
2009,5,2868.047937,0.855525765
2009,6,4115.63158,1.464038862
2009,7,4759.061013,1.638632795
2009,8,3663.441391,1.568101122
2009,9,3102.825799,0.956577913
2009,10,2737.120129,0.759386481
2009,11,2493.513921,0.763052432
2009,12,2414.526737,1.374772812
2010,1,2497.212166,1.460224432
2010,2,2011.220021,1.051219413
2010,3,2261.20588,0.976689661
2010,4,2521.211778,0.730199481
2010,5,2919.124539,0.87039561
2010,6,3441.459532,1.504606435
2010,7,3633.577639,1.672692646
2010,8,4949.061429,1.969430121
2010,9,3306.835445,1.180128833
2010,10,3074.505867,0.800587277
2010,11,2509.89883,0.806628946
2010,12,2323.457399,1.238319896
2011,1,2361.683656,1.321005197
2011,2,2336.512654,1.181295643
2011,3,2582.759354,0.771856074
2011,4,3213.822396,0.804151223
2011,5,3181.727879,0.962733984
2011,6,4449.029218,1.683945337
2011,7,5516.144605,2.070250528
2011,8,5017.413089,1.98272282
2011,9,3986.325809,1.066786318
2011,10,3264.382933,0.78432704
2011,11,2658.749158,0.843911627
2011,12,2476.83056,1.266698102
2012,1,2316.692036,1.101897578
2012,2,2137.296794,0.931916683
2012,3,2380.59251,0.797284083
2012,4,2509.50511,0.741407951
2012,5,3183.51713,1.114740559
2012,6,3540.81566,1.35189571
2012,7,5164.743867,1.916098267
2012,8,4817.693986,1.662393831
2012,9,3603.701995,1.117802215
2012,10,2941.157542,0.821698384
2012,11,2673.815043,0.82010395
2012,12,2545.682549,1.082412522
2013,1,2249.983508,1.27138996
2013,2,1915.187752,0.939758921
2013,3,2230.881823,0.975728463
2013,4,2134.111423,0.835210144
2013,5,3121.184802,0.903980009
2013,6,2880.310445,1.266350875
2013,7,3416.314445,1.521147008
2013,8,3281.627487,1.592633517
2013,9,3245.441361,1.217208251
2013,10,2584.769704,0.852050392
2013,11,2246.063743,0.875583779
2013,12,2298.990135,1.45688063
2014,1,2297.55374,1.3360479
2014,2,2116.262096,1.144520729
2014,3,2341.54404,1.054495571
2014,4,2558.302922,0.717854994
2014,5,3120.297601,0.953922378
2014,6,2786.089987,1.277833468
2014,7,3239.968921,1.391866028
2014,8,3479.057283,1.575938613
2014,9,3041.781838,1.117322423
2014,10,2794.810821,0.855631626
2014,11,2220.959198,0.942922467
2014,12,2119.887929,1.170074013
2015,1,2177.261457,1.325954416
2015,2,1881.489661,1.010900114
2015,3,2091.794691,0.960853313
2015,4,2161.742224,0.681845146
2015,5,2186.14016,0.79853806
2015,6,2885.005073,1.356288895
2015,7,2021.717678,1.585556053
2015,8,3309.860262,1.497504357
2015,9,3107.564563,1.285752841
2015,10,2768.601577,0.74380934
2015,11,2145.53859,0.739047252
2015,12,2026.896921,1.061903685
2016,1,2029.95204,1.285390442
2016,2,1943.719842,0.851018622
2016,3,2254.514863,0.757341706
2016,4,2286.506726,0.715493634
2016,5,2598.915011,0.821488405
2016,6,3207.671849,1.407860569
2016,7,3544.589,1.756256134
2016,8,3471.82802,1.550164379
2016,9,2788.432617,1.143192351
2016,10,2774.952286,0.875446461
2016,11,2283.225509,0.714423924
2016,12,2223.944861,1.21214332
2017,1,2033.337121,1.224664402
2017,2,1818.380243,0.761479369
2017,3,2258.521882,0.810783891
2017,4,2186.457708,0.668014164
2017,5,2630.351374,0.801321194
2017,6,3429.57824,1.296744206
2017,7,3747.165686,1.614229733
2017,8,2990.509897,1.386260407
2017,9,2991.087132,1.078912378
2017,10,2616.678121,0.862059668
2017,11,2335.185897,0.753968853
2017,12,2114.393534,1.065323838
2018,1,2254.19262,1.44541282
2018,2,1881.6957,1.003430378
2018,3,2217.844857,0.807848134
2018,4,2316.155182,0.760854771
2018,5,2807.887194,1.064672266
2018,6,3008.927299,1.400683734
2018,7,3437.343853,1.629018266
2018,8,3059.886321,1.429212141
2018,9,2631.289381,1.036777589
2018,10,2332.344819,0.87773802
