year,month,wateruse,elecuse
2007,1,3545,1.068124149
2007,2,3223.333333,0.973821274
2007,3,3513.333333,0.968302931
2007,4,3588.333333,0.593291326
2007,5,4663.333333,0.817847873
2007,6,7113.333333,1.053294422
2007,7,9151.666667,1.550847083
2007,8,6083.333333,1.531342633
2007,9,5755,1.002848916
2007,10,4285,0.729030964
2007,11,3676.666667,0.726656021
2007,12,3545,1.194935106
2008,1,3675,1.190412616
2008,2,3383.333333,1.014418661
2008,3,3541.666667,0.894007817
2008,4,3536.666667,0.728974393
2008,5,4515,0.671136065
2008,6,4470,0.939967183
2008,7,6045,1.464479786
2008,8,7796.666667,1.357785742
2008,9,5098.333333,0.831541593
2008,10,4068.333333,0.742831463
2008,11,3445,0.725465709
2008,12,3586.666667,1.190949805
2009,1,3681.666667,1.222886925
2009,2,3148.333333,0.845443929
2009,3,3465,0.906826145
2009,4,3580,0.698712113
2009,5,5225,0.701963734
2009,6,5265,0.966517827
2009,7,6455,1.338581624
2009,8,5886.666667,1.086008734
2009,9,4975,0.843293625
2009,10,3626.666667,0.715764556
2009,11,3186.666667,0.775992498
2009,12,3368.333333,1.079597399
2010,1,3518.333333,1.305588503
2010,2,3240,0.864522729
2010,3,3600,1.036249377
2010,4,3771.666667,0.57974071
2010,5,4640,0.696420443
2010,6,4836.666667,1.139793471
2010,7,5930,1.45752504
2010,8,7238.333333,1.595133232
2010,9,5026.666667,0.912584914
2010,10,5016.666667,0.594823758
2010,11,3381.666667,0.693590376
2010,12,3290,1.149595749
2011,1,3446.666667,1.190621965
2011,2,3076.666667,0.977857199
2011,3,3251.666667,0.971725573
2011,4,3331.666667,0.519564869
2011,5,4585,0.795601123
2011,6,5541.666667,1.042105127
2011,7,7118.333333,1.500752153
2011,8,5960,1.437256637
2011,9,5276.666667,0.804243948
2011,10,4551.666667,0.653308912
2011,11,3381.666667,0.670767178
2011,12,3290,1.079233966
2012,1,3306.666667,0.975581646
2012,2,3113.333333,0.905752722
2012,3,3478.333333,0.847187273
2012,4,4001.666667,0.576301446
2012,5,5351.666667,0.754487884
2012,6,6926.666667,1.250659673
2012,7,10041.66667,1.774620462
2012,8,8575,1.391991729
2012,9,6858.333333,0.846858232
2012,10,4680,0.605662406
2012,11,3378.333333,0.753790088
2012,12,3386.666667,0.948068104
2013,1,3500,1.138468168
2013,2,3091.666667,0.894777794
2013,3,3463.333333,0.956317479
2013,4,3348.333333,0.752552495
2013,5,4093.333333,0.769792877
2013,6,4641.666667,0.858073143
2013,7,8248.333333,1.389414872
2013,8,7855,1.244961499
2013,9,6163.333333,1.041242817
2013,10,4265,0.760579321
2013,11,3340,0.686692492
2013,12,3511.666667,1.143284553
2014,1,3656.666667,1.200642152
2014,2,3160,0.936630878
2014,3,3568.333333,0.948875717
2014,4,3945,0.670844524
2014,5,4906.666667,0.722381955
2014,6,5245,1.007836703
2014,7,3395,1.24771769
2014,8,6375,1.166119626
2014,9,4493.333333,0.876097499
2014,10,4118.333333,0.658458426
2014,11,3326.666667,0.71891148
2014,12,3218.333333,1.127737341
2015,1,3391.666667,1.095714893
2015,2,3106.666667,0.868060801
2015,3,3516.666667,0.848515669
2015,4,3636.666667,0.617304894
2015,5,3985,0.638331967
2015,6,4885,0.934649381
2015,7,6278.333333,1.404476783
2015,8,5583.333333,1.122272611
2015,9,5130,0.934801473
2015,10,4608.333333,0.742194458
2015,11,3343.333333,0.595028137
2015,12,3308.333333,1.002680573
2016,1,3358.333333,1.092328993
2016,2,3195,0.865518375
2016,3,3211.666667,0.751204608
2016,4,3736.666667,0.613056687
2016,5,4041.666667,0.670768917
2016,6,6830,1.198584887
2016,7,6626.666667,1.47090258
2016,8,6088.333333,1.213611075
2016,9,4943.333333,0.958356262
2016,10,4188.333333,0.667510652
2016,11,3538.333333,0.568615339
2016,12,3380,1.06482409
2017,1,3841.121495,1.122521954
2017,2,3416.82243,0.742863789
2017,3,3770.093458,0.772363157
2017,4,3850.46729,0.6591482
2017,5,4676.635514,0.682419879
2017,6,7540.186916,1.062421427
2017,7,8671.028037,1.46516007
2017,8,7360.747664,1.105783769
2017,9,6816.82243,0.893816129
2017,10,4512.149533,0.715099335
2017,11,3885.981308,0.642726167
2017,12,3826.168224,0.978054027
2018,1,4018.691589,1.150485203
2018,2,3386.915888,0.928999747
2018,3,3685.981308,0.869930247
2018,4,3844.859813,0.709208886
2018,5,5824.299065,0.776993157
2018,6,6671.028037,1.22928862
2018,7,7304.672897,1.379060453
2018,8,6848.598131,1.13153392
2018,9,5484.11215,0.944329718
2018,10,3994.392523,0.643167754
2018,11,3545.794393,0.743903674
2018,12,3699.065421,1.018167628
