year,month,wateruse,elecuse
2007,1,6129.782871,0.946205719
2007,2,5527.973462,1.019424901
2007,3,6721.46924,0.949002277
2007,4,6775.775633,0.913306709
2007,5,7413.244873,1.010072498
2007,6,6706.706876,1.1873885
2007,7,6511.893848,1.466463013
2007,8,7152.448733,1.542657716
2007,9,6297.08082,1.526186458
2007,10,6312.762364,1.325736099
2007,11,6171.411339,1.018879122
2007,12,6205.597105,0.902463092
2008,1,5858.518129,1.009737002
2008,2,5575.907802,0.887528734
2008,3,6167.319837,0.887184695
2008,4,6319.142704,0.916430243
2008,5,7381.684914,1.003910482
2008,6,6462.541726,1.315352364
2008,7,6166.254754,1.351627998
2008,8,6145.001489,1.392427246
2008,9,5914.773924,1.467026513
2008,10,6162.86585,1.187509315
2008,11,5897.490517,0.930979098
2008,12,5896.861149,0.989869097
2009,1,5628.580537,0.964381012
2009,2,5031.785322,1.10136414
2009,3,5942.988008,0.902681347
2009,4,5825.410443,0.861892524
2009,5,5934.479105,1.022780106
2009,6,5642.316672,1.236563309
2009,7,5668.359071,1.42334808
2009,8,5518.738338,1.389329781
2009,9,5338.223022,1.378797652
2009,10,5878.573505,1.319100842
2009,11,5412.341894,1.014178207
2009,12,5066.031898,0.870611204
2010,1,4926.467141,1.321402043
2010,2,4220.618651,1.123164744
2010,3,4895.596819,1.126923988
2010,4,5187.387967,0.831441144
2010,5,5786.965115,1.018157667
2010,6,5606.770235,1.317344096
2010,7,5913.154387,1.444801313
2010,8,5692.857471,1.522962156
2010,9,5432.89516,1.371494802
2010,10,5916.095969,1.167092227
2010,11,5313.715126,0.923002451
2010,12,5121.845843,1.018898834
2011,1,5071.144402,1.264939061
2011,2,4790.87353,0.973386817
2011,3,5609.843149,0.818952208
2011,4,5682.605551,0.871475314
2011,5,6342.749457,1.093288856
2011,6,5956.523394,1.260897259
2011,7,5891.232345,1.371629955
2011,8,5773.046979,1.421732936
2011,9,5498.034606,1.385109234
2011,10,5497.368371,1.159236341
2011,11,5298.211634,0.824173245
2011,12,5336.972247,0.810553889
2012,1,5253.893905,0.940680009
2012,2,4973.655412,0.843357077
2012,3,5668.048755,0.842036559
2012,4,5854.465608,0.918839378
2012,5,6032.486156,0.980357385
2012,6,5362.59776,1.1964708
2012,7,5962.249644,1.255805886
2012,8,5634.180511,1.393293865
2012,9,5304.743441,1.296195893
2012,10,5458.188285,1.188581369
2012,11,5378.541307,0.875934523
2012,12,5351.51275,0.787045179
2013,1,5352.545593,0.905719985
2013,2,4889.414793,0.859765733
2013,3,5587.245989,0.876450786
2013,4,5463.944013,0.88961705
2013,5,5741.921493,0.9471241
2013,6,5451.40403,1.149317902
2013,7,5556.956744,1.285211261
2013,8,5682.380145,1.297874072
2013,9,5406.052663,1.342636028
2013,10,5822.394241,1.189351568
2013,11,5408.551231,0.900902055
2013,12,5608.318817,0.824455044
2014,1,5414.382627,0.935666714
2014,2,4853.262925,1.059172702
2014,3,5628.192668,0.809814932
2014,4,5707.521651,0.799380933
2014,5,6053.179622,0.961696714
2014,6,5986.968407,1.173092591
2014,7,6005.519995,1.312657333
2014,8,6242.070692,1.379495205
2014,9,5633.722238,1.373814147
2014,10,6088.03267,1.097095866
2014,11,5697.898763,0.843299448
2014,12,5699.430765,0.887413623
2015,1,5455.520678,0.920217789
2015,2,4863.17822,0.919486178
2015,3,5827.437116,0.957175373
2015,4,5799.7556,0.943506284
2015,5,6404.318037,1.045284084
2015,6,6055.512283,1.260385923
2015,7,6244.129047,1.406563135
2015,8,5954.044486,1.314129323
2015,9,5646.446178,1.325299402
2015,10,6182.586065,1.136651598
2015,11,5829.419364,1.018642667
2015,12,5906.750372,0.841939646
2016,1,5611.018707,0.946603808
2016,2,5316.769142,0.97468293
2016,3,6079.654824,0.88064721
2016,4,5970.747912,0.878596248
2016,5,6298.379712,1.004932297
2016,6,6139.574651,1.260737744
2016,7,6569.852735,1.459246593
2016,8,6391.471528,1.447724936
2016,9,5870.157357,1.354022511
2016,10,6124.577174,1.196016763
2016,11,6190.897793,0.912762328
2016,12,6196.200639,0.813090669
2017,1,5881.384837,0.941820374
2017,2,5371.858582,0.837795841
2017,3,6268.096675,0.77214287
2017,4,6670.945382,0.974031362
2017,5,6864.725352,1.186850786
2017,6,5885.373211,1.200174255
2017,7,6190.117084,1.33802099
2017,8,6257.483932,1.343907204
2017,9,5758.249516,1.331013704
2017,10,6073.078933,1.150424394
2017,11,6013.826364,0.953909663
2017,12,6114.360897,0.824654307
2018,1,5833.560171,1.057363614
2018,2,5471.640762,0.998489758
2018,3,6276.936966,0.86426397
2018,4,6104.222809,0.863727963
2018,5,6140.539511,0.907113809
2018,6,5953.625319,1.153183198
2018,7,6158.86799,1.324099225
2018,8,6222.49594,1.292515846
2018,9,5976.30908,1.313810142
2018,10,6317.155275,1.318433847
2018,11,5833.106496,0.978837642
2018,12,5832.494034,0.877496353
