year,month,wateruse,elecuse
2007,1,4259.186667,1.244522977
2007,2,3831.84,1.064986412
2007,3,4897.293333,0.829037731
2007,4,5476.293333,0.81017653
2007,5,6932.593333,1.176909796
2007,6,7806.493333,1.530892449
2007,7,8208.82,2.008310352
2007,8,7481.953333,1.942165076
2007,9,7067.193333,2.109072437
2007,10,6643.346667,1.334565412
2007,11,5790.053333,0.971976948
2007,12,4176.893333,0.988193701
2008,1,4210.726667,1.165241005
2008,2,3565.206667,1.080911995
2008,3,4718.04,0.880574131
2008,4,5599.826667,0.813086201
2008,5,6456.993333,1.04007993
2008,6,7123.973333,1.374187722
2008,7,7162.546667,1.961605812
2008,8,6737.073333,2.007973281
2008,9,6092.76,1.773992911
2008,10,6146.58,1.302249537
2008,11,5107.18,0.917184972
2008,12,4099.893333,0.906765091
2009,1,3993.693333,1.049886169
2009,2,3665.94,0.867082172
2009,3,4848.333333,0.894394059
2009,4,5317.626667,0.746265564
2009,5,6368.38,1.21300055
2009,6,6591.033333,1.389458167
2009,7,7402.186667,1.888894456
2009,8,7221.34,2.015958577
2009,9,6231.313333,1.783024194
2009,10,5996.1,1.200836919
2009,11,4919.166667,0.86227242
2009,12,4052.033333,0.945022923
2010,1,3664.933333,1.031285888
2010,2,3399.16,0.881891594
2010,3,3978.593333,0.838217088
2010,4,5090.26,0.800749205
2010,5,6215.88,1.024667853
2010,6,7076.286667,1.550038452
2010,7,7544.246667,2.056050336
2010,8,6721.386667,1.848014968
2010,9,6439.913333,1.629475864
2010,10,5777.22,1.070608963
2010,11,4933.806667,0.812928638
2010,12,4115.126667,0.914809441
2011,1,4096.833333,1.031181447
2011,2,3727.52,0.944946012
2011,3,4592.026667,0.767169667
2011,4,5222.76,0.89856691
2011,5,6385.053333,1.057078105
2011,6,7091.26,1.506057977
2011,7,7418.166667,1.96034406
2011,8,7329.72,2.03230753
2011,9,6742.286667,1.600378033
2011,10,6280.133333,1.069195651
2011,11,4582.24,0.766679444
2011,12,3857.006667,1.085494448
2012,1,3928.093333,0.929586892
2012,2,3875.84,0.786035972
2012,3,4437.553333,0.770412199
2012,4,5219.266667,0.927003275
2012,5,6470.28,1.254981581
2012,6,7091.26,1.700241391
2012,7,7080.426667,1.840603613
2012,8,6799.346667,1.939004316
2012,9,5826.633333,1.501762791
2012,10,6070.986667,1.0453033
2012,11,5023.16,0.76095887
2012,12,4135.9,0.980335592
2013,1,3832.706667,1.072994639
2013,2,3494.7,0.854891845
2013,3,4314.306667,0.802983748
2013,4,5099.406667,0.865319777
2013,5,6372,1.238963381
2013,6,7111.18,1.720616952
2013,7,7082.566667,1.921685601
2013,8,6823.233333,1.81397595
2013,9,5777.086667,1.471094194
2013,10,5925.333333,0.863006343
2013,11,4601.393333,0.743242848
2013,12,3960.36,0.966403415
2014,1,4000.693333,0.909123949
2014,2,3798.72,0.72736112
2014,3,4436.86,0.739527766
2014,4,5250.173333,0.841278794
2014,5,6346.04,1.156390388
2014,6,7036.773333,1.620432515
2014,7,7231.486667,1.926625905
2014,8,6293.28,1.701350939
2014,9,5390.38,1.495431384
2014,10,5359.873333,1.012340025
2014,11,4878.826667,0.764082923
2014,12,3929.96,0.912772113
2015,1,3864.48,0.925654809
2015,2,3558,0.676805401
2015,3,4485.666667,0.804991543
2015,4,5200.44,0.824235078
2015,5,5602.993333,1.019635345
2015,6,6439.286667,1.624491531
2015,7,7084.16,1.848168304
2015,8,7071.853333,1.900283485
2015,9,5915.186667,1.510855994
2015,10,56303.82,1.047271206
2015,11,4554.326667,0.743855781
2015,12,4153.573333,1.03301409
2016,1,3769.113333,0.991422765
2016,2,3882.026667,0.75576663
2016,3,4794.66,0.745577192
2016,4,5128.606667,0.805966028
2016,5,6035.846667,1.07130615
2016,6,7071.5,1.735016926
2016,7,7373.593333,2.026536474
2016,8,6598.78,1.774329398
2016,9,5896.413333,1.356399959
2016,10,5963.72,1.077336868
2016,11,4748.313333,0.767511282
2016,12,4079.253333,0.877407747
2017,1,3648.113333,0.916858966
2017,2,3555.46,0.702138937
2017,3,4508.513333,0.807845083
2017,4,5371.473333,0.871200713
2017,5,6351.146667,1.156018656
2017,6,7137.553333,1.719536872
2017,7,7269.02,1.957207651
2017,8,6862.26,1.814158135
2017,9,6334.306667,1.447616368
2017,10,6439.886667,1.045350026
2017,11,5305.346667,0.771618169
2017,12,4578.646667,0.874016909
2018,1,4313.946667,0.817475792
2018,2,3868.486667,0.722750651
2018,3,4633.226667,0.748684433
2018,4,5449.7,0.913082249
2018,5,6436.973333,1.217948909
2018,6,6990.233333,1.625806589
