year,month,wateruse,elecuse
2007,1,3095.737209,1.311106906
2007,2,2760.530581,1.206732504
2007,3,3030.982093,0.997619473
2007,4,2976.19093,0.852357014
2007,5,3620.30186,0.778972235
2007,6,4454.556664,0.742423012
2007,7,5336.206977,0.76830693
2007,8,5057.443023,0.782565378
2007,9,4218.443721,0.756294862
2007,10,3118.392907,0.749284527
2007,11,2887.888023,0.890853361
2007,12,3019.239302,1.135015111
2008,1,3072.260233,1.288454083
2008,2,2888.875116,1.03959911
2008,3,3014.968953,0.997451165
2008,4,2982.447442,0.924583498
2008,5,3707.259419,0.813125056
2008,6,4318.598605,0.744599515
2008,7,5113.432558,0.79729113
2008,8,4890.668863,0.790483529
2008,9,4141.583721,0.721555793
2008,10,3327.943721,0.787531879
2008,11,2879.253858,0.889752161
2008,12,3245.751512,1.287043795
2009,1,3046.942192,1.203964536
2009,2,2848.608996,1.043930098
2009,3,3114.344092,1.046033908
2009,4,3124.911752,0.847585739
2009,5,3595.11887,0.751024119
2009,6,4350.147628,0.705861515
2009,7,5357.937205,0.86273769
2009,8,4935.431169,0.807584515
2009,9,3927.162023,0.736758837
2009,10,3243.168878,0.774956484
2009,11,3023.450139,0.947713292
2009,12,3179.749461,1.331442335
2010,1,3015.25682,1.045334237
2010,2,2681.702972,0.886855539
2010,3,2933.009663,0.92486573
2010,4,2970.716075,0.85627062
2010,5,3150.526224,0.763710999
2010,6,3401.30156,0.72834035
2010,7,4741.940414,0.792023399
2010,8,4824.878289,0.763744524
2010,9,3521.810358,0.707755866
2010,10,3056.063571,0.754727482
2010,11,2810.424304,0.959543209
2010,12,2962.400238,1.200682022
2011,1,2885.143704,1.213538282
2011,2,2440.76289,0.966611939
2011,3,2897.489437,1.00366773
2011,4,2832.866956,0.892337226
2011,5,3003.333968,0.786653744
2011,6,3488.688305,0.703409577
2011,7,4286.767793,0.709733504
2011,8,4548.1119,0.768858462
2011,9,3763.925266,0.741427654
2011,10,2934.382764,0.741413275
2011,11,2743.95175,1.00463353
2011,12,2815.86326,1.207741292
2012,1,2662.252711,1.151790571
2012,2,2649.743656,0.958988988
2012,3,2897.193856,1.017580329
2012,4,2819.537404,0.822599276
2012,5,3201.13044,0.735038773
2012,6,3303.18044,0.68505041
2012,7,4151.995582,0.750490605
2012,8,4539.666865,0.81085561
2012,9,3839.584369,0.68515339
2012,10,3158.819316,0.725174626
2012,11,2757.129482,0.903558897
2012,12,2838.800504,1.128523141
2013,1,2858.935683,1.236056567
2013,2,2550.004018,0.921255181
2013,3,2887.664729,0.911825801
2013,4,2866.341754,0.765097633
2013,5,3413.603064,0.718783704
2013,6,3758.656987,0.688046821
2013,7,4505.739209,0.82053681
2013,8,4127.572773,0.76774599
2013,9,3247.414106,0.689545259
2013,10,2707.271169,0.818160071
2013,11,2518.906753,0.896170732
2013,12,2924.280196,1.337831284
2014,1,2855.71376,1.082874059
2014,2,2693.849303,1.041689443
2014,3,2937.39769,0.838217176
2014,4,2985.518839,0.756757387
2014,5,3184.103017,0.713526883
2014,6,3690.107748,0.642428686
2014,7,4334.425065,0.849719677
2014,8,4474.505585,0.826621553
2014,9,3729.264094,0.69610879
2014,10,2976.462392,0.69797469
2014,11,2873.868244,0.905704235
2014,12,2713.048658,1.093870298
2015,1,2694.341882,1.028248935
2015,2,2431.120602,0.786538181
2015,3,2757.216935,0.79708739
2015,4,2684.64911,0.757338622
2015,5,3227.344214,0.674091053
2015,6,4250.706274,0.765806134
2015,7,4617.928465,0.909475491
2015,8,4408.867423,0.804365709
2015,9,3365.002437,0.639173184
2015,10,3141.249046,0.687728982
2015,11,2763.047584,0.87223704
2015,12,2719.178995,1.143013101
2016,1,2920.960242,1.107708087
2016,2,2648.465215,0.821623276
2016,3,2776.017161,0.877297713
2016,4,2837.960797,0.667738933
2016,5,3343.041473,0.688282808
2016,6,3593.128076,0.718049961
2016,7,3979.161996,0.696903406
2016,8,4260.875302,0.811844859
2016,9,3293.625993,0.638578143
2016,10,2736.453008,0.726022776
2016,11,2592.061296,0.777190605
2016,12,2681.068248,1.234491167
2017,1,2854.025934,1.308233925
2017,2,2397.398357,0.932550158
2017,3,2673.849381,0.903755683
2017,4,2572.115048,0.737743597
2017,5,3041.715048,0.726386422
2017,6,3527.372145,0.671140247
2017,7,4284.724653,0.772835449
2017,8,4443.001067,0.898872622
2017,9,3378.931718,0.708132105
2017,10,2839.095945,0.668534802
2017,11,2588.22572,0.86222176
2017,12,2656.277588,1.149748764
2018,1,2629.25084,1.018985882
2018,2,2382.952311,0.868047175
2018,3,2660.842244,0.887527956
2018,4,2648.631513,0.777102935
2018,5,3398.052836,0.665058788
2018,6,3610.012185,0.619752976
2018,7,4266.102521,0.811406023
2018,8,4150.623424,0.80870391
2018,9,3069.432983,0.623764928
2018,10,2801.061134,0.646225736
2018,11,2593.784559,0.809392409
2018,12,2584.761555,1.069766996
