year,month,wateruse,elecuse
2008,1,2873.444389,1.374640915
2008,2,2621.721717,1.386415186
2008,3,2678.493942,1.034595079
2008,4,2746.934339,0.929109166
2008,5,3034.455601,0.837183727
2008,6,3743.85566,1.142801831
2008,7,3721.74081,1.393477141
2008,8,3910.852831,1.374174554
2008,9,3377.436474,1.216553214
2008,10,3403.473982,0.855932463
2008,11,2948.363245,0.885319993
2008,12,2877.000382,1.314023798
2009,1,2860.411341,1.4377449
2009,2,2623.473867,1.426310635
2009,3,2947.548096,1.259536928
2009,4,3071.604248,0.921517037
2009,5,3448.573927,0.841555936
2009,6,3559.80299,1.122360814
2009,7,3878.617735,1.360057833
2009,8,3743.81979,1.333817862
2009,9,3414.05304,1.15163481
2009,10,3245.327005,0.868192078
2009,11,2914.35154,0.807679842
2009,12,2891.57095,1.154916938
2010,1,2872.453469,1.783286182
2010,2,2650.885476,1.462884752
2010,3,2906.714288,1.405265942
2010,4,3305.934022,0.91082468
2010,5,3728.561742,0.825059933
2010,6,3769.829706,1.213170324
2010,7,4098.242237,1.538250632
2010,8,3813.48216,1.512694432
2010,9,3937.137664,1.313534489
2010,10,3706.717997,0.91645901
2010,11,3070.758977,0.827290313
2010,12,2958.109637,1.426337714
2011,1,2895.076874,1.867797181
2011,2,2681.189488,1.13565355
2011,3,2934.143164,1.028487056
2011,4,2887.48505,0.857966656
2011,5,3273.69455,0.878398963
2011,6,3811.536072,1.44003634
2011,7,3966.382692,1.599448775
2011,8,3679.386079,1.442741537
2011,9,3314.777397,1.029411657
2011,10,3303.034191,0.802084202
2011,11,2830.684748,0.957335345
2011,12,2779.837232,1.410820339
2012,1,2712.893744,1.109399289
2012,2,2626.555797,0.971667047
2012,3,2814.94407,0.74540065
2012,4,2875.14873,1.007047148
2012,5,3231.276419,1.1368619
2012,6,3376.868914,1.544457241
2012,7,3620.699541,1.322512554
2012,8,3356.50656,1.008084525
2012,9,3085.923067,0.772953781
2012,10,3051.969502,1.136113088
2012,11,2737.843254,1.277560302
2012,12,2672.122068,1.413935666
2013,1,2658.85833,1.210137436
2013,2,2419.335328,1.345570543
2013,3,2821.388887,0.922936885
2013,4,2764.255554,0.820723407
2013,5,2997.833217,1.173637775
2013,6,3083.653912,1.335940232
2013,7,3179.02991,1.258856223
2013,8,3250.008046,1.026486963
2013,9,3173.495896,0.795279893
2013,10,3134.919114,0.997548146
2013,11,2749.768187,1.471702665
2013,12,2695.292085,1.737756952
2014,1,2657.102456,1.265308356
2014,2,2377.085409,1.322219127
2014,3,2676.512315,0.84728991
2014,4,2617.58609,1.017759118
2014,5,3013.908645,1.210900804
2014,6,3112.758906,1.324819756
2014,7,3231.837545,1.233959247
2014,8,3029.099555,1.034202358
2014,9,3031.663523,0.791988062
2014,10,3067.530108,1.09871521
2014,11,2665.168199,1.400825607
2014,12,2629.278436,1.539173365
2015,1,2593.938621,1.562331096
2015,2,2418.069821,1.124698766
2015,3,2711.273186,0.774267004
2015,4,2644.216841,0.972300831
2015,5,3046.022533,1.330135344
2015,6,3222.236526,1.444207278
2015,7,3255.120741,1.155612477
2015,8,3391.139061,1.095819677
2015,9,3053.816637,0.781527292
2015,10,2988.95661,0.8558944
2015,11,2655.631163,1.028652912
2015,12,2588.672815,1.57517426
2016,1,2576.10046,1.22798319
2016,2,2384.738879,0.947641006
2016,3,2551.147113,0.780023992
2016,4,2612.633686,0.906822626
2016,5,2746.935659,1.22068982
2016,6,2937.212576,1.480670232
2016,7,3033.835133,1.438363318
2016,8,3249.94099,1.11642224
2016,9,3014.634966,0.692287277
2016,10,2998.400943,0.94155525
2016,11,2703.910113,1.335263106
2016,12,2536.821833,1.242153411
2017,1,2511.622043,0.959669371
2017,2,2285.985914,1.044060604
2017,3,2584.805352,0.75848089
2017,4,2511.362101,0.983144858
2017,5,2782.82087,1.194611756
2017,6,2867.834425,1.402115065
2017,7,3134.820502,1.268234328
2017,8,3125.302437,0.981211253
2017,9,2971.858786,0.829297314
2017,10,3069.806483,1.028059893
2017,11,2553.665273,1.358496727
2017,12,2481.683544,1.625795245
2018,1,2592.225499,1.08867191
2018,2,2229.260319,1.080447668
2018,3,2431.576981,0.809429652
2018,4,2479.804128,1.057667609
2018,5,2887.127122,1.230443046
2018,6,2941.779,1.328377683
2018,7,2945.785804,1.330334212
2018,8,2887.611465,1.115201083
2018,9,2758.781619,0.856755973
2018,10,2884.510156,1.071080268
2018,11,2488.597369,1.254901992
