year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,318128,432860,1244.001792,545765.259
2007,2,259244,433284,1002.696244,545748.459
2007,3,253168,434003,1161.945444,546480.459
2007,4,223705,433909,1481.278612,546953.259
2007,5,219690,434374,1653.262512,547769.259
2007,6,256100,434765,2223.756876,548431.659
2007,7,321044,435541,2529.847452,548429.259
2007,8,335138,436235,2213.639428,548630.859
2007,9,289576,436846,2259.001888,549732.459
2007,10,228514,437649,1741.371676,549535.659
2007,11,224057,438281,1418.221464,550308.459
2007,12,282934,438990,1228.297532,550538.859
2008,1,332704,439273,1184.750468,551036.9527
2008,2,281471,439833,1093.410692,551075.3527
2008,3,255407,440119,1171.609604,551502.5527
2008,4,220417,440269,1599.622684,551658.5527
2008,5,225974,440611,1930.098808,551788.1527
2008,6,269220,440555,2329.720052,551956.1527
2008,7,314042,440799,2296.137844,552006.5527
2008,8,322585,441194,2156.019492,551555.3527
2008,9,260925,441752,2109.115404,551788.1527
2008,10,223899,441988,1758.102192,552217.7527
2008,11,231348,442175,1390.642704,551833.7527
2008,12,286663,442647,1180.85638,552340.1527
2009,1,303266,442308,1257.75864,582227.7397
2009,2,254101,439833,1141.727576,582158.1397
2009,3,257963,439833,1185.158876,582290.1397
2009,4,221610,444401,1609.60876,582285.3397
2009,5,237281,443854,1981.041764,582227.7397
2009,6,254649,443824,2103.402284,580223.7397
2009,7,341834,443963,2288.932724,582345.3397
2009,8,336099,444510,2604.643448,582616.5397
2009,9,252261,444856,2275.956804,582563.7397
2009,10,222112,445047,1895.075952,582518.1397
2009,11,245495,445260,1419.466136,582837.3397
2009,12,338638,445637,1316.0125,583377.3397
2010,1,338319,445767,1238.731384,618193.7412
2010,2,261744,445856,1036.934448,618193.7412
2010,3,262612,446119,1131.990672,618193.7412
2010,4,225356,446144,1538.024884,618193.7412
2010,5,224621,446187,1797.850164,618193.7412
2010,6,291031,446217,2380.75684,618193.7412
2010,7,353403,446413,2738.24848,618193.7412
2010,8,334239,446802,1969.66352,618193.7412
2010,9,286613,447058,2311.94832,618193.7412
2010,10,234878,447320,1792.021748,618193.7412
2010,11,236888,447444,1377.036584,618193.7412
2010,12,310777,447789,1263.06158,618193.7412
2011,1,333581,448150,1194.81406,632721.1649
2011,2,279204,448448,1103.3187,632721.1649
2011,3,241562,448110,1231.669516,632721.1649
2011,4,205700,448413,1736.621876,632721.1649
2011,5,222684,448145,1849.831676,632721.1649
2011,6,288771,448098,2370.269132,632721.1649
2011,7,381023,448089,2600.26118,632721.1649
2011,8,360055,448204,2341.353696,632721.1649
2011,9,269859,448326,2174.861612,632721.1649
2011,10,211510,448576,1628.333916,632721.1649
2011,11,237779,448585,1259.754672,632721.1649
2011,12,330764,448979,1235.05272,632721.1649
2012,1,316418,449170,1108.5734,626941.6089
2012,2,272126,449141,1041.233952,626941.6089
2012,3,260801,449519,1161.730768,626941.6089
2012,4,224987,449451,1546.777232,626941.6089
2012,5,236503,449351,1802.95546,626941.6089
2012,6,301894,449528,2445.603204,626941.6089
2012,7,347985,449527,2450.973844,626941.6089
2012,8,351164,449673,2248.20376,626941.6089
2012,9,277220,449747,2246.784056,626941.6089
2012,10,229392,450013,1715.467688,626941.6089
2012,11,227710,450202,1513.463556,626941.6089
2012,12,285932,450507,1206.429004,626941.6089
2013,1,325231,451030,1123.988932,631936.1562
2013,2,272444,451112,1054.644096,631936.1562
2013,3,256428,451180,1161.451016,631936.1562
2013,4,219596,451264,1455.775552,631936.1562
2013,5,229800,451308,1864.372796,631936.1562
2013,6,296128,451411,2276.973336,631936.1562
2013,7,332961,451391,2363.4182,631936.1562
2013,8,331329,451812,1948.787588,631936.1562
2013,9,278906,452146,1987.456196,631936.1562
2013,10,226998,452544,1490.945016,631936.1562
2013,11,231095,452949,1348.70758,631936.1562
2013,12,295627,453218,1129.774712,631936.1562
2014,1,308864,453451,1147.747656,644359.854
2014,2,251359,453679,1058.28536,644359.854
2014,3,236474,453824,1156.348908,644359.854
2014,4,213552,453826,1454.598948,644359.854
2014,5,225462,454030,1773.731652,644359.854
2014,6,282261,454161,2069.849144,644359.854
2014,7,335177,454263,2273.192944,644359.854
2014,8,314812,454637,1995.812104,644359.854
2014,9,276199,454622,1976.19356,644359.854
2014,10,227264,455039,1680.037172,644359.854
2014,11,221972,455311,1376.302796,644359.854
2014,12,273856,455907,1131.816004,644359.854
2015,1,307228,456424,1139.157624,646292.9005
2015,2,248835,456711,1016.074224,646292.9005
2015,3,242210,456843,1015.968988,646292.9005
2015,4,203691,456996,1467.52364,646292.9005
2015,5,209426,457112,1613.655164,646292.9005
2015,6,273470,457433,1741.741936,646292.9005
2015,7,322518,457705,2201.282468,646292.9005
2015,8,335701,457997,1991.963644,646292.9005
2015,9,286920,458352,2012.087088,646292.9005
2015,10,235531,458770,1671.5743,646292.9005
2015,11,227549,459150,1275.058004,646292.9005
2015,12,284335,459353,1045.358424,646292.9005
2016,1,309595,459860,1162.892412,658834.2968
2016,2,256644,460018,991.953468,658834.2968
2016,3,226665,460457,1140.560124,658834.2968
2016,4,207206,460696,1509.095984,658834.2968
2016,5,216185,460763,1564.069496,658834.2968
2016,6,288458,461061,1999.368844,658834.2968
2016,7,368467,461336,2471.086816,658834.2968
2016,8,332757,461582,2176.540124,658834.2968
2016,9,264714,461772,1981.770648,658834.2968
2016,10,224324,462067,1624.04638,658834.2968
2016,11,209961,462441,1362.802892,658834.2968
2016,12,275735,462921,1140.818184,658834.2968
2017,1,291850,463219,1130.940844,664353.3289
2017,2,240625,463402,997.935224,664353.3289
2017,3,229842,463646,1100.993158,664353.3289
2017,4,194722,463695,1532.860692,664353.3289
2017,5,213293,464081,1605.296264,664353.3289
2017,6,303030,464259,2158.970352,664353.3289
2017,7,384997,464424,2443.431012,664353.3289
2017,8,333810,464583,2036.12706,664353.3289
2017,9,259653,464926,2069.621752,664353.3289
2017,10,203758,465065,1594.07402,664353.3289
2017,11,208044,465386,1384.343048,664353.3289
2017,12,265762,465950,1197.832988,664353.3289
