year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,877117,1114945,769.45,351200
2007,2,652959,1116573,694.18,351200
2007,3,671125,1118074,770.03,351200
2007,4,609537,1118836,840.58,351200
2007,5,632822,1119161,1350.59,351200
2007,6,722337,1118683,2022.57,351200
2007,7,947849,1119279,2583.58,351200
2007,8,886575,1121500,2021.7,351200
2007,9,691704,1121575,1774.58,351200
2007,10,650643,1124364,1229.27,351200
2007,11,711793,1124988,768.01,351200
2007,12,849443,1126019,757.24,351200
2008,1,876386,1128206,771.09,351200
2008,2,716490,1128873,699.44,351200
2008,3,709045,1129038,796.19,351200
2008,4,629453,1129193,892.3,351200
2008,5,635120,1129686,1492.35,351200
2008,6,713789,1129051,2113.06,351200
2008,7,956664,1129607,2563.62,351200
2008,8,822000,1134953,2064.07,351200
2008,9,646224,1137365,1707.6,351200
2008,10,631360,1139447,1082.86,351200
2008,11,687557,1140307,767.68,351200
2008,12,881280,1142106,783.28,351200
2009,1,782924,1143341,763.83,351200
2009,2,672240,1143251,693.75,351200
2009,3,677558,1144991,814.12,351200
2009,4,644413,1145399,792.8,351200
2009,5,633775,1145102,1414.43,351200
2009,6,656175,1146015,1472.66,351200
2009,7,838189,1145742,1798.15,351200
2009,8,821056,1146301,1997.99,351200
2009,9,700420,1146796,1653.48,351200
2009,10,664555,1148474,901.65,351200
2009,11,722696,1149310,758.41,351200
2009,12,890557,1150181,770.75,351200
2010,1,861007,1152270,784.08,351200
2010,2,703666,1153358,672.13,351200
2010,3,742228,1154935,771.51,351200
2010,4,644987,1154699,847.5,351200
2010,5,632101,1155163,1377.53,351200
2010,6,782779,1156812,2008.51,351200
2010,7,923236,1156467,2180.8,351200
2010,8,893893,1157221,2149.19,351200
2010,9,706677,1157289,2054.32,351200
2010,10,661681,1157185,1285.21,351200
2010,11,737228,1158785,797.07,351200
2010,12,797509,1159287,808.38,351200
2011,1,851390,1160474,790.96,351200
2011,2,725050,1161257,702.79,351200
2011,3,738136,1162006,784.06,351200
2011,4,628049,1162985,933.66,351200
2011,5,621579,1163256,1397.69,351200
2011,6,732991,1163175,1994.12,351200
2011,7,953187,1162924,1919.32,351200
2011,8,957532,1163932,2388.36,351200
2011,9,696814,1163607,1823.54,351200
2011,10,660174,1164575,1195.76,351200
2011,11,731530,1165328,721.54,351200
2011,12,852598,1166567,741.83,351200
2012,1,814615,1167758,738.74,351200
2012,2,745617,1168658,680.81,351200
2012,3,698847,1170079,816.17,351200
2012,4,611929,1170338,1144.04,351200
2012,5,628528,1170511,1762.93,351200
