year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,311328.311,342354,358.1754192,840750
2007,2,310556.5,342207,326.3071914,840750
2007,3,251789.827,344215,382.549074,840750
2007,4,233616.286,344753,371.6656506,840750
2007,5,265303.907,346754,383.4288717,840750
2007,6,361491.35,348826,387.5671794,840750
2007,7,404520.213,347938,374.6308947,840750
2007,8,436724.259,354513,476.9155236,840750
2007,9,457293.447,348267,443.1899451,840750
2007,10,380326.649,348140,473.0704818,840750
2007,11,269513.818,346141,411.2565471,840750
2007,12,276978.835,346919,361.7271951,840750
2008,1,317970.641,349123,361.9552908,855000
2008,2,284060.784,348813,363.323865,855000
2008,3,246698.308,350364,377.6287239,855000
2008,4,240593.961,351624,400.0146876,855000
2008,5,279508.142,353076,439.247148,855000
2008,6,437860.231,355106,577.7664081,855000
2008,7,505210.347,357636,579.5911737,855000
2008,8,510501.244,362953,555.7062954,855000
2008,9,476813.3049,360995,554.3703063,855000
2008,10,361466.539,359898,500.0509446,855000
2008,11,245803.936,358107,436.9010208,855000
2008,12,263528.33,359846,396.8539329,855000
2009,1,327005.273,360863,387.76269,883500
2009,2,255510.217,360947,357.7192278,883500
2009,3,236036.916,361379,390.8256894,883500
2009,4,240964.237,363004,394.5729759,883500
2009,5,288876.059,363699,449.4136992,883500
2009,6,407729.836,365730,536.4485013,883500
2009,7,555209.71,367504,607.7772852,883500
2009,8,540235.699,370872,590.5723524,883500
2009,9,505981.41,366756,392.7482103,883500
2009,10,337423.417,365350,343.2840285,883500
2009,11,248454.521,364458,326.4049467,883500
2009,12,274181.194,364083,314.3484597,883500
2010,1,365608.668,366809,325.0689576,888250
2010,2,295443.896,365842,275.9632119,888250
2010,3,296790.437,367727,320.5396287,888250
2010,4,231408.512,368597,359.1203871,888250
2010,5,260611.646,368500,440.1269457,888250
2010,6,406858.246,370689,441.7887858,888250
2010,7,490681.329,371456,429.471618,888250
2010,8,506714.419,379190,541.6947024,888250
2010,9,519879.696,371699,411.8430789,888250
2010,10,350353.132,370157,441.0393285,888250
2010,11,256547.662,368697,378.638862,888250
2010,12,271898.223,369447,358.5990255,888250
2011,1,318918.453,370050,322.4621496,893000
2011,2,326896.852,369957,312.5562792,893000
2011,3,260795.602,371792,387.7301049,893000
2011,4,264272.298,370786,460.753314,893000
2011,5,335649.422,372381,482.6179161,893000
2011,6,455050.402,375015,552.317445,893000
2011,7,555021.667,374880,624.1675905,893000
2011,8,582514.035,381599,660.7280727,893000
2011,9,629792.931,373191,517.8749943,893000
2011,10,465996.549,370529,464.2073346,893000
2011,11,271874.823,371543,379.3231491,893000
2011,12,263608.124,371142,320.5070436,893000
2012,1,308573.425,375498,336.0827214,897750
2012,2,248100.067,374280,300.8908134,897750
2012,3,256358.693,375281,334.2579558,897750
2012,4,273664.729,374262,406.8249735,897750
2012,5,326703.711,377572,412.6577064,897750
2012,6,445563.142,379164,496.6295091,897750
2012,7,496460,380617,470.4636738,897750
2012,8,533634.452,386554,536.5136715,897750
2012,9,401436.854,382931,461.079165,897750
2012,10,334439.95,383780,407.965452,897750
2012,11,278570.897,378760,396.5280819,897750
2012,12,248934.95,377779,364.5620988,897750
2013,1,343261.711,379997,339.536742,912000
2013,2,247275.299,379922,317.2159485,912000
2013,3,235481.487,381492,378.5411067,912000
2013,4,240734.812,382121,359.6417487,912000
2013,5,281251.903,383460,395.2898481,912000
2013,6,411781.433,384405,434.0661171,912000
2013,7,494644.42,386017,452.4115284,912000
2013,8,541422.791,391727,497.5418919,912000
2013,9,518699.223,389618,432.0458409,912000
2013,10,363479.117,386852,372.6432036,912000
2013,11,256713.509,385254,322.1037135,912000
2013,12,319235.78,385691,314.4136299,912000
2014,1,369608.155,387574,318.030576,916750
2014,2,324968.8,388116,291.5388897,916750
2014,3,270583.893,390259,324.547596,916750
2014,4,244619.433,391123,354.1348668,916750
2014,5,284542.958,392038,387.6649347,916750
2014,6,383104.176,395142,375.3477669,916750
2014,7,469139.727,396835,434.7178191,916750
2014,8,505173.386,399405,497.0531154,916750
2014,9,506977.436,398637,411.549813,916750
2014,10,349756.583,395919,420.7062261,916750
2014,11,290813.312,395290,334.648977,916750
2014,12,268195.753,397986,315.1305021,916750
2015,1,367527.428,397698,315.5866935,940500
2015,2,280362.544,398876,284.5005081,940500
2015,3,309446.63,400357,322.0711284,940500
2015,4,258032.981,401383,341.6873586,940500
2015,5,286917.713,401438,334.323126,940500
2015,6,370255.532,404361,351.8539098,940500
2015,7,473248.499,406516,461.0139948,940500
2015,8,556915.054,410560,541.0755855,940500
2015,9,501711.67,408290,465.2826429,940500
2015,10,400377.206,405713,449.4462843,940500
2015,11,272244.248,404510,339.5041569,940500
2015,12,266304.031,405346,328.6859037,940500
2016,1,320845.09,407156,330.2499885,954750
2016,2,270413.488,408149,317.6721399,954750
2016,3,246741.476,409708,356.806845,954750
2016,4,251260.086,410735,347.2594107,954750
2016,5,289460.763,412077,353.4505797,954750
