year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,473685,817332,5374.47,2411439
2007,2,483675,739102,5103.98,2411439
2007,3,419990,842156,5567.0109999999995,2411439
2007,4,363838,782678,5265.36,2411439
2007,5,387551,772982,6145.626,2411439
2007,6,434916,794394,6603.78,2411439
2007,7,523272,783102,7074.8820000000005,2411439
2007,8,521515,780969,7338.568,2411439
2007,9,392941,785846,6870.15,2411439
2007,10,410078,779403,6062.608,2411439
2007,11,414658,779492,5158.5599999999995,2411439
2007,12,525610,782133,5264.947,2411439
2008,1,498674,776535,5329.5509999999995,2432175
2008,2,484418,780346,4892.822,2432175
2008,3,444812,786397,5139.6140000000005,2432175
2008,4,398415,787719,5194.59,2432175
2008,5,373984,788676,5771.8279999999995,2432175
2008,6,400282,787580,6475.5,2432175
2008,7,508188,784757,6652.631,2432175
2008,8,501734,785163,6198.14,2432175
2008,9,433141,788600,6033.81,2432175
2008,10,373635,784031,5577.086,2432175
2008,11,395579,787619,5033.46,2432175
2008,12,454675,786843,5098.0740000000005,2432175
2009,1,538105,788350,5271.24,2461135
2009,2,488352,787876,4743.956,2461135
2009,3,439593,791065,5122.781,2461135
2009,4,380973,788414,5168.34,2461135
2009,5,357552,784443,5803.634,2461135
2009,6,356652,784155,5685.54,2461135
2009,7,393232,783675,5797.403,2461135
2009,8,494989,782872,6381.349999999999,2461135
2009,9,464056,781508,5811.03,2461135
2009,10,374679,798048,5264.017,2461135
2009,11,384743,786197,4804.41,2461135
2009,12,434607,788063,4919.2660000000005,2461135
2010,1,540517,790624,5028.107,2475692
2010,2,483039,793888,4506.824,2475692
2010,3,421840,795052,5016.017,2475692
2010,4,367555,788915,4987.95,2475692
2010,5,390507,789149,5775.796,2475692
2010,6,476638,789411,6017.07,2475692
2010,7,581743,788316,7279.1410000000005,2475692
2010,8,557290,790216,6884.945,2475692
2010,9,488994,790216,6099.599999999999,2475692
2010,10,393983,787350,5367.215999999999,2475692
2010,11,407909,788588,4803.0,2475692
2010,12,464041,789458,4902.215999999999,2475692
2011,1,510550,790019,5107.126,2516656
2011,2,506139,791472,4694.759999999999,2516656
2011,3,459608,792878,5082.0470000000005,2516656
2011,4,459610,793352,4917.45,2516656
2011,5,360281,792150,5395.674,2516656
2011,6,419815,791704,5985.299999999999,2516656
2011,7,541855,789863,6925.617,2516656
2011,8,527532,788426,6240.548,2516656
2011,9,431625,788970,5630.7,2516656
2011,10,398408,783484,5274.650000000001,2516656
2011,11,389599,796605,4713.09,2516656
2011,12,467199,792825,4763.491,2516656
2012,1,507865,794649,4903.455999999999,2545372
2012,2,418798,796158,4572.372,2545372
2012,3,425785,791380,4897.07,2545372
2012,4,369867,790182,5095.77,2545372
2012,5,349373,786115,5561.214,2545372
2012,6,397915,777350,5872.7699999999995,2545372
2012,7,541321,771738,6982.192,2545372
2012,8,548929,765791,6614.718,2545372
2012,9,480669,763795,5801.549999999999,2545372
2012,10,357530,744373,5313.834,2545372
2012,11,394057,774076,4849.44,2545372
2012,12,448519,757263,4894.125,2545372
2013,1,481502,762685,5130.655,2573273
2013,2,474596,761914,4589.788,2573273
2013,3,432058,761914,4946.080999999999,2573273
2013,4,383242,762720,4862.25,2573273
2013,5,334265,763015,5684.9039999999995,2573273
2013,6,398843,762098,5779.35,2573273
2013,7,571834,760184,6643.765,2573273
2013,8,507103,759832,6458.385,2573273
2013,9,445144,759871,5905.89,2573273
2013,10,346457,752974,5497.354,2573273
2013,11,380394,753465,4815.51,2573273
2013,12,448275,755698,4856.863,2573273
2014,1,514517,755708,5061.648999999999,2598067
2014,2,483254,763718,4529.084,2598067
2014,3,448687,765715,5002.439,2598067
2014,4,381656,765182,4829.07,2598067
2014,5,344535,767324,5310.982,2598067
2014,6,360836,767324,6001.9800000000005,2598067
2014,7,497801,769090,6529.809,2598067
2014,8,459568,770207,6451.875,2598067
2014,9,440877,767738,6213.54,2598067
2014,10,351379,767171,5432.378,2598067
2014,11,363294,764557,4901.94,2598067
2014,12,428387,763604,4911.454,2598067
2015,1,496919,762913,5022.8060000000005,2615445
2015,2,496548,744497,4711.168,2615445
2015,3,429989,737259,5257.135,2615445
2015,4,356966,726620,5102.22,2615445
2015,5,301443,716256,6326.852000000001,2615445
2015,6,343098,709597,6160.89,2615445
2015,7,412535,706050,6676.284000000001,2615445
2015,8,465182,702285,6714.5380000000005,2615445
2015,9,454074,700845,6563.280000000001,2615445
2015,10,331792,699520,5575.412,2615445
2015,11,315756,701002,4854.150000000001,2615445
2015,12,351906,701997,4793.715999999999,2615445
2016,1,392732,695863,4998.75,2635350
2016,2,341139,628204,4789.263,2635350
2016,3,301118,628297,4922.148999999999,2635350
2016,4,281742,627187,4857.87,2635350
2016,5,254332,625943,5729.7919999999995,2635350
2016,6,286461,623920,6552.39,2635350
2016,7,366478,619429,7266.741,2635350
2016,8,490673,619144,7256.604,2635350
2016,9,404429,620163,6292.5,2635350
2016,10,276541,620862,5498.594,2635350
2016,11,267453,624110,4778.9400000000005,2635350
2016,12,333256,625302,4833.117,2635350
2017,1,517073,625669,4760.174,2650706
2017,2,448764,627276,4292.176,2650706
2017,3,458974,628468,4794.150000000001,2650706
2017,4,398721,626200,4764.0599999999995,2650706
2017,5,386492,624278,5229.979,2650706
2017,6,447918,622788,5852.7300000000005,2650706
2017,7,530614,623040,6217.763,2650706
2017,8,480844,527569,6481.852000000001,2650706
2017,9,404466,517804,5827.35,2650706
2017,10,338551,509275,5575.505,2650706
2017,11,320801,500321,4672.11,2650706
2017,12,361063,502106,4710.6359999999995,2650706
2018,1,342007,502106,5182.053,2666030
2018,2,264555,515114,4405.52,2666030
2018,3,247169,490829,4819.353,2666030
2018,4,199980,485065,4757.9400000000005,2666030
2018,5,199906,486274,5498.501,2666030
2018,6,214683,479013,6161.07,2666030
2018,7,289808,486505,6846.2880000000005,2666030
2018,8,344837,488218,6484.425,2666030
2018,9,310978,495336,5880.15,2666030
2018,10,222885,500278,5246.874,2666030
2018,11,235157,504146,4636.320000000001,2666030
2018,12,274491,503817,4632.33,2666030
