year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,2040005.0,1526248,2853.07,700000
2007,2,1927012.0,1529274,2666.87,700000
2007,3,1596011.0,1531530,3169.23,700000
2007,4,1204787.0,1534416,3311.36,700000
2007,5,1404759.0,1535246,4250.48,700000
2007,6,1833690.0,1538434,4238.95,700000
2007,7,2060992.0,1540705,4202.89,700000
2007,8,2461656.0,1543306,4677.4,700000
2007,9,1948985.0,1546005,3750.77,700000
2007,10,1278348.0,1547257,3079.04,700000
2007,11,1374136.0,1549623,2848.14,700000
2007,12,1847370.0,1552180,2798.61,700000
2008,1,2355493.0,1556038,2785.34,750000
2008,2,1756577.0,1558722,2512.95,750000
2008,3,1532791.0,1559571,2691.81,750000
2008,4,1269402.0,1585210,2720.95,750000
2008,5,1268878.976,1560470,3091.72,750000
2008,6,1961605.541,1562303,3512.59,750000
2008,7,2219694.133,1564421,3372.8,750000
2008,8,2036936.208,1566341,3509.24,750000
2008,9,1554274.848,1566757,3146.81,750000
2008,10,1247259.561,1567148,3229.04,750000
2008,11,1516728.219,1560958,2898.84,750000
2008,12,2154995.267,1570565,2720.59,750000
2009,1,2373251.617,1572523,2773.44,761830
2009,2,1860842.99,1572769,2432.17,761830
2009,3,1734281.313,1571004,2683.82,761830
2009,4,1296998.307,1570072,2820.23,761830
2009,5,1347441.87,1571094,3180.88,761830
2009,6,1783818.962,1572095,3343.2,761830
2009,7,2196693.207,1574093,3806.3,761830
2009,8,2053592.822,1574542,3638.93,761830
2009,9,1557666.471,1574597,3428.69,761830
2009,10,1251965.051,1575569,3160.52,761830
2009,11,1334233.515,1576811,2879.59,761830
2009,12,2256386.916,1578510,3021.98,761830
2010,1,2842316.565,1580663,3099.67,774331
2010,2,2026995.734,1582360,2755.0,774331
2010,3,1821340.805,1580950,3017.41,774331
2010,4,1171271.777,1580932,3296.0,774331
2010,5,1411510.536,1580718,3634.52,774331
2010,6,2083791.3,1580593,3724.06,774331
2010,7,2560590.861,1581899,4035.96,774331
2010,8,2240633.79,1582152,3899.43,774331
2010,9,1773269.911,1582462,4048.87,774331
2010,10,1202860.449,1582200,3968.93,774331
2010,11,1339714.855,1583039,3307.88,774331
2010,12,2619133.366,1585673,3143.83,774331
2011,1,2835092.615,1586116,3044.59,776071
2011,2,1643762.718,1586071,2479.79,776071
2011,3,1509271.573,1585159,2755.68,776071
2011,4,1302462.283,1585337,2819.87,776071
2011,5,1326000.754,1585401,3216.14,776071
2011,6,2114371.986,1587075,3649.2,776071
2011,7,2292650.744,1588214,3761.78,776071
2011,8,2286271.387,1588067,3607.45,776071
2011,9,1556587.643,1588687,3293.85,776071
2011,10,1120109.977,1588091,3303.21,776071
2011,11,1440594.252,1589295,2763.26,776071
2011,12,1850469.482,1590044,2613.66,776071
2012,1,2193047.399,1592490,2608.61,788190
2012,2,1633756.231,1592911,2444.26,788190
