year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,2674457,3406711,23776,5296094
2007,2,2409894,3412012,23706,5296094
2007,3,2004367,3411765,25360,5296094
2007,4,1740353,3416849,23715,5296094
2007,5,1990415,3421217,27388,5296094
2007,6,2628517,3421516,30037,5296094
2007,7,3106075,3420441,31389,5296094
2007,8,3384782,3424058,29442,5296094
2007,9,2506113,3422131,27866,5296094
2007,10,2117197,3427135,25564,5296094
2007,11,2123591.804,3432810,22991,5296094
2007,12,2688519.916,3436254,23733,5296094
2008,1,2652426.296,3441935,24491,5296094
2008,2,2438187.534,3445150,23400,5296094
2008,3,2197402.703,3448596,24262,5296094
2008,4,1849867.795,3449405,23263,5296094
2008,5,1774023.738,3446485,24833,5296094
2008,6,2495384.435,3439934,26429,5296094
2008,7,3193392.414,3433885,30046,5296094
2008,8,2852380.599,3431560,28828,5296094
2008,9,2068279.197,3431677,25500,5296094
2008,10,1913520.851,3432105,24004,5296094
2008,11,2162132.217,3434842,22154,5296094
2008,12,2792053.448,3437891,24143,5296094
2009,1,2821673.342,3440982,25009,5296094
2009,2,2146256.204,3439643,22480,5296094
2009,3,2095077.325,3438367,23818,5296094
2009,4,1872052.933,3438096,22540,5296094
2009,5,1731407.249,3431438,24684,5296094
2009,6,2428089.66,3423195,25080,5296094
2009,7,2361342.39,3416637,27037,5296094
2009,8,2671396.901,3413441,28263,5296094
2009,9,1950302.706,3410823,25999,5296094
2009,10,1898079.066,3412536,23260,5296094
2009,11,2032029.209,3416570,21352,5296094
2009,12,2610618.778,3425395,22409,5296094
2010,1,2715306.413,3432209,22879,5296094
2010,2,2260640.388,3437210,20428,5296094
2010,3,1967239.504,3440858,22199,5296094
2010,4,1683776.451,3443162,21705,5296094
2010,5,2063264.201,3440014,23922,5296094
2010,6,2725924.724,3432043,23757,5296094
2010,7,3894219.669,3426604,28077,5296094
2010,8,3485070.517,3422418,27615,5296094
2010,9,1979460.618,3421908,23992,5296094
2010,10,1705833.344,3427679,23186,5296094
2010,11,1975954.683,3431182,21107,5296094
2010,12,2708837.223,3437484,22572,5296094
2011,1,2649122.514,3444263,22649,5296094
2011,2,2194450.564,3446453,20841,5296094
2011,3,2106612.966,3448101,21905,5296094
2011,4,1792419.369,3436363,20702,5296094
2011,5,1940015.489,3416578,22992,5296094
2011,6,2486706.648,3395093,23859,5296094
2011,7,3852612.465,3363359,29725,5296094
2011,8,2868362.444,3337645,26778,5296094
2011,9,1903732.578,3282131,24187,5296094
2011,10,1698924.753,3243313,22974,5296094
2011,11,1852576.405,3216590,21381,5296094
2011,12,2178375.995,3171693,21899,5296094
2012,1,2206818.107,3129836,22092,5296094
2012,2,1854193.654,3113478,20563,5296094
2012,3,1671574.861,3087743,21929,5296094
2012,4,1431794.279,3053930,21271,5296094
2012,5,1768168.725,3017471,24485,5296094
2012,6,2575288.344,2925308,29428,5296094
2012,7,3449208.594,2735406,32013,5296094
2012,8,2094565.163,2447628,27560,5296094
2012,9,1280535.432,2170753,24354,5296094
2012,10,996164.788,2135082,22894,5296094
2012,11,1177605.032,2038765,21147,5296094
2012,12,1218360.643,2011844,21635,5296094
2013,1,1329072.577,1982305,22092,5296094
2013,2,993301.845,1147981,20563,5296094
2013,3,761451.562,1102532,21929,5296094
2013,4,562895.881,1108387,21271,5296094
2013,5,631476.515,1081905,24485,5296094
2013,6,728872.95,1097838,29428,5296094
2013,7,990562.303,1072246,32013,5296094
2013,8,848480.935,1078707,27560,5296094
2013,9,683613.869,1074850,24354,5296094
2013,10,546762.306,1036738,22894,5296094
2013,11,662211.621,1065429,21147,5296094
2013,12,809750.25,1082264,21635,5296094
2014,1,863923.534,1085873,23683,5296094
2014,2,762567.518,1039402,21917,5296094
2014,3,668507.104,1061876,23296,5296094
2014,4,533893.797,1090620,21905,5296094
2014,5,583306.988,1107921,23293,5296094
2014,6,814904.518,1161079,23695,5296094
2014,7,852669.974,1212945,24672,5296094
2014,8,988937.95,1255251,24862,5296094
2014,9,701624.782,1285349,22350,5296094
2014,10,661088.194,1309392,21734,5296094
2014,11,813369.125,1343296,20737,5296094
2014,12,870147.41,1297803,21110,5296094
2015,1,942089.433,1326511,22261,5296094
2015,2,882056.289,1370227,20035,5296094
2015,3,829771.856,1324768,21861,5296094
2015,4,576648.923,1339209,20799,5296094
2015,5,699145.238,1411540,22074,5296094
2015,6,935659.995,1457421,22095,5296094
2015,7,1188522.003,1477001,24104,5296094
2015,8,1359815.203,2027076,24969,5296094
2015,9,1225141.923,2051023,22538,5296094
2015,10,922534.708,2059360,21153,5296094
2015,11,1035263.13,2073577,19649,5296094
2015,12,1209829.638,2085440,19959,5296094
2016,1,1344271.651,2092385,20948,5296094
2016,2,1167853.505,2102505,19706,5296094
2016,3,987663.232,2107385,20516,5296094
2016,4,933331.13,2112269,19986,5296094
2016,5,1021067.677,2137982,21406,5296094
2016,6,1560824.993,2154210,23133,5296094
2016,7,1842569.002,2170188,24473,5296094
2016,8,1918425.561,2218571,24019,5296094
2016,9,1402120.056,2238996,21944,5296094
2016,10,1036272.893,2255248,20526,5296094
2016,11,1081601.301,2268837,19157,5296094
2016,12,1468907.927,2278341,20060,5296094
