year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,731886.0,1203065,531.462981,108920
2007,2,641935.0,1203850,411.6475683,108920
2007,3,596600.0,1204193,500.6048913000001,108920
2007,4,542223.0,1204875,536.5136715,108920
2007,5,534314.0,1205736,636.387003,108920
2007,6,554889.0,1206604,673.9902084,108920
2007,7,621655.0,1207773,714.4934877,108920
2007,8,693108.0,1208654,733.2950903999999,108920
2007,9,771125.0,1209266,646.7816498999999,108920
2007,10,558806.091,1210496,604.9749666,108920
2007,11,610125.092,1209946,542.9655213,108920
2007,12,673148.327,1210636,470.6917695,108920
2008,1,733629.254,1210630,471.2783013,108927
2008,2,653484.222,1210770,365.1160455,108927
2008,3,621505.883,1211891,486.13710690000005,108927
2008,4,556849.456,1211703,631.4014827,108927
2008,5,556771.733,1211829,635.6049606,108927
2008,6,592508.073,1212428,643.9467461999999,108927
2008,7,673049.459,1212921,695.4963743999999,108927
2008,8,667029.8,1213689,696.5390976,108927
2008,9,727033.736,1214625,641.8938849,108927
2008,10,669508.011,1214973,656.0032332,108927
2008,11,600706.062,1216738,539.5115007,108927
2008,12,646392.436,1217156,431.9480856,108927
2009,1,717746.558,1217423,464.27250480000004,112110
2009,2,623226.115,1217751,382.74458459999994,112110
2009,3,586258.219,1218391,498.84529590000005,112110
2009,4,560323.853,1219076,585.9452682000001,112110
2009,5,563281.8,1219513,623.7113991,112110
2009,6,554013.447,1220726,565.1233893,112110
2009,7,626399.224,1221255,661.0213386,112110
2009,8,692182.863,1222579,651.7671702,112110
2009,9,747546.847,1223088,584.0227473,112110
2009,10,634863.957,1223731,579.5585886,112110
2009,11,579869.383,1225079,511.8467508,112110
2009,12,650370.096,1225514,391.05378509999997,112110
2010,1,705154.514,1225838,392.09650830000004,115234
2010,2,624157.469,1225909,321.8430327,115234
2010,3,583796.775,1226607,414.4173018,115234
2010,4,559518.77,1227496,442.4730729,115234
2010,5,516389.12,1228442,560.3985498,115234
2010,6,549783.958,1228632,573.5629302,115234
2010,7,592587.994,1229276,614.9134221,115234
2010,8,589359.581,1230047,672.882315,115234
2010,9,685107.306,1230330,605.1704772,115234
2010,10,638931.962,1231161,475.2536835,115234
2010,11,588484.218,1231832,450.61934790000004,115234
2010,12,670887.034,1231724,420.7388112,115234
2011,1,723046.896,1232374,434.48972340000006,116295
2011,2,627075.95,1232563,386.3941158,116295
2011,3,608820.561,1233292,420.0545241,116295
2011,4,549924.199,1234035,474.2761305,116295
2011,5,555756.088,1234846,566.4919635,116295
2011,6,559793.769,1235546,585.2609811,116295
2011,7,627610.906,1236805,633.8127801,116295
2011,9,667124.257,1237811,563.8525704,116295
2011,10,582243.569,1238566,528.9539283,116295
2011,11,577836.259,1238745,416.01397169999996,116295
2011,12,662491.035,1238899,368.863332,116295
2012,1,711730.482,1239390,477.8604915,117675
2012,2,612816.638,1239748,444.7540299,117675
2012,3,600234.639,1240010,451.6946562,117675
2012,4,566399.941,1240828,435.43469130000005,117675
2012,5,537909.091,1241355,534.9495866999999,117675
2012,6,549281.646,1241816,563.8851555,117675
2012,7,590211.841,1242907,607.5491895,117675
2012,8,674724.553,1243588,626.3833773000001,117675
2012,9,806687.606,1243825,594.8410005,117675
2012,10,710775.566,1244361,543.3891276,117675
2012,11,581287.134,1244987,466.4882916,117675
2012,12,644862.602,1245916,399.493326,117675
2013,1,745418.856,1246365,383.62438230000004,119124
2013,2,627327.293,1247081,368.1464598,119124
2013,3,588467.992,1247675,470.0400675,119124
2013,4,539644.876,1248371,519.1458131999999,119124
2013,5,535009.53,1248825,593.04882,119124
2013,6,559144.02,1249339,615.206688,119124
2013,7,673977.965,1249787,624.8844627000001,119124
2013,8,597667.025,1250443,643.1647038,119124
2013,9,756160.188,1250805,593.7982773,119124
2013,10,578952.546,1251283,546.4847121,119124
2013,11,520652.737,1251970,474.08061990000004,119124
2013,12,622317.96,1252434,447.5563485,119124
2014,1,651746.956,1252851,475.2210984,119454
2014,2,565499.318,1253168,409.13851559999995,119454
2014,3,538938.417,1254206,433.707681,119454
2014,4,503723.714,1255200,499.0733916,119454
2014,5,537453.627,1255523,592.8207242999999,119454
2014,6,577125.699,1256200,585.7171725,119454
2014,7,621619.853,1256303,597.2197127999999,119454
2014,8,694946.5,1257494,573.6932706,119454
2014,9,801972.053,1258475,551.1117963,119454
2014,10,687834.42,1258998,519.7649301,119454
2014,11,559204.25,1259147,448.30580580000003,119454
2014,12,590036.695,1259784,359.54399340000003,119454
2015,1,654130.448,1260430,379.09505340000004,120465
2015,2,535162.891,1261105,391.24929569999995,120465
2015,3,523130.957,1262180,456.6150063,120465
2015,4,499915.626,1262640,472.7772159,120465
2015,5,505007.645,1263398,432.078426,120465
2015,6,509959.916,1263943,461.99154780000003,120465
2015,7,598651.605,1264519,461.60052659999997,120465
2015,8,654125.938,1266309,490.9922868,120465
2015,9,776966.316,1266594,451.92275190000004,120465
2015,10,720207.316,1267577,445.24280640000006,120465
2015,11,585072.842,1268298,380.593968,120465
2015,12,581171.573,1268684,367.4621727,120465
2016,1,663567.994,1269249,332.36802,120923
2016,2,542451.695,1269623,384.86261609999997,120923
2016,3,482500.392,1269769,399.8843472,120923
2016,4,468172.101,1270055,400.8619002,120923
2016,5,460566.671,1271017,419.9241837,120923
2016,6,493464.941,1271120,462.34998390000004,120923
2016,7,599157.766,1271933,515.2030161,120923
2016,8,696469.093,1272804,521.1335043,120923
2016,9,624708.454,1273536,491.5462335,120923
2016,10,579604.217,1274579,528.2696412,120923
2016,11,516244.953,1275325,467.6613552,120923
2016,12,557989.1,1275618,360.74964209999996,120923
2017,1,631268.524,1276429,303.4324512,122337
2017,2,544301.409,1276934,275.4092652,122337
2017,3,495746.764,1277758,358.5990255,122337
2017,4,450679.107,1278394,427.5816822,122337
2017,5,456764.209,1279292,443.12477490000003,122337
2017,6,480261.016,1279231,456.64759139999995,122337
2017,7,606435.668,1279484,502.39707180000005,122337
2017,8,658752.307,1280597,480.27178890000005,122337
2017,9,672731.302,1281272,449.1856035,122337
2017,10,535150.224,1282524,454.3992195,122337
2017,11,521362.08,1285085,418.718535,122337
2017,12,524175.319,1286163,402.1978893000001,122337
2018,1,568359.158,1287352,359.54399340000003,123308
2018,2,486321.533,1288509,316.6294167,123308
2018,3,484997.406,1289393,354.33037740000003,123308
2018,4,432579.367,1291259,440.74606259999996,123308
2018,5,432073.577,1292452,427.97270340000006,123308
2018,6,445876.001,1293419,491.8720845,123308
2018,7,570627.645,1288593,513.1501548,123308
2018,8,767409.416,1289272,520.0907811,123308
2018,9,657245.98,1290427,448.24063559999996,123308
2018,10,518184.855,1291751,436.5751698,123308
2018,11,464841.723,1292258,424.3557573,123308
2018,12,507919.416,1293604,345.53240040000003,123308
