year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,685589.0,601516,3659.5848,1100000
2007,2,743226.0,601148,3871.8078,1100000
2007,3,554079.0,602377,3966.9278,1100000
2007,4,505810.0,600064,3753.1726,1100000
2007,5,496462.0,600034,4678.2603,1100000
2007,6,718353.0,599420,5197.2859,1100000
2007,7,683160.0,599626,4901.548,1100000
2007,8,889345.0,599306,6023.1298,1100000
2007,9,632241.0,598641,5538.4266,1100000
2007,10,506622.0,600043,4467.2974,1100000
2007,11,538073.0,600702,3641.2106,1100000
2007,12,684813.0,603063,3711.7445,1100000
2008,1,754440.0,604981,3808.9847,1100000
2008,2,667497.0,604657,3474.9679,1100000
2008,3,626348.0,604683,3709.6655,1100000
2008,4,465727.0,604492,3674.8027,1100000
2008,5,410746.0,603231,3924.8209,1100000
2008,6,628409.0,602150,4432.2808,1100000
2008,7,752796.0,602124,4893.9193,1100000
2008,8,734639.0,601254,5376.7162,1100000
2008,9,519364.0,600986,4737.8777,1100000
2008,10,416472.0,600791,4244.9928,1100000
2008,11,561143.0,601512,3579.4217,1100000
2008,12,732831.0,601746,3708.2651,1100000
2009,1,829760.0,601326,3758.6216,1100000
2009,2,612210.0,604376,3388.1923,1100000
2009,3,530114.0,605108,3551.6725,1100000
2009,4,411754.0,585823,3437.0692,1100000
2009,5,456918.0,580143,3871.2769,1100000
2009,6,612795.0,578095,4170.2169,1100000
2009,7,579006.0,574527,4419.7014,1100000
2009,8,648524.0,574100,4436.1393,1100000
2009,9,494046.0,570715,4156.1162,1100000
2009,10,400018.0,566797,3605.1132,1100000
2009,11,460683.0,562319,3336.6212,1100000
2009,12,646843.0,560613,3423.8826,1100000
2010,1,746300.0,557203,3627.9524,1100000
2010,2,652767.0,560324,3153.2334,1100000
2010,3,475714.0,559827,3429.3168,1100000
2010,4,352992.0,553826,3392.5745,1100000
2010,5,437749.0,547087,3791.182,1100000
2010,6,641891.0,548045,3958.6392,1100000
2010,7,713081.0,543472,4709.7301,1100000
2010,8,623924.0,488137,5254.9317,1100000
2010,9,410152.0,458711,4860.5643,1100000
2010,10,295612.0,453494,4284.3457,1100000
2010,11,351026.0,452325,3369.7842,1100000
2010,12,558127.0,452623,3496.7175,1100000
2011,1,548052.0,447157,3528.1596,1100000
2011,2,424194.0,444400,3108.5491,1100000
2011,3,392012.714,442234,3330.1334,1100000
2011,4,279846.44,433647,3266.7936,1100000
2011,5,349783.677,430576,3558.3249,1100000
2011,6,419138.649,429984,4028.9801,1100000
2011,7,626301.427,427114,4996.2816,1100000
2011,8,510784.792,428241,4834.0043,1100000
2011,9,328413.879,424779,3812.5562,1100000
2011,10,280037.506,425725,3528.7824,1100000
2011,11,320083.701,424182,3163.9924,1100000
2011,12,438202.043,424422,3240.1909,1100000
2012,1,467043.417,426094,3297.4293,1100000
2012,2,416799.564,448001,3022.1554,1100000
2012,3,343510.253,447059,3291.4241,1100000
2012,4,272734.531,442381,3226.5654,1100000
2012,5,350901.565,439445,3891.8772,1100000
2012,6,429915.318,405345,4652.3568,1100000
2012,7,514090.481,392330,5230.3457,1100000
2012,8,395369.014,353277,4936.9368,1100000
2012,9,279290.362,346004,3750.8583,1100000
2012,10,236939.89,347700,3494.2359,1100000
