year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,513842.0,623957,6534.41,355178
2007,2,465187.0,620165,7618.26,355962
2007,3,445753.0,618665,7613.88,356949
2007,4,363311.0,618610,6842.42,357893
2007,5,353280.0,613819,7425.3,358953
2007,6,414105.0,613819,8196.4,360085
2007,7,452929.0,613370,8598.27,361028
2007,8,506300.0,613180,7813.15,362123
2007,9,411101.0,612364,7111.73,366581
2007,10,396926.103,611415,6713.83,367352
2007,11,364670.303,613583,6329.65,367985
2007,12,492353.737,614029,6737.06,368584
2008,1,530454.054,615601,7074.26,369232
2008,2,463598.489,616594,6784.85,369630
2008,3,473038.797,617229,7154.31,370249
2008,4,330280.249,617544,6798.67,370913
2008,5,327867.939,617361,6990.32,371807
2008,6,418891.35,616272,7358.62,372561
2008,7,505985.017,615935,7683.65,373309
2008,8,463113.254,615456,7904.53,374220
2008,9,367385.956,615255,7026.39,374957
2008,10,341696.835,615387,6680.87,375740
2008,11,399138.675,617107,6128.21,376301
2008,12,545364.437,667603,6708.18,376868
2009,1,652376.578,668304,7221.1,378576
2009,2,478254.29,668682,6556.21,380117
2009,3,453216.322,668895,6865.6,381783
2009,4,399727.662,668580,6400.22,384177
2009,5,358158.454,667028,6846.22,386670
2009,6,414497.358,666610,7074.32,391800
2009,7,424539.683,628028,7054.42,398695
2009,8,411518.716,422292,7158.23,407788
2009,9,182380.783,323070,6551.25,416852
2009,10,196089.907,318580,6302.13,417154
2009,11,198742.551,309789,5918.5,417315
2009,12,268248.626,300058,6417.45,417585
2010,1,283465.833,298400,6862.15,417651
2010,2,244269.49,298797,6247.89,417719
2010,3,213139.972,301577,6730.3,417784
2010,4,163936.764,292840,6382.8,417853
2010,5,158391.06,282108,6792.8,417885
2010,6,196572.972,287473,6934.78,417910
2010,7,222620.678,258444,7933.41,417958
2010,8,197029.212,227494,7711.44,417982
2010,9,142443.169,203076,6877.42,417874
2010,10,110683.401,194905,6562.41,417833
2010,11,114289.762,200616,6214.12,417797
2010,12,159265.637,184886,6801.8,417666
2011,1,149169.845,162975,7162.76,417454
2011,2,115705.12,169474,6672.59,417399
2011,3,117499.756,171850,7041.19,417298
2011,4,95266.085,164007,6598.57,417326
2011,5,92645.521,160512,6767.25,417305
2011,6,102002.886,167806,7098.09,417111
2011,7,110464.032,165338,7929.38,417182
2011,8,155773.12,165258,7418.25,417184
2011,9,99431.643,169761,6545.45,417137
2011,10,89720.958,174476,6474.21,417103
2011,11,98262.391,162418,6122.51,417075
2011,12,123791.6,168797,6409.38,417014
2012,1,134911.186,164705,6741.02,416978
2012,2,109677.739,162045,6294.18,416933
2012,3,102380.134,167587,6707.43,417149
2012,4,84488.459,163461,6249.73,417320
2012,5,92152.316,161717,6988.47,417368
2012,6,110478.39,161580,7758.16,417459
2012,7,139051.84,162563,8409.12,417388
2012,8,135170.593,162704,7575.09,417170
2012,9,88981.89199999999,166671,6433.46,417047
2012,10,92953.143,164467,6260.79,417193
2012,11,101341.506,164694,6385.02,417191
2012,12,135798.833,158451,6227.19,417328
2013,1,110052.655,155883,6648.71,417717
2013,2,116714.999,161108,6298.97,417906
2013,3,122508.177,161104,6688.82,418084
2013,4,91285.412,159851,6267.2,418199
2013,5,97282.12,166627,6857.85,418447
2013,6,96055.224,161469,6753.99,418506
2013,7,122380.75,168255,7012.21,418493
2013,8,111518.277,172862,6939.41,418528
2013,9,97362.475,166744,6472.09,418470
2013,10,94846.059,167898,6180.03,418335
2013,11,111052.428,170564,5824.44,418342
2013,12,132109.144,169393,6309.22,418240
2014,1,147128.33,143028,7387.07,418347
2014,2,103904.206,139390,7006.78,418499
2014,3,107893.225,137890,7326.5,418572
2014,4,76037.835,136833,6707.66,418757
2014,5,79541.295,140211,6947.01,418841
2014,6,86617.81,148132,7206.04,418797
2014,7,95452.346,146840,7166.72,418613
2014,8,104924.791,158645,6867.31,418639
2014,9,87845.871,155902,6288.09,418611
2014,10,83608.895,155598,6099.27,418650
2014,11,109315.11,159835,5975.05,418694
2014,12,124453.304,175385,12281.87,418751
2015,1,165309.715,173193,6821.37,418695
2015,2,151388.939,180296,6385.26,418278
2015,3,134709.945,182348,7360.13,418262
2015,4,102645.796,181557,6531.12,418315
2015,5,102562.198,178737,6744.93,418252
2015,6,109262.6,185640,6529.62,418289
2015,7,133691.841,187638,6969.86,418345
2015,8,132503.635,184330,7303.54,418349
2015,9,119783.703,187311,6426.06,418287
2015,10,99295.558,188716,6065.43,418376
2015,11,109966.661,192395,5634.77,418334
2015,12,129926.764,188206,5858.12,418326
2016,1,154222.6,192217,6255.97,418332
2016,2,136889.841,193200,5935.9,418333
2016,3,120423.201,194266,6164.13,418264
2016,4,112960.211,189710,5869.48,418266
2016,5,102220.034,191976,6252.99,418319
2016,6,124084.42,188611,6726.69,418299
2016,7,161449.073,192286,7188.69,418282
2016,8,170887.546,199642,6843.75,418245
2016,9,128425.429,200866,6066.25,417818
2016,10,99401.736,205732,5827.15,417505
2016,11,121659.663,211249,5477.6,417463
2016,12,166668.101,217137,5938.57,417279
