year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,141096.0,181679,1312.954,458051
2007,2,113200.0,181817,1219.099,458051
2007,3,121577.0,181809,1386.608,458051
2007,4,106155.0,181845,1492.396,458051
2007,5,106407.0,181903,2014.041,458051
2007,6,104764.0,182061,3119.659,458051
2007,7,126068.0,182122,3937.719,458051
2007,8,134611.0,182313,3103.665,458051
2007,9,113241.0,182554,3158.249,458051
2007,10,110054.0,182797,2258.109,458051
2007,11,105789.292,182955,1315.532,458051
2007,12,132847.201,183125,1225.09,458051
2008,1,143452.364,183222,1242.344,458051
2008,2,125273.489,183335,1148.075,458051
2008,3,120386.492,183398,1234.399,458051
2008,4,107459.26,183542,1749.58,458051
2008,5,104668.48,183423,3161.393,458051
2008,6,108088.142,183282,3907.875,458051
2008,7,130331.715,183450,4333.534,458051
2008,8,124850.193,183439,3200.132,458051
2008,9,101304.781,183464,2967.276,458051
2008,10,107884.695,183633,2047.887,458051
2008,11,99064.154,183796,1346.406,458051
2008,12,136624.97,183984,1290.294,458051
2009,1,131505.964,184154,1338.394,458051
2009,2,111628.039,184178,1218.793,458051
2009,3,119005.111,184276,1483.838,458051
2009,4,110699.039,184353,1576.084,458051
2009,5,105327.97,184465,2713.584,458051
2009,6,103177.189,184528,2803.467,458051
2009,7,122592.005,184592,2931.12,458051
2009,8,120378.851,184708,3055.26,458051
2009,9,105693.482,184919,2423.49,458051
2009,10,112916.608,185143,1587.992,458051
2009,11,112831.605,185248,1256.581,458051
2009,12,146171.638,185426,1305.456,458051
2010,1,141856.633,185427,1289.117,458051
2010,2,116418.604,185522,1150.252,458051
2010,3,134651.944,185572,1270.875,458051
2010,4,110504.496,185689,1538.735,458051
2010,5,109479.857,185758,2651.757,458051
2010,6,120449.38,185919,3821.323,458051
2010,7,137285.997,185966,3564.108,458051
2010,8,132481.294,185955,2957.834,458051
2010,9,114425.831,186063,3501.924,458051
2010,10,107617.566,186113,2299.955,458051
2010,11,113776.051,186271,1300.697,458051
2010,12,137872.457,186393,1308.839,458051
2011,1,142358.417,186542,1313.348,458051
2011,2,124276.684,186619,1236.236,458051
2011,3,124139.419,186659,1443.228,458051
2011,4,104969.038,186711,1887.019,458051
2011,5,109009.414,186789,2759.129,458051
2011,6,117504.942,186980,3934.045,458051
2011,7,143843.649,187052,3428.908,458051
2011,8,140660.882,187194,3263.108,458051
2011,9,107686.494,187296,2707.8,458051
2011,10,110702.241,187495,1998.027,458051
2011,11,116331.211,187597,1303.923,458051
2011,12,142423.441,187732,1364.679,458051
2012,1,138960.283,187820,1329.294,458051
2012,2,121459.303,187818,1178.258,458051
2012,3,117366.112,187886,1662.837,458051
2012,4,103729.146,187952,2296.963,458051
2012,5,108347.645,188105,3172.362,458051
2012,6,122510.382,188274,3926.106,458051
2012,7,154663.492,188108,3878.315,458051
2012,8,142277.575,188316,3719.948,458051
2012,9,107645.444,188423,2941.514,458051
2012,10,111539.433,188566,1832.608,458051
2012,11,108234.887,188696,1391.38,458051
2012,12,134482.594,188841,1330.649,458051
2013,1,142223.477,182153,1340.51,458051
2013,2,114848.753,182317,1166.863,458051
2013,3,123498.783,182727,1352.031,458051
2013,4,113734.999,182899,1466.759,458051
2013,5,111402.739,183077,2235.424,458051
2013,6,117203.307,183077,2947.738,458051
2013,7,132009.72,183031,2631.64,458051
2013,8,130251.811,183641,2349.479,458051
2013,9,114512.28,183552,2101.452,458051
2013,10,110505.529,183733,1566.84,458051
2013,11,110376.615,184095,1213.244,458051
2013,12,141256.705,184135,1268.871,458051
2014,1,138439.203,184335,1223.931,458051
2014,2,119905.666,184779,1131.496,458051
2014,3,121007.789,184864,1255.495,458051
2014,4,110160.576,185211,1486.539,458051
2014,5,106027.944,185510,2475.159,458051
2014,6,109919.516,185642,2982.78,458051
2014,7,127233.355,186184,2910.277,458051
2014,8,122715.91,186817,2490.421,458051
2014,9,110511.837,186776,2603.312,458051
2014,10,107215.024,187060,1891.97,458051
2014,11,109550.389,187041,1225.186,458051
