year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,737190.0,667027,4074.2087688446045,1093800
2007,2,771324.0,664419,4433.867156982422,1093800
2007,3,665164.0,667726,4417.01944732666,1093800
2007,4,494450.0,665747,4043.560287475586,1093800
2007,5,524278.0,666074,4845.48975944519,1093800
2007,6,642077.0,662913,5298.061513900757,1093800
2007,7,717337.0,663245,5289.743827819824,1093800
2007,8,824642.0,663030,5158.536376953125,1093800
2007,9,647116.0,661788,4789.934604644775,1093800
2007,10,483311.0,659530,4510.155776977539,1093800
2007,11,503074.0,664509,4064.2751426696777,1093800
2007,12,730938.0,665583,4160.133123397827,1093800
2008,1,778967.0,672453,4244.1664934158325,1104500
2008,2,718457.0,669043,3970.481849104166,1104500
2008,3,719583.0,668497,4127.603317260742,1104500
2008,4,474097.0,668936,4009.5531120300293,1104500
2008,5,440913.0,665669,4320.638410568237,1104500
2008,6,599126.0,665025,4579.418340682983,1104500
2008,7,750555.0,664394,5003.045883178711,1104500
2008,8,710907.0,663736,5388.96675491333,1104500
2008,9,579274.0,659979,4689.979337692261,1104500
2008,10,462069.0,654880,4444.073531150818,1104500
2008,11,543336.0,664043,4037.499568939209,1104500
2008,12,773244.0,667012,4280.350820541382,1104500
2009,1,877760.0,666129,4436.594049453735,1115200
2009,2,670887.0,669597,3994.770652770996,1115200
2009,3,647424.0,674130,4181.037687301636,1115200
2009,4,469486.0,668460,3988.471237182617,1115200
2009,5,477094.0,665839,4437.999027252197,1115200
2009,6,587114.0,666344,4681.662046432495,1115200
2009,7,660442.0,665405,4788.399444580078,1115200
2009,8,684662.0,664235,4786.893335342407,1115200
2009,9,528894.0,665369,4340.431438446045,1115200
2009,10,477997.0,665702,4072.5332069396973,1115200
2009,11,510070.0,666109,3816.6423231506346,1115200
2009,12,711355.0,666890,3944.379327774048,1115200
2010,1,861761.0,668798,4176.405309319496,1125900
2010,2,705230.0,666703,3665.649914741516,1125900
2010,3,659197.0,674834,3965.4917335510254,1125900
2010,4,422338.0,671231,3837.753445625305,1125900
2010,5,496125.247,666378,4244.571792602539,1125900
2010,6,648542.369,669274,4371.779487609863,1125900
2010,7,842403.188,660266,4862.29398727417,1125900
2010,8,816728.171,665200,4920.035808563232,1125900
2010,9,553558.834,663482,4672.3893032073975,1125900
2010,10,443777.541,663469,4304.003415107727,1125900
2010,11,558919.066,667298,3911.7907876968384,1125900
2010,12,795840.239,667020,4265.89418888092,1125900
2011,1,890072.194,668570,4214.273511886597,1132500
2011,2,660229.637,660423,3734.098808288574,1132500
2011,3,577010.309,682002,4016.51141166687,1132500
2011,4,477932.113,666485,3879.5586833953857,1132500
2011,5,492327.479,668556,4177.434793633911,1132500
2011,6,618294.522,661011,4527.666964809936,1132500
2011,7,849764.226,660581,4936.1583042144775,1132500
2011,8,784158.274,662530,4744.615760803223,1132500
2011,9,504432.669,660317,4257.125381469727,1132500
2011,10,454754.937,658354,4111.381925582886,1132500
2011,11,489861.198,649242,3800.3899784088135,1132500
2011,12,638526.221,639541,3891.251190185547,1132500
2012,1,1484401.253,1209296,3991.6060104370117,1139345
2012,2,1121741.439,1187107,3696.2802867889404,1139345
2012,3,996956.006,1179558,3888.833656311035,1139345
2012,4,752803.942,1164113,3765.469877243042,1139345
2012,5,843060.837,1116241,4495.012559890747,1139345
2012,6,1004615.561,1092901,4917.889163970947,1139345
2012,7,1406556.12,1082616,5150.009498596191,1139345
2012,8,1291793.959,1075332,5004.02805519104,1139345
2012,9,795088.979,1053495,4339.442792892456,1139345
2012,10,729692.196,1037012,4143.808662414551,1139345
2012,11,898228.087,1029975,3868.60671043396,1139345
2012,12,1088698.223,1009971,3941.0385417938232,1139345
2013,1,1210408.482,1004747,4210.1891803741455,1146169
2013,2,955838.87,992703,3718.1197414398193,1146169
2013,3,1154051.5,980680,3995.6359004974365,1146169
2013,4,720801.899,979275,3862.3882409014896,1146169
2013,5,698996.359,971709,4276.351379394531,1146169
2013,6,833141.545,964808,4489.689046859741,1146169
2013,7,1046670.088,957836,4562.446870803833,1146169
