year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,877117,1114945,3678.18,1306000
2007,2,652959,1116573,3402.9,1306000
2007,3,671125,1118074,3547.99,1306000
2007,4,609537,1118836,3790.03,1306000
2007,5,632822,1119161,5848.38,1306000
2007,6,722337,1118683,9223.59,1306000
2007,7,947849,1119279,11481.66,1306000
2007,8,886575,1121500,9132.51,1306000
2007,9,691704,1121575,7719.45,1306000
2007,10,650643,1124364,5428.87,1306000
2007,11,711793,1124988,3630.6,1306000
2007,12,849443,1126019,3590.26,1306000
2008,1,876386,1128206,3649.36,1306000
2008,2,716490,1128873,3352.36,1306000
2008,3,709045,1129038,3690.72,1306000
2008,4,629453,1129193,4552.94,1306000
2008,5,635120,1129686,6663.18,1306000
2008,6,713789,1129051,9728.11,1306000
2008,7,956664,1129607,12051.46,1306000
2008,8,822000,1134953,9522.43,1306000
2008,9,646224,1137365,7357.95,1306000
2008,10,631360,1139447,4958.16,1306000
2008,11,687557,1140307,3238.41,1306000
2008,12,881280,1142106,3218.45,1306000
2009,1,782924,1143341,3210.9,1306000
2009,2,672240,1143251,3139.9,1306000
2009,3,677558,1144991,3923.7,1306000
2009,4,644413,1145399,3725.3,1306000
2009,5,633775,1145102,6203.5,1306000
2009,6,656175,1146015,6443.3,1306000
2009,7,838189,1145742,8339.2,1306000
2009,8,821056,1146301,8648.3,1306000
2009,9,700420,1146796,7245.2,1306000
2009,10,664555,1148474,4257.8,1306000
2009,11,722696,1149310,3402.3,1306000
2009,12,890557,1150181,3550.4,1306000
2010,1,861007,1152270,3452.06,1306000
2010,2,703666,1153358,3087.33,1306000
2010,3,742228,1154935,3435.78,1306000
2010,4,644987,1154699,3806.82,1306000
2010,5,632101,1155163,5789.91,1306000
2010,6,782779,1156812,8629.93,1306000
2010,7,923236,1156467,9790.02,1306000
2010,8,893893,1157221,9817.48,1306000
2010,9,706677,1157289,9204.23,1306000
2010,10,661681,1157185,5695.06,1306000
2010,11,737228,1158785,3440.72,1306000
2010,12,797509,1159287,3563.73,1306000
2011,1,851390,1160474,3514.0,1306000
2011,2,725050,1161257,3135.0,1306000
2011,3,738136,1162006,3599.0,1306000
2011,4,628049,1162985,4482.0,1306000
2011,5,621579,1163256,6081.0,1306000
2011,6,732991,1163175,8849.0,1306000
2011,7,953187,1162924,8137.0,1306000
2011,8,957532,1163932,10419.0,1306000
2011,9,696814,1163607,7829.0,1306000
2011,10,660174,1164575,5478.0,1306000
2011,11,731530,1165328,3266.0,1306000
2011,12,852598,1166567,3468.0,1306000
2012,1,814615,1167758,3519.1,1306000
2012,2,745617,1168658,3070.6,1306000
2012,3,698847,1170079,3694.1,1306000
2012,4,611929,1170338,5091.6,1306000
2012,5,628528,1170511,7401.0,1306000
2012,6,833624,1170492,9818.2,1306000
2012,7,1022771,1170835,9973.2,1306000
2012,8,933813,1171682,10297.5,1306000
2012,9,701819,1171869,8129.3,1306000
2012,10,676865,1173759,4451.8,1306000
2012,11,703514,1174860,3252.1,1306000
2012,12,821039,1176356,3262.15,1306000
2013,1,858451,1178232,3312.04,1306000
2013,2,720899,1179260,3131.46,1306000
2013,3,748653,1180108,3218.26,1306000
2013,4,652502,1180758,3253.49,1306000
2013,5,654157,1181078,5174.82,1306000
2013,6,789179,1181305,8421.76,1306000
2013,7,919273,1182006,8826.11,1306000
2013,8,932138,1182494,8196.73,1306000
2013,9,723355,1182767,5927.25,1306000
2013,10,692117,1184294,3979.47,1306000
2013,11,726121,1185507,3269.9,1306000
2013,12,849201,1187308,3484.11,1306000
2014,1,876895,1189178,3532.35,1306000
2014,2,732726,1190421,3257.48,1306000
2014,3,743625,1191823,3502.08,1306000
2014,4,633261,1192525,3873.75,1306000
2014,5,651211,1193376,5840.54,1306000
2014,6,707136,1194113,7761.86,1306000
2014,7,912555,1195176,8899.91,1306000
2014,8,829530,1196383,7549.75,1306000
2014,9,697701,1197415,6064.91,1306000
2014,10,644013,1199345,4378.92,1306000
2014,11,740499,1200748,3350.5,1306000
2014,12,839372,1202621,3165.04,1306000
2015,1,858686,1205083,3397.45,1306000
2015,2,714193,1207055,3051.41,1306000
2015,3,703000,1208767,3505.72,1306000
2015,4,601892,1209647,3654.11,1306000
2015,5,642693,1210195,3871.5,1306000
2015,6,757257,1210960,5730.29,1306000
2015,7,871733,1211212,7958.83,1306000
2015,8,943817,1212526,8989.29,1306000
2015,9,726102,1213588,8391.03,1306000
2015,10,695370,1215597,5293.23,1306000
2015,11,730867,1216950,3178.25,1306000
2015,12,865980,1218662,3119.76,1306000
2016,1,872797,1221047,3327.69,1306000
2016,2,706494,1222675,3193.35,1306000
2016,3,726738,1224269,3127.92,1306000
2016,4,613946,1225591,3225.16,1306000
2016,5,664376,1226513,4532.69,1306000
2016,6,835762,1227436,8215.12,1306000
2016,7,1022440,1228069,9803.51,1306000
2016,8,913090,1230458,9274.51,1306000
2016,9,747481,1231402,7849.93,1306000
2016,10,628064,1232945,5719.92,1306000
