year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,146480,237747,527.858,625000
2007,2,125643,238290,504.45,625000
2007,3,98942,238646,1297.155,625000
2007,4,101551,238816,2851.296,625000
2007,5,111705,238935,3149.939,625000
2007,6,154165,238870,3478.912,625000
2007,7,173515,238961,3603.272,625000
2007,8,174431,239230,3665.728,625000
2007,9,188801,239632,3261.487,625000
2007,10,141731,239763,2840.819,625000
2007,11,108512,239999,813.811,625000
2007,12,115043,240040,746.934,625000
2008,1,146493,240416,744.748,640000
2008,2,123478,241044,767.307,640000
2008,3,93481,241633,2001.922,640000
2008,4,104817,242111,2932.49,640000
2008,5,110648,242280,3312.444,640000
2008,6,188596,242532,3756.536,640000
2008,7,184124,242936,3187.485,640000
2008,8,177768,243233,3138.106,640000
2008,9,149223,243582,2868.567,640000
2008,10,124841,243832,2545.551,640000
2008,11,107060,244134,840.563,640000
2008,12,127613,244520,787.001,640000
2009,1,147260,244863,802.372,640000
2009,2,120199,245511,780.945,640000
2009,3,87034,245991,2062.214,640000
2009,4,105716,246369,3001.55,640000
2009,5,129786,246659,3490.516,640000
2009,6,186065,246935,3603.216,640000
2009,7,197868,247505,3681.376,640000
2009,8,211467,247834,3757.66,640000
2009,9,170494,247991,3177.1,640000
2009,10,137557,248311,2060.856,640000
2009,11,113615,248684,789.426,640000
2009,12,131836,248961,734.306,640000
2010,1,161429,249394,732.3,650000
2010,2,126184,249950,645.327,650000
2010,3,114904,250417,1395.975,650000
2010,4,130575,252361,2881.312,650000
2010,5,117309,255581,3501.521,650000
2010,6,185573,251451,3731.799,650000
2010,7,214273,252662,3561.589,650000
2010,8,210422,252828,3675.51,650000
2010,9,189832,253152,3340.075,650000
2010,10,158198,253224,1879.294,650000
2010,11,115056,253373,799.396,650000
2010,12,130132,251925,728.796,650000
2011,1,154196,254413,722.972,650000
2011,2,140521,253708,773.411,650000
2011,3,117197,255198,1200.635,650000
2011,4,114583,255243,3182.022,650000
2011,5,129358,255343,3620.123,650000
2011,6,181489,255522,3680.773,650000
2011,7,237931,256064,3746.56,650000
2011,8,228318,256115,3729.835,650000
2011,9,224482,256365,2470.242,650000
2011,10,156460,256809,1285.549,650000
2011,11,118289,256610,794.408,650000
2011,12,137866,256943,698.37,650000
2012,1,168155,257854,720.891,660000
2012,2,129443,258841,709.871,660000
2012,3,123889,258874,936.95,660000
2012,4,125883,259098,1479.649,660000
2012,5,144664,259989,1842.172,660000
2012,6,193682,260248,3187.584,660000
2012,7,230832,260167,3446.804,660000
2012,8,234069,260672,3636.232,660000
2012,9,226780,260576,2467.389,660000
2012,10,152776,261294,1127.738,660000
2012,11,126045,260922,849.285,660000
2012,12,126918,260683,757.401,660000
2013,1,170099,260417,696.686,660000
2013,2,147883,261070,629.995,660000
2013,3,118099,260860,833.239,660000
2013,4,114188,261236,945.967,660000
2013,5,133877,261623,1374.367,660000
2013,6,201732,265620,2490.527,660000
2013,7,238415,265792,2740.276,660000
2013,8,239250,266143,1681.357,660000
2013,9,218388,266463,1256.11,660000
2013,10,148896,266731,981.978,660000
2013,11,124175,266895,672.28,660000
2013,12,136953,266950,651.51,660000
2014,1,166502,267152,702.558,670000
2014,2,142111,267317,703.101,670000
2014,3,106625,268011,896.635,670000
2014,4,111382,268603,1016.999,670000
2014,5,130438,268934,1366.103,670000
2014,6,193298,269222,3241.259,670000
2014,7,257736,269565,3614.84,670000
2014,8,239831,269567,2800.166,670000
2014,9,210747,270249,1114.277,670000
2014,10,164717,270186,972.345,670000
2014,11,123954,270378,700.157,670000
2014,12,135269,270540,650.355,670000
2015,1,176111,270640,656.528,670000
2015,2,134019,271116,635.577,670000
2015,3,120122,271930,821.876,670000
2015,4,120402,272244,959.911,670000
2015,5,126522,272731,1243.309,670000
2015,6,189733,272956,3188.308,670000
2015,7,266516,273679,3629.198,670000
2015,8,256120,273802,3652.808,670000
2015,9,249682,274128,3313.72,670000
2015,10,191862,274225,959.824,670000
2015,11,120760,274454,751.634,675000
2015,12,137918,274463,730.537,675000
2016,1,171704,275094,701.389,675000
2016,2,143927,275357,719.134,675000
2016,3,121137,275965,885.227,675000
2016,4,119273,276335,2661.186,675000
2016,5,133562,276930,3242.609,675000
2016,6,208334,277485,3427.242,675000
2016,7,278836,277575,3440.46,675000
2016,8,270305,278005,3154.237,675000
2016,9,231248,277997,2741.35,675000
2016,10,174159,278126,970.637,675000
2016,11,135847,278432,766.09,675000
2016,12,140145,278660,708.688,675000
2017,1,157351,279078,657.209,675000
2017,2,130569,279667,631.705,675000
2017,3,128078,280656,893.469,675000
2017,4,123308,281032,2543.866,675000
2017,5,150927,282137,3601.399,675000
2017,6,222492,282455,3702.617,675000
2017,7,282628,282899,3544.74,675000
2017,8,260260,283301,3432.036,675000
2017,9,237926,283432,3334.221,675000
2017,10,186749,283683,2179.17,675000
2017,11,129167,283737,877.552,675000
2017,12,131087,283760,868.621,675000
2018,1,163623,284430,851.232,675000
2018,2,140130,284631,741.293,675000
2018,3,119424,285404,1272.612,675000
2018,4,126806,286186,2765.053,675000
2018,5,156285,286487,3564.711,675000
2018,6,246877,286956,3589.917,675000
2018,7,294350,287861,3567.623,675000
2018,8,282322,288133,3534.355,675000
2018,9,270251,288575,2990.996,675000
2018,10,194396,288705,1048.468,675000
2018,11,124889,288831,742.179,675000
2018,12,146559,289024,674.672,675000
