year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,1038878,834760,612.56514,252176
2007,2,890777,836421,532.64838,252176
2007,3,693888,836980,576.04998,252176
2007,4,673042,830735,567.2766,252176
2007,5,976801,829971,782.55672,252176
2007,6,1273107,831611,732.44952,252176
2007,7,1672071,832576,691.5235799999999,252176
2007,8,1619251,833735,712.25418,252176
2007,9,1758359,833712,627.0877800000001,252176
2007,10,1117844,837609,779.41358,252176
2007,11,818321,841914,621.69068,252176
2007,12,834076,844041,472.24699999999996,252176
2008,1,984342,844754,526.94904,253115
2008,2,914324,845882,392.91718,253115
2008,3,743747,844616,541.4913,253115
2008,4,680258,836637,651.92294,253115
2008,5,869745,836229,707.16778,253115
2008,6,1150404,837152,748.70712,253115
2008,7,1637729,834892,818.52628,253115
2008,8,1677995,835666,1448.9160200000001,253115
2008,9,1481999,835403,1308.83768,253115
2008,10,1094404,840395,1233.19802,253115
2008,11,773308,843132,981.96664,253115
2008,12,766873,845724,739.8039800000001,253115
2009,1,889578,847309,766.0301400000001,254262
2009,2,735949,848765,689.43408,254262
2009,3,757770,847244,903.3331200000001,254262
2009,4,626628,839685,1015.99794,254262
2009,5,1016862,838303,1315.0015,254262
2009,6,1163146,837122,1414.7911600000002,254262
2009,7,1583430,838284,1679.99638,254262
2009,8,1688200,837418,1624.15804,254262
2009,9,1493741,837757,1483.35216,254262
2009,10,1013564,844048,1387.1795000000002,254262
2009,11,731301,848109,1129.05808,254262
2009,12,804928,851755,831.9279600000001,254262
2010,1,880944,854219,604.1458,226127
2010,2,755177,856315,561.92498,226127
2010,3,717000,855387,736.81822,226127
2010,4,678687,847565,1044.88672,226127
2010,5,867035,846162,1212.7005,226127
2010,6,1310108,845210,1349.7841200000003,226127
2010,7,1737453,845044,1473.4296199999999,226127
2010,8,1560547,844445,1327.74762,226127
2010,9,1377233,845200,1248.962,226127
2010,10,911479,851365,1112.93306,226127
2010,11,695319,855326,957.8605,226127
2010,12,785030,858135,751.83604,226127
2011,1,887013,860191,722.6474000000001,228802
2011,2,814929,862408,637.08086,228802
2011,3,661423,862160,731.9711400000001,228802
2011,4,767590,854238,861.56546,228802
2011,5,900676,852043,1124.11062,228802
2011,6,1284803,853090,1275.04902,228802
2011,7,1673977,853920,1312.9033,228802
2011,8,1736180,854290,1313.75326,228802
2011,9,1369093,855481,1179.04834,228802
2011,10,920864,861268,1121.92456,228802
2011,11,664041,866126,798.07696,228802
2011,12,944797,870384,664.86746,228802
2012,1,811072,872508,743.72732,232953
2012,2,690634,878629,606.89772,232953
2012,3,671113,871109,688.4796294,232953
2012,4,798719,861614,882.24334,232953
2012,5,1079244,859968,1048.32528,232953
2012,6,1462937,860429,1200.42256,232953
2012,7,1583567,860352,1200.34734,232953
2012,8,1671540,862061,1138.99934,232953
2012,9,1297053,863687,964.3824,232953
2012,10,909463,870047,927.0392400000001,232953
2012,11,666116,875364,911.68518,232953
2012,12,861116,878389,724.1165000000001,232953
2013,1,945363,881051,551.04258,236349
2013,2,754625,882714,500.0555076,236349
2013,3,708483,882313,720.6182783,236349
2013,4,755316,872875,966.7686808400001,236349
2013,5,1080075,871757,1100.29190248,236349
2013,6,1501431,872612,1263.79620186,236349
2013,7,1677301,872828,1230.5143620200001,236349
2013,8,1586975,874860,1172.48875258,236349
2013,9,1288552,875914,895.57492392,236349
2013,10,761862,882800,886.24602428,236349
2013,11,660291,888392,721.0709951199999,236349
2013,12,861711,891668,634.24607788,236349
2014,1,812965,894229,542.1631483200001,238672
2014,2,651565,895793,554.70890912,238672
2014,3,661549,894556,724.5644240600001,238672
2014,4,745760,886460,885.1694569200001,238672
2014,5,1023461,885048,1060.6013400000002,238672
2014,6,1434624,885334,1128.2614,238672
2014,7,1706900,885953,1147.31036,238672
2014,8,1509624,887309,937.46022,238672
2014,9,1328293,888234,776.0879600000001,238672
2014,10,906346,895298,784.3069399999999,238672
2014,11,687871,900257,820.0566100000001,238672
2014,12,824675,903484,684.9256799999999,238672
2015,1,838634,905990,559.86748,241800
2015,2,614163,907444,494.32152,241800
2015,3,729171,905812,646.14076,241800
2015,4,739840,897608,931.86098,241800
2015,5,913787,896190,1050.69282,241800
2015,6,1456061,896318,1086.5167999999999,241800
2015,7,1658330,897283,1202.4986800000001,241800
2015,8,1706656,898106,1249.15756,241800
2015,9,1358950,899457,1042.39196,241800
2015,10,948679,905858,958.54126,241800
2015,11,677364,910612,880.331006,241800
2015,12,944429,914246,807.2986500000001,241800
2016,1,908866,916729,762.67525,244168
2016,2,693595,917737,813.3910400000001,244168
2016,3,683068,916160,871.1553800000002,244168
2016,4,732553,908913,908.487386,244168
2016,5,971980,907285,1067.817622,244168
2016,6,1576046,908375,1221.4449854,244168
2016,7,1845050,910445,1305.0588414,244168
2016,8,1617028,911346,1196.2817178,244168
2016,9,1241559,915334,1053.678476,244168
2016,10,990761,919639,1074.732892,244168
2016,11,709885,924918,904.4361824,244168
2016,12,814867,928721,766.1513576,244168
2017,1,853449,930840,645.66652162,246709
2017,2,654397,932005,622.531012,246709
2017,3,752086,930978,917.99837028,246709
2017,4,805324,924384,1053.456404,246709
2017,5,1066070,922191,1268.9353618,246709
2017,6,1588221,923633,1366.782624,246709
2017,7,1808957,924254,1385.470675,246709
2017,8,1679573,925814,1282.809194,246709
2017,9,1342987,927723,1234.617346,246709
2017,10,975598,933274,1194.2904303999999,246709
2017,11,724301,938678,1009.244636,246709
2017,12,823927,942690,806.1803540000001,246709
2018,1,772289,944724,576.113142,246709
2018,2,683944,946307,605.647689,246709
2018,3,707956,945600,902.4462900000001,246709
2018,4,857040,938623,1115.59424,246709
