year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,2040005.0,1526248,906.99325,260000
2007,2,1927012.0,1529274,831.185,260000
2007,3,1596011.0,1531530,960.652,260000
2007,4,1204787.0,1534416,988.347,260000
2007,5,1404759.0,1535246,1127.79,260000
2007,6,1833690.0,1538434,1137.552,260000
2007,7,2060992.0,1540705,1178.662,260000
2007,8,2461656.0,1543306,1313.839,260000
2007,9,1948985.0,1546005,1107.176,260000
2007,10,1278348.0,1547257,990.014,260000
2007,11,1374136.0,1549623,884.532,260000
2007,12,1847370.0,1552180,858.316,260000
2008,1,2355493.0,1556038,852.269,260000
2008,2,1756577.0,1558722,798.9535,260000
2008,3,1532791.0,1559571,835.49,260000
2008,4,1269402.0,1585210,852.906,260000
2008,5,1268878.976,1560470,939.099,260000
2008,6,1961605.541,1562303,1088.946,260000
2008,7,2219694.133,1564421,1076.102,260000
2008,8,2036936.208,1566341,1118.061,260000
2008,9,1554274.848,1566757,1015.525,260000
2008,10,1247259.561,1567148,1000.063,260000
2008,11,1516728.219,1560958,870.87,260000
2008,12,2154995.267,1570565,853.531,260000
2009,1,2373251.617,1572523,886.2862,260000
2009,2,1860842.99,1572769,808.69,260000
2009,3,1734281.313,1571004,888.121,260000
2009,4,1296998.307,1570072,879.3696,260000
2009,5,1347441.87,1571094,945.285,260000
2009,6,1783818.962,1572095,980.971,260000
2009,7,2196693.207,1574093,1123.1358,260000
2009,8,2053592.822,1574542,1135.9244,260000
2009,9,1557666.471,1574597,1020.878,260000
2009,10,1251965.051,1575569,975.944,260000
2009,11,1334233.515,1576811,894.415,260000
2009,12,2256386.916,1578510,875.85371,260000
2010,1,2842316.565,1580663,898.324,275000
2010,2,2026995.734,1582360,828.968,275000
2010,3,1821340.805,1580950,881.481,275000
2010,4,1171271.777,1580932,915.735997,275000
2010,5,1411510.536,1580718,1014.991,275000
2010,6,2083791.3,1580593,1055.645,275000
2010,7,2560590.861,1581899,1180.877,275000
2010,8,2240633.79,1582152,1161.911,275000
2010,9,1773269.911,1582462,1175.906,275000
2010,10,1202860.449,1582200,1095.025999,275000
2010,11,1339714.855,1583039,970.241,275000
2010,12,2619133.366,1585673,944.959,275000
2011,1,2835092.615,1586116,965.988,275000
2011,2,1643762.718,1586071,861.112,275000
2011,3,1509271.573,1585159,943.239,275000
2011,4,1302462.283,1585337,938.924,275000
2011,5,1326000.754,1585401,1021.568,275000
2011,6,2114371.986,1587075,1093.320833,275000
2011,7,2292650.744,1588214,1114.639583,275000
2011,8,2286271.387,1588067,1201.637,275000
2011,9,1556587.643,1588687,1062.544,275000
2011,10,1120109.977,1588091,1070.285083,275000
2011,11,1440594.252,1589295,942.46,275000
2011,12,1850469.482,1590044,916.238,275000
2012,1,2193047.399,1592490,939.03,275000
2012,2,1633756.231,1592911,889.249,275000
2012,3,1484240.3,1594367,962.570166,275000
2012,4,1072590.875,1594956,967.274,275000
2012,5,1503703.975,1595500,1102.862,275000
2012,6,1739121.424,1596272,1134.679,275000
2012,7,2383647.069,1597773,1236.704,275000
2012,8,2020220.376,1598508,1192.579,275000
2012,9,1491500.884,1598686,1070.119,275000
2012,10,1168782.417,1598501,1067.915,275000
2012,11,1531689.342,1600025,1004.159,275000
2012,12,1956262.531,1600832,969.525,275000
2013,1,2260323.501,1602668,974.688,277000
2013,2,1832021.645,1603634,887.201,277000
2013,3,1910184.063,1605171,981.83,277000
2013,4,1351036.672,1604799,984.629,277000
2013,5,1230910.813,1603929,1031.785,277000
2013,6,1689688.694,1606623,1028.497,277000
2013,7,2049078.8,1607413,1060.666,277000
2013,8,1892881.797,1609905,1066.523,277000
2013,9,1538740.877,1610815,1067.853,277000
2013,10,1187985.795,1612392,1052.989,277000
2013,11,1486342.198,1614440,921.462,277000
2013,12,2172561.75,1616028,890.229,277000
2014,1,2640480.268,1618671,971.068,277000
2014,2,2033747.519,1619351,836.192,277000
2014,3,1799254.572,1618351,910.223,277000
2014,4,1262579.757,1618819,911.620966,277000
2014,5,1360088.768,1619971,1021.689,277000
2014,6,1809919.498,1620633,1064.529,277000
2014,7,2145937.446,1623624,1130.519,277000
2014,8,1724837.009,1627168,1081.433,277000
2014,9,1654953.861,1628219,1040.968,277000
2014,10,1152881.904,1630308,1060.325,277000
2014,11,1367433.705,1633848,923.576323,277000
2014,12,2279859.796,1635658,909.788,277000
2015,1,2377093.434,1638242,946.232,280000
2015,2,2035081.703,1641222,888.908,280000
2015,3,2028159.002,1640999,968.683,280000
2015,4,1079129.543,1641387,932.51,280000
2015,5,1366091.863,1642816,1051.119615,280000
2015,6,2003659.469,1644343,1113.101,280000
2015,7,2382357.653,1646455,1124.172,280000
2015,8,2013973.477,1648381,1144.822,280000
2015,9,1573202.522,1650464,1058.625,280000
2015,10,1169150.679,1652608,1017.056,280000
2015,11,1141652.233,1654882,918.642,280000
2015,12,1984175.048,1658166,912.295,280000
2016,1,2383983.58,1661296,957.784,285000
2016,2,1949512.91,1662971,892.684,285000
2016,3,1604968.953,1664083,905.907,285000
2016,4,1144142.196,1665461,949.578,285000
2016,5,1331193.506,1665642,977.401,285000
2016,6,2096901.046,1667668,1056.982,285000
2016,7,2294959.692,1670069,1147.201,285000
2016,8,2271975.495,1672302,1177.467,285000
2016,9,1869555.69,1673987,1160.776,285000
2016,10,1216170.084,1675561,1126.107,285000
2016,11,1391424.131,1678164,1039.468,285000
2016,12,2060440.455,1681875,990.533,285000
2017,1,2054526.507,1683375,989.43,287027
2017,2,1389631.454,1684731,917.76,287027
2017,3,1690316.884,1687263,1010.544,287027
2017,4,1141127.265,1687242,955.6,287027
2017,5,1490119.787,1690228,980.035833,287027
2017,6,1821010.158,1692326,1000.264,287027
2017,7,2286180.45,1694611,1130.134,287027
2017,8,2032588.031,1696966,1149.487,287027
2017,9,1532726.076,1699389,1055.85,287027
2017,10,1168035.978,1700521,1085.28775,287027
2017,11,1479283.713,1704078,940.269,287027
2017,12,2129545.044,1706700,926.571,287027
2018,1,2869404.708,1709281,1003.287987,302454
2018,2,1531848.331,1710219,837.208825,302454
2018,3,1740872.933,1712095,877.25499,302454
2018,4,1339918.576,1712940,876.969823,302454
2018,5,1662462.972,1714851,993.970572,302454
2018,6,2060472.411,1717920,1078.541157,302454
2018,7,2229994.805,1719466,1141.527127,302454
2018,8,2124960.77,1722483,1077.684407,302454
2018,9,1862949.772,1721349,1019.421239,302454
2018,10,1545744.931,1727582,1034.193322,302454
2018,11,1626413.708,1732055,922.606,302454
2018,12,2051066.17,1736337,917.15,302454
