year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,538419,417769,3802.21,308407
2007,2,593274,418660,3971.68,308407
2007,3,403388,418360,4230.12,308407
2007,4,359820,417381,3882.02,308407
2007,5,358063,416756,5015.88,308407
2007,6,453791,416309,5577.57,308407
2007,7,475635,416254,5815.98,308407
2007,8,577462,416252,5892.7,308407
2007,9,411954,415764,5051.03,308407
2007,10,351101,415366,4457.16,308407
2007,11,401703,415937,3691.29,308407
2007,12,542215,417227,3738.36,308407
2008,1,596826,417634,3906.49,308903
2008,2,543958,418147,3630.7,308903
2008,3,465736,418094,3791.92,308903
2008,4,325574,417484,3685.09,308903
2008,5,303908,416116,4110.96,308903
2008,6,424635,415385,4425.68,308903
2008,7,495587,415194,4959.1,308903
2008,8,470236,414574,5575.9,308903
2008,9,367467,414183,4661.59,308903
2008,10,329703,414159,4150.85,308903
2008,11,428828,414759,3601.78,308903
2008,12,597332,416019,3765.34,308903
2009,1,651667,417167,3902.11,309749
2009,2,480121,417247,3507.61,309749
2009,3,388445,416334,3665.63,309749
2009,4,339203,415272,3691.83,309749
2009,5,318066,414541,4219.6,309749
2009,6,429091,414198,4383.6,309749
2009,7,396824,414278,4770.87,309749
2009,8,453034,414394,4931.15,309749
2009,9,339225,414408,4618.17,309749
2009,10,334771,414729,3852.79,309749
2009,11,367839,415378,3488.49,309749
2009,12,586249,416500,3652.49,309749
2010,1,626914,417354,3881.1,308850
2010,2,535041,417737,3482.54,308850
2010,3,401531,417089,3770.08,308850
2010,4,291799,416106,3661.66,308850
2010,5,358494,415569,4131.24,308850
2010,6,481268,414835,4257.05,308850
2010,7,552688,414858,4938.11,308850
2010,8,556073,415186,5536.87,308850
2010,9,369415,414676,5157.7,308850
2010,10,306676,414349,4343.66,308850
2010,11,400297,414891,3518.88,308850
2010,12,621223,416276,3628.27,308850
2011,1,621991,417289,3654.92,309450
2011,2,490281,417162,3358.9,309450
2011,3,421973,416153,3606.37,309450
2011,4,314331,416271,3479.81,309450
2011,5,352785,415734,3927.83,309450
2011,6,429943,414508,4396.53,309450
2011,7,615224,414701,5887.48,309450
2011,8,500967,414464,5489.65,309450
2011,9,331992,414572,4338.6,309450
2011,10,320930,415067,3857.38,309450
2011,11,365313,415670,3368.59,309450
2011,12,499771,417153,3385.38,309450
2012,1,546702,418312,3475.333894,300620
2012,2,455878,418497,3241.563552,300620
2012,3,343917,418531,3535.549287,300620
2012,4,296242,418008,3454.340471,300620
2012,5,387088,417471,4615.681285,300620
2012,6,459046,417147,5836.949107,300620
2012,7,625362,418130,5295.549033,300620
2012,8,469530,417785,4188.823032,300620
2012,9,328153,418261,3666.199257,300620
2012,10,325171,418307,3503.03,300620
2012,11,417968,419021,3205.72,300620
2012,12,489045,419867,3313.21,300620
2013,1,568764,420722,3446.93,303105
2013,2,494269,420104,3121.4,303105
2013,3,495360,421452,3393.69,303105
2013,4,327726,421041,3351.82,303105
2013,5,335514,420322,3729.86,303105
2013,6,399653,420006,4061.97,303105
2013,7,453102,420220,4624.85,303105
2013,8,457754,420459,4996.41,303105
2013,9,367314,420897,4410.17,303105
2013,10,336053,421157,3651.17,303105
2013,11,430537,422415,3262.75,303105
2013,12,576402,424201,3414.55,303105
2014,1,736390,425299,3940.53,312268
2014,2,534063,425598,3516.41,312268
2014,3,480571,425417,3680.65,312268
2014,4,305075,424663,3478.98,312268
2014,5,338411,424189,4019.44,312268
2014,6,416380,423953,4168.45,312268
2014,7,404393,423969,4416.06,312268
2014,8,434163,424388,4380.23,312268
2014,9,323476,425136,3930.67,312268
2014,10,305308,425241,3684.28,312268
2014,11,482453,426761,3372.59,312268
2014,12,508327,427969,3399.19,312268
2015,1,628252,428906,3633.64,322678
2015,2,596158,429293,3297.28,322678
2015,3,440493,429166,3679.09,322678
2015,4,295460,428443,3471.07,322678
2015,5,334440,427688,4001.13,322678
2015,6,407607,427671,4008.57,322678
2015,7,462279,428259,4126.94,322678
2015,8,433938,428860,4474.01,322678
2015,9,364415,429171,4257.86,322678
2015,10,303142,429310,3813.49,322678
2015,11,360412,429978,3346.4,322678
2015,12,435257,431288,3383.87,322678
2016,1,578084,432303,3521.07,324097
2016,2,492564,432235,3252.29,324097
2016,3,349947,432382,3369.06,324097
2016,4,324189,432956,3368.84,324097
2016,5,326487,432532,3762.34,324097
2016,6,444029,432215,4278.37,324097
2016,7,496073,432496,4451.75,324097
2016,8,528381,432638,4456.02,324097
2016,9,370944,432824,3981.8,324097
2016,10,301721,433339,3733.71,324097
2016,11,369561,434056,3380.37,324097
2016,12,569863,435729,3539.89,324097
