year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,235776,238944,2708.0,656163
2007,2,214574,239861,2712.0,656163
2007,3,178418,238363,2796.0,656163
2007,4,142861,239259,2660.0,656163
2007,5,186697,238887,3076.0,656163
2007,6,237847,238573,3462.0,656163
2007,7,296039,238832,4252.0,656163
2007,8,339495,237809,4749.0,656163
2007,9,248055,238404,3788.0,656163
2007,10,172489,238672,3000.0,656163
2007,11,183068.165,238762,2631.0,656163
2007,12,229504.899,237540,2689.0,656163
2008,1,256225.79,238319,2873.0,660862
2008,2,230322.101,239991,2648.0,660862
2008,3,196713.761,239727,2713.0,660862
2008,4,160100.64,239029,2608.0,660862
2008,5,144765.779,239602,2967.0,660862
2008,6,223825.653,238705,3057.9,660862
2008,7,294759.574,238707,3057.9,660862
2008,8,305042.153,238567,3710.8,660862
2008,9,178139.117,238672,2948.4,660862
2008,10,141616.967,238093,2782.3,660862
2008,11,175747.012,239291,2472.8,660862
2008,12,260221.645,238346,2715.0,660862
2009,1,268899.993,238837,2787.0,668649
2009,2,196564.51,239582,2452.0,668649
2009,3,185428.624,239210,2578.1,668649
2009,4,168976.445,239429,2592.0,668649
2009,5,143949.943,239956,2890.8,668649
2009,6,229633.782,239119,3296.8,668649
2009,7,291494.531,238928,3721.0,668649
2009,8,253883.989,238647,3407.1,668649
2009,9,169225.549,238084,2878.4,668649
2009,10,151295.027,238036,2623.0,668649
2009,11,169225.099,240310,2378.0,668649
2009,12,260861.251,238705,2575.4,668649
2010,1,263541.106,239812,2986.7,676850
2010,2,251247.652,241089,2676.8,676850
2010,3,203773.909,240469,2705.7,676850
2010,4,143900.436,240333,2695.5,676850
2010,5,146941.522,240237,2922.0,676850
2010,6,279331.958,239440,3256.0,676850
2010,7,344488.295,239960,3678.0,676850
2010,8,346161.142,238849,4379.9,676850
2010,9,205295.296,238810,3271.6,676850
2010,10,132867.235,238485,3198.0,676850
2010,11,151809.445,239420,2706.0,676850
2010,12,265708.244,238290,2861.3,676850
2011,1,271365.735,239048,3131.0,678892
2011,2,226877.524,239603,2896.0,678892
2011,3,191516.984,239389,3220.0,678892
2011,4,149157.914,240347,3180.0,678892
2011,5,163126.42,239922,3260.0,678892
2011,6,256421.005,238785,3750.0,678892
2011,7,374934.548,240360,4714.0,678892
2011,8,341022.082,238215,4220.0,678892
2011,9,180248.741,238275,3800.0,678892
2011,10,127959.471,238319,4090.0,678892
2011,11,161732.168,238819,3080.0,678892
2011,12,242196.981,238181,2970.0,678892
2012,1,224933.34,238956,2898.0,682858
2012,2,195193.463,240163,2516.0,682858
2012,3,174127.516,239259,2680.0,682858
2012,4,133087.576,239961,2990.0,682858
2012,5,181758.861,238664,3670.0,682858
2012,6,269114.93,238538,4268.0,682858
2012,7,401781.475,238802,5556.0,682858
2012,8,310073.471,238398,5260.0,682858
2012,9,187221.762,238779,3927.0,682858
2012,10,130623.455,237952,3500.0,682858
2012,11,166472.784,238284,2850.0,682858
2012,12,215988.437,237550,2760.0,682858
2013,1,254824.229,238130,2900.0,686726
2013,2,199921.266,239197,2500.0,686726
2013,3,221207.196,239808,2800.0,686726
2013,4,163606.388,240334,2750.0,686726
2013,5,162749.375,239495,3040.0,686726
2013,6,205324.467,239438,3339.0,686726
2013,7,301567.112,239206,4440.0,686726
2013,8,264836.067,238793,3960.0,686726
2013,9,244234.493,239145,3827.0,686726
2013,10,148028.991,238387,3224.0,686726
2013,11,166312.44,238773,2650.0,686726
2013,12,266126.373,238590,2790.0,686726
2014,1,277028.187,239460,3080.0,691917
2014,2,236300.454,241065,2790.0,691917
2014,3,208444.181,241278,2970.0,691917
2014,4,143211.406,240831,2810.0,691917
2014,5,167826.616,240920,3080.0,691917
2014,6,232588.479,240444,2790.0,691917
2014,7,266942.679,239271,2970.0,691917
2014,8,290325.097,240241,2810.0,691917
2014,9,174956.39,240250,3080.0,691917
2014,10,146753.158,239315,2790.0,691917
2014,11,187173.805,241023,2970.0,691917
2014,12,239959.849,240967,2810.0,691917
2015,1,240986.393,241763,2600.0,697048
2015,2,245656.559,243400,2290.0,697048
2015,3,171836.59,243925,2730.0,697048
2015,4,129505.591,242945,2630.0,697048
2015,5,145151.374,243641,2780.0,697048
2015,6,231694.277,242620,3070.0,697048
2015,7,296245.259,243255,3480.0,697048
2015,8,269637.505,243228,3729.0,697048
2015,9,210573.723,243068,3311.0,697048
2015,10,145058.697,242296,3191.0,697048
2015,11,168061.079,244761,2745.0,697048
2015,12,219606.292,244607,2649.0,697048
