year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,667800,713152,6576.7,1930414
2007,2,461843,708496,6171.94,1930414
2007,3,486172,713547,8469.82,1930414
2007,4,479131,716941,8963.99,1930414
2007,5,754607,718101,11936.79,1930414
2007,6,1140917,721485,12843.13,1930414
2007,7,1584592,722386,14037.28,1930414
2007,8,1309241,724022,13217.16,1930414
2007,9,1062737,727549,10937.39,1930414
2007,10,436119,721079,9709.66,1930414
2007,11,381934,720863,7377.67,1930414
2007,12,606634,724950,6512.65,1930414
2008,1,669276,723055,6303.22,1922069
2008,2,522062,722100,6067.8,1922069
2008,3,460816,722875,7961.58,1922069
2008,4,420665,721233,8874.29,1922069
2008,5,602599,724801,10889.41,1922069
2008,6,976032,724898,12077.97,1922069
2008,7,1529300,726448,13243.0,1922069
2008,8,1369853,729960,13012.97,1922069
2008,9,998811,726783,10483.84,1922069
2008,10,594009,726347,9491.15,1922069
2008,11,365923,724945,7192.02,1922069
2008,12,532060,725856,6171.9,1922069
2009,1,644826,727892,6249.74,1938407
2009,2,447091,726729,5547.28,1938407
2009,3,473983,726345,7673.56,1938407
2009,4,433560,725376,8322.86,1938407
2009,5,767169,724130,11059.0,1938407
2009,6,976436,724340,11214.06,1938407
2009,7,1364877,724390,12546.75,1938407
2009,8,1308609,726773,12428.24,1938407
2009,9,1008913,725614,10502.66,1938407
2009,10,520946,725611,9252.03,1938407
2009,11,362813,721993,7138.46,1938407
2009,12,584319,726174,6109.57,1938407
2010,1,601883,722207,5776.73,1956915
2010,2,463905,723753,5032.1,1956915
2010,3,453097,727145,6929.69,1956915
2010,4,410135,722746,7927.26,1956915
2010,5,514806,726402,9952.4,1956915
2010,6,960837,728748,11298.07,1956915
2010,7,1478816,728591,12797.7,1956915
2010,8,1366573,731284,12692.59,1956915
2010,9,912199,732544,10452.86,1956915
2010,10,594443,730456,8583.06,1956915
2010,11,372286,729374,6844.45,1956915
2010,12,555406,733579,5893.41,1956915
2011,1,609048,735163,5957.86,1901945
2011,2,454558,729618,5588.15,1901945
2011,3,464934,732130,7345.48,1901945
2011,4,427175,732259,8046.47,1901945
2011,5,537212,732717,9773.61,1901945
2011,6,816900,737421,11000.77,1901945
2011,7,1388509,739765,11884.22,1901945
2011,8,1313501,736926,12190.42,1901945
2011,9,1009278,739805,9980.16,1901945
2011,10,566667,737633,8647.61,1901945
2011,11,376723,740271,6811.64,1901945
2011,12,558817,739213,6051.62,1901945
2012,1,611217,745088,6090.14,1945277
2012,2,453292,741939,5810.12,1945277
2012,3,471561,743848,7350.0,1945277
2012,4,447156,743494,8098.26,1945277
2012,5,776660,745682,10730.31,1945277
2012,6,1107121,747408,11991.31,1945277
2012,7,1393802,749556,12103.69,1945277
2012,8,1369699,745661,11475.760000000002,1945277
2012,9,988672,748809,9911.350000000002,1945277
2012,10,607009,749041,8760.08,1945277
2012,11,343729,745430,7107.879999999999,1945277
2012,12,527670,750372,6230.910000000001,1945277
2013,1,688588,747156,6090.959999999999,2002999
2013,2,458247,749117,5592.699999999999,2002999
2013,3,464281,747021,7499.109999999999,2002999
2013,4,452512,751427,8376.55,2002999
2013,5,682163,753097,11065.540000000003,2002999
2013,6,1219316,756211,11746.190000000004,2002999
2013,7,1568965,756012,12391.889999999996,2002999
2013,8,1184124,758114,11710.22,2002999
2013,9,874247,758350,9401.279999999999,2002999
2013,10,450973,756942,8876.55,2002999
2013,11,361247,759262,6811.259999999999,2002999
2013,12,607744,759667,6096.83,2002999
