year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,646716,1244981,16034.80186,4000000
2007,2,662033,1245392,12907.93566,4000000
2007,3,560887,1245794,16686.50386,4000000
2007,4,552004,1246344,17105.22239,4000000
2007,5,501801,1246762,18924.44853,4000000
2007,6,569914,1247117,19869.41643,4000000
2007,7,622865,1252034,21537.12185,4000000
2007,8,739322,1251874,22118.11418,4000000
2007,9,763163,1250847,19558.22872,4000000
2007,10,724113,1250943,18871.98652,4000000
2007,11,572872.915,1251560,15831.47084,4000000
2007,12,618265.686,1251905,13935.99557,4000000
2008,1,656350.499,1252042,14008.00864,4000000
2008,2,687713.026,1251358,12536.79137,4000000
2008,3,593238.971,1251304,15944.54113,4000000
2008,4,562173.634,1251342,17286.0697,4000000
2008,5,525459.523,1251806,18660.18337,4000000
2008,6,598346.92,1252224,19670.97317,4000000
2008,7,682177.482,1258297,20551.74842,4000000
2008,8,784762.531,1258135,20634.51458,4000000
2008,9,739710.945,1257968,19403.4495,4000000
2008,10,738909.54,1257787,19674.23168,4000000
2008,11,617335.99,1257629,16818.79937,4000000
2008,12,629735.119,1257526,12954.20651,4000000
2009,1,652472.388,1257131,13659.99977,4000000
2009,2,660859.167,1257636,11384.25639,4000000
2009,3,565863.689,1257948,14038.31278,4000000
2009,4,548330.078,1257939,15374.62773,4000000
2009,5,515502.916,1257850,17193.52802,4000000
2009,6,563630.938,1257570,14842.1872,4000000
2009,7,597972.763,1251712,17892.47841,4000000
2009,8,721199.252,1250669,16987.26433,4000000
2009,9,745964.43,1249940,17006.48954,4000000
2009,10,743645.591,1249868,15337.48072,4000000
2009,11,607709.282,1249639,14446.27823,4000000
2009,12,623080.418,1249830,12901.09279,4000000
2010,1,635068.338,1249983,12534.83627,4000000
2010,2,649247.171,1250537,9873.2853,4000000
2010,3,561448.715,1251016,13503.59129,4000000
2010,4,530123.254,1251353,13161.77359,4000000
2010,5,493650.777,1251715,15574.04855,4000000
2010,6,538492.661,1252090,15943.23773,4000000
2010,7,567173.869,1257812,16821.73202,4000000
2010,8,638822.61,1258133,17214.05663,4000000
2010,9,647600.585,1258013,17155.40345,4000000
2010,10,691612.043,1258874,13997.25556,4000000
2010,11,589630.204,1259898,13150.36881,4000000
2010,12,622821.113,1260666,12354.31481,4000000
2011,1,639860.578,1261402,12523.43148,4000000
2011,2,644384.98,1261965,11778.5361,4000000
2011,3,561677.409,1262277,12060.72306,4000000
2011,4,562251.29,1262664,13412.35301,4000000
2011,5,513184.233,1263039,15337.15487,4000000
2011,6,531961.202,1263337,15130.23948,4000000
2011,7,575629.258,1267501,17155.0776,4000000
2011,8,678810.888,1267566,17805.15034,4000000
2011,9,733901.158,1267960,16506.95996,4000000
2011,10,688066.079,1269056,15131.86874,4000000
2011,11,580376.036,1270299,12377.45024,4000000
2011,12,624420.931,1271172,12602.93913,4000000
2012,1,637185.278,1271979,13503.26544,4000000
2012,2,626079.341,1272848,12766.19048,4000000
2012,3,542262.433,1273550,12926.50917,4000000
2012,4,555415.428,1274139,12881.21588,4000000
2012,5,503930.854,1274625,15180.42054,4000000
2012,6,547989.706,1274468,16269.08873,4000000
2012,7,577973.611,1272416,17775.17205,4000000
2012,8,697143.388,1274899,18787.91696,4000000
2012,9,776740.074,1275659,17390.99372,4000000
2012,10,824190.881,1276429,17043.63656,4000000
2012,11,647289.72,1277379,13730.70944,4000000
2012,12,612162.391,1277936,11259.1296,4000000
2013,1,642535.158,1332471,12615.64732,4000000
2013,2,677594.82,1333133,12206.37846,4000000
2013,3,546854.631,1333725,14056.56044,4000000
2013,4,523766.857,1334526,14837.95114,4000000
2013,5,484806.708,1335017,16446.67752,4000000
2013,6,552261.775,1335392,17116.30133,4000000
2013,7,624755.98,1339561,17926.36691,4000000
2013,8,684285.576,1337255,17941.35606,4000000
2013,9,810987.536,1311618,17575.75124,4000000
2013,10,823838.624,1309514,17717.82227,4000000
2013,11,611246.048,1308115,14109.02245,4000000
2013,12,649834.546,1307847,13804.35176,4000000
2014,1,652890.939,1308995,14808.62455,4000000
2014,2,642795.247,1309482,12422.74352,4000000
2014,3,548830.81,1309580,13425.38705,4000000
2014,4,563362.403,1309695,14955.58335,4000000
2014,5,560386.183,1308789,16941.97104,4000000
2014,6,656086.127,1309606,17868.69129,4000000
2014,7,711058.178,1308985,16552.25325,4000000
2014,8,809522.962,1310577,16094.10674,4000000
2014,9,841139.326,1312421,15810.29052,4000000
2014,10,858885.01,1314037,15715.14203,4000000
2014,11,679829.239,1312760,13401.27408,4000000
2014,12,640757.394,1313205,11105.00208,4000000
2015,1,657721.449,1312628,13189.14508,4000000
2015,2,660695.33,1313321,11293.66981,4000000
2015,3,580861.291,1314304,12996.24128,4000000
2015,4,577187.767,1314617,13333.17122,4000000
2015,5,541367.382,1313722,13228.2472,4000000
2015,6,596778.627,1314406,13717.34955,4000000
2015,7,666398.625,1314578,14139.97829,4000000
2015,8,800121.18,1316083,14764.63466,4000000
2015,9,835562.708,1316918,13908.62408,4000000
2015,10,913456.504,1316690,13991.39024,4000000
