year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,350063.0,351023,3427.937,850000
2007,2,359007.0,351384,3397.496,850001
2007,3,297584.0,352294,3579.672,850002
2007,4,242800.0,352079,3442.041,850003
2007,5,338288.0,353329,4321.245,850004
2007,6,454529.0,353401,4842.905,850005
2007,7,505737.0,353848,4594.26,850006
2007,8,609682.0,354009,5244.788,850007
2007,9,437420.0,352926,4734.106,850008
2007,10,298590.0,352578,4211.902,850009
2007,11,243955.0,352884,3526.833,850010
2007,12,348526.0,352637,3493.974,850011
2008,1,348491.0,352973,3702.764,850012
2008,2,341753.0,352676,3330.831,850013
2008,3,312784.0,354271,3547.774,850014
2008,4,247919.0,353463,3538.156,850015
2008,5,257905.0,354401,3912.956,850016
2008,6,457710.0,355828,4452.763,850017
2008,7,489582.0,355291,4564.491,850018
2008,8,482840.0,355425,4867.511,850019
2008,9,356890.0,354328,4428.883,850020
2008,10,253451.0,353381,4083.682,850021
2008,11,291689.0,354725,3467.452,850022
2008,12,365397.0,341312,3562.557,850023
2009,1,405529.0,341993,3586.896,850024
2009,2,303262.0,342511,3305.11,850025
2009,3,277172.0,342619,3462.46,850026
2009,4,268634.0,346206,3426.673,850027
2009,5,284001.0,345867,3886.041,850028
2009,6,465769.0,345096,4024.386,850029
2009,7,410977.0,341762,4228.344,850030
2009,8,450138.0,344127,4172.023,850031
2009,9,341289.0,345164,3885.907,850032
2009,10,254302.0,345715,3640.716,850033
2009,11,241890.0,345853,3390.053,850034
2009,12,392844.0,349207,3467.451,850035
2010,1,401701.0,348709,3493.093,850036
2010,2,395794.0,348695,3102.813,850037
2010,3,276744.0,350123,3396.918,850038
2010,4,245231.0,348617,3433.989,850039
2010,5,340636.0,348516,3746.933,850040
2010,6,545839.0,350207,4175.123,850041
2010,7,593574.0,349118,4540.398,850042
2010,8,543608.0,350068,4616.029,850043
2010,9,359517.0,349007,4617.522,850044
2010,10,207289.0,348439,4314.07,850045
2010,11,249370.0,348623,3393.886,850046
2010,12,432579.0,348466,3403.606,850047
2011,1,400087.0,349141,3480.387,850048
2011,2,296142.0,347916,3062.287,850049
2011,3,275350.0,348579,3353.914,850050
2011,4,239432.0,347478,3279.082,850051
2011,5,338615.0,348203,3574.708,850052
2011,6,460392.0,350689,4075.999,850053
2011,7,583523.0,347372,4561.624,850054
2011,8,512767.0,348686,4575.038,850055
2011,9,314402.0,347475,3898.728,850056
2011,10,242551.0,347368,3680.507,850057
2011,11,260445.0,345153,3290.734,850058
2011,12,336417.0,345933,3204.008,850059
2012,1,356752.0,347658,3208.315,850060
2012,2,289234.0,345206,2935.135,850061
2012,3,253206.0,346333,3192.838,850062
2012,4,256971.0,345761,3137.039,850063
2012,5,380046.0,345359,3889.559,850064
2012,6,455775.0,346432,4226.319,850065
2012,7,602880.0,346369,4746.242,850066
2012,8,481077.0,346630,4573.661,850067
2012,9,321780.0,346576,3866.648,850068
2012,10,246403.0,346572,3568.867,850069
2012,11,283899.0,347081,3184.896,850070
2012,12,331189.0,347367,3147.467,850071
2013,1,363877.0,347733,3248.251,850072
2013,2,315254.0,347916,2973.402,850073
2013,3,322263.0,347861,3249.759,850074
2013,4,237742.0,347613,3291.689,850075
2013,5,330390.0,347652,3712.811,850076
2013,6,409199.0,347611,3843.797,850077
2013,7,455467.0,347524,3923.598,850078
2013,8,470425.0,347675,4209.401,850079
2013,9,343783.0,347928,3865.581,850080
2013,10,254775.0,348333,3507.024,850081
2013,11,287698.0,349101,3202.087,850082
2013,12,373177.0,349625,3253.772,850083
2014,1,427601.0,350287,3614.575,850084
2014,2,336938.0,350581,3161.693,850085
2014,3,304096.0,350047,3353.039,850086
2014,4,227101.0,349989,3261.324,850087
2014,5,340301.0,350005,3701.232,850088
2014,6,436182.0,349897,3978.304,850089
2014,7,417480.0,350008,4282.633,850090
2014,8,456493.0,350309,4162.563,850091
2014,9,325840.0,350566,3960.803,850092
2014,10,238195.0,351278,3551.965,850093
2014,11,294018.0,351994,3232.172,850094
2014,12,353080.0,352088,3236.763,850095
2015,1,380789.0,352819,3338.292,850096
2015,2,355709.0,353006,3152.661,850097
2015,3,292651.0,352706,3463.331,850098
2015,4,224472.0,352459,3192.329,850099
2015,5,331744.0,352565,3938.654,850100
2015,6,442083.0,352668,4061.537,850101
2015,7,495467.0,353489,4077.069,850102
2015,8,420207.0,353498,4430.984,850103
2015,9,360146.0,353844,4291.362,850104
2015,10,235497.0,354310,3776.011,850105
2015,11,245113.0,354604,3200.737,850106
2015,12,296748.0,355056,3198.819,850107
2016,1,388985.0,355751,3324.007,850108
2016,2,296278.0,355884,3062.896,850109
2016,3,262749.0,355775,3147.165,850110
2016,4,237178.0,355887,3175.707,850111
2016,5,295495.0,355724,3468.005,850112
2016,6,460374.0,356001,3889.52,850113
2016,7,514989.0,356271,4020.263,850114
2016,8,517405.0,356428,4001.608,850115
2016,9,382177.0,357024,3995.913,850116
2016,10,262220.0,356987,3744.105,850117
2016,11,246645.0,357306,3220.4,850118
2016,12,350748.0,358045,3178.967,850119
2017,1,343810.0,358474,3225.899,850120
2017,2,247846.0,358562,2836.308,850121
2017,3,277611.226,359033,3131.205,850122
2017,4,236225.132,359035,3113.858,850123
2017,5,328338.137,358890,3549.532,850124
2017,6,413444.691,359447,3920.922,850125
2017,7,527361.547,359421,4247.014,850126
2017,8,431426.805,359887,4182.738,850127
2017,9,312617.159,360422,3818.738,850128
2017,10,256356.728,360240,3838.628,850129
2017,11,265144.834,361036,3447.957,850130
2017,12,363818.892,361448,3410.396,850131
2018,1,416652.346,361729,3777.957,850132
2018,2,268376.138,360899,3130.716,850133
2018,3,303949.555,360351,3303.308,850134
2018,4,246401.107,360623,3265.404,850135
2018,5,398291.735,361298,3950.354,850136
2018,6,455771.735,361672,3906.69,850137
2018,7,505651.948,362112,4242.301,850138
2018,8,498240.957,362384,4212.805,850139
2018,9,363547.38,362843,3874.267,850140
2018,10,283076.664,363140,3633.078,850141
2018,11,296968.013,363961,3128.832,850142
2018,12,333463.24,364335,3144.133,850143
