year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,73370,123243,840.359,64762
2007,2,72234,116129,830.633,64762
2007,3,63097,112397,886.554,64762
2007,4,55033,123357,849.145,64762
2007,5,55657,114656,999.091,64762
2007,6,73875,122398,1068.957,64762
2007,7,84223,122344,1286.391,65135
2007,8,90436,117515,1051.691,65135
2007,9,67513,120228,974.282,65135
2007,10,59552,116806,945.242,65135
2007,11,60847,122361,824.006,65135
2007,12,77711,116067,835.815,65135
2008,1,79319,126013,849.35,65323
2008,2,72315,120253,809.985,65323
2008,3,63086,116447,852.418,65323
2008,4,55209,117701,830.413,65323
2008,5,52793,120743,906.935,65323
2008,6,64279,121197,918.094,65649
2008,7,83747,121847,1092.732,65649
2008,8,81069,121224,1138.481,65649
2008,9,63011,122494,979.876,65649
2008,10,53710,119792,895.71,65649
2008,11,61254,112528,807.876,65649
2008,12,80619,125322,825.228,65649
2009,1,81826,129293,853.959,65765
2009,2,64434,114354,801.541,65765
2009,3,62812,114953,842.628,65765
2009,4,54057,124499,830.32,65765
2009,5,51880,117436,885.812,65765
2009,6,64288,119284,929.019,65765
2009,7,71047,125195,999.127,65969
2009,8,71825,123489,960.775,65969
2009,9,57554,120771,956.857,65969
2009,10,60975,117898,798.559,65969
2009,11,57365,116471,739.01,65969
2009,12,74662,126578,757.488,65969
2010,1,79492,127478,789.377,66116
2010,2,63771,111469,732.429,66116
2010,3,59801,118913,817.12,66116
2010,4,49646,128415,812.473,66116
2010,5,58925,115708,904.801,66116
2010,6,72586,121178,890.116,66116
2010,7,95602,125014,997.861,66252
2010,8,93933,120623,1000.284,66252
2010,9,61315,125068,880.059,66252
2010,10,53777,118692,869.679,66252
2010,11,57117,117187,763.934,66252
2010,12,80056,126246,797.234,66252
2011,1,79503,126595,817.326,66527
2011,2,65730,115917,760.22,66527
2011,3,61628,118586,821.803,66527
2011,4,56114,123527,797.53,66527
2011,5,54837,119069,877.795,66527
2011,6,69686,123920,917.882,66527
2011,7,102011,125756,1085.222,66422
2011,8,90666,120328,1019.338,66422
2011,9,58749,127592,884.517,66422
2011,10,51674,119761,858.042,66422
2011,11,59495,118767,770.561,66422
2011,12,71450,123746,788.512,66422
2012,1,73940,129166,770.297,66434
2012,2,63699,117763,755.375,66434
2012,3,58524,118636,804.875,66434
2012,4,50293,127038,755.715,66434
2012,5,56966,117797,908.656,66434
2012,6,78600,126817,1095.276,66434
2012,7,119108,124774,1249.587,66614
2012,8,80542,122470,1006.103,66614
2012,9,64567,123979,957.718,66614
2012,10,49393,119918,855.225,66614
2012,11,61295,126046,749.364,66614
2012,12,69839,119270,748.044,66614
2013,1,76828,129489,781.238,66696
2013,2,67409,121743,739.008,66696
2013,3,65546,113395,796.031,66696
2013,4,57415,122822,772.141,66696
2013,5,54160,125076,863.906,66696
2013,6,65474,126871,848.298,66696
2013,7,88200,123529,963.428,66880
2013,8,76488,124045,1031.943,66880
2013,9,73359,128759,928.211,66880
2013,10,53994,120717,823.746,66880
2013,11,61195,119553,741.036,66880
2013,12,78949,128130,768.559,66880
2014,1,83793,131194,796.408,66973
2014,2,71926,123225,767.516,66973
2014,3,65977,117252,844.577,66973
2014,4,52255,123544,801.55,66973
2014,5,54859,123733,857.622,66973
2014,6,70289,125933,883.769,66973
2014,7,76498,126899,947.899,67134
2014,8,78099,125816,964.139,67146
2014,9,63080,127799,861.591,67166
2014,10,53537,125112,832.314,67159
2014,11,62405,117507,763.137,67147
2014,12,74549,130819,771.225,67192
2015,1,76269,135467,786.818,67215
2015,2,67338,119900,746.213,67246
2015,3,63205,120850,829.072,67276
2015,4,49880,132163,813.771,67364
2015,5,52555,123430,845.451,67397
2015,6,64535,125719,866.829,67429
2015,7,80451,132645,917.255,67459
2015,8,84809,130613,945.837,67486
2015,9,69161,128673,882.241,67514
2015,10,52822,125064,820.757,67542
2015,11,57526,123587,753.653,67531
2015,12,68189,134700,760.762,67630
2016,1,77780,135698,780.955,67653
2016,2,63983,121236,752.249,67658
2016,3,59326,127742,788.242,67700
2016,4,54078,133314,800.943,67760
2016,5,54123,126646,838.334,67819
2016,6,72732,131759,883.008,67876
2016,7,95457,134029,938.61,67913
2016,8,93937,127422,916.571,67966
2016,9,70134,136728,843.952,67996
2016,10,53615,127947,815.248,68021
2016,11,57011,127017,739.935,68032
2016,12,76710,132237,750.09,66069
