year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,4282514,3953507,4735.158909,2187255
2007,2,3724867,3963302,4318.837996,2187255
2007,3,3643189,3973583,4775.803461,2187255
2007,4,3700870,3977937,4413.065692,2187255
2007,5,4202816,3976725,4378.273224,2187255
2007,6,4811755,3979397,4131.799904,2187255
2007,7,5631485,3984119,4315.866234,2187255
2007,8,5739090,3989813,4439.080034,2187255
2007,9,6001639,3988256,4240.612091,2187255
2007,10,5087221,3988572,4320.758211,2187255
2007,11,4283016,3988767,4225.799004,2187255
2007,12,4011687,3990206,4379.507648,2187255
2008,1,4232562,3993097,4320.094979,2195854.5
2008,2,3602900,3999381,3934.322607,2195854.5
2008,3,3597294,4000769,4252.604168,2195854.5
2008,4,3778007,3999453,4109.516364,2195854.5
2008,5,4283254,3996910,4430.712509,2195854.5
2008,6,5280983,3994611,4190.669282,2195854.5
2008,7,5300029,3989608,4320.778084,2195854.5
2008,8,5329594,3986948,4273.14287,2195854.5
2008,9,5630168,3982793,4253.560516,2195854.5
2008,10,4803161,3981187,4356.254023,2195854.5
2008,11,3671541,3978896,4303.74599,2195854.5
2008,12,3702027,3978502,4408.124491,2195854.5
2009,1,3930364,3979475,4460.331777,2194410.75
2009,2,3841781,3984509,4018.436384,2194410.75
2009,3,3353163,3985549,4485.668875,2194410.75
2009,4,3694221,3985821,4374.386154,2194410.75
2009,5,4231495,3982715,4496.833603,2194410.75
2009,6,4855787,3982344,4142.569936,2194410.75
2009,7,5574058,3982520,4344.309742,2194410.75
2009,8,5524046,3982698,4400.042244,2194410.75
2009,9,5488608,3979908,4171.051386,2194410.75
2009,10,5138651,3978972,4430.209795,2194410.75
2009,11,4355296,3982391,4323.347395,2194410.75
2009,12,3943931,3982359,4326.81074,2194410.75
2010,1,5214678,3986002,4349.124863,2206926.75
2010,2,3985988,3994633,3928.313434,2206926.75
2010,3,3849297,3999949,4329.323572,2206926.75
2010,4,3334359,4003235,4191.122338,2206926.75
2010,5,4298308,4004331,4422.756668,2206926.75
2010,6,5501487,4003975,4281.927345,2206926.75
2010,7,5922255,3993991,4471.602875,2206926.75
2010,8,5850882,3996062,4469.56384,2206926.75
2010,9,5646215,3998199,4300.59584,2206926.75
2010,10,4656524,4000327,4422.847292,2206926.75
2010,11,3910019,4002252,4261.31044,2206926.75
2010,12,4163656,4004367,4429.009708,2206926.75
2011,1,4535157,4006608,4310.466225,2215584
2011,2,3488609,4008659,3935.305545,2215584
2011,3,3412863,4010809,4389.72298,2215584
2011,4,4182618,4012923,4293.992013,2215584
2011,5,4641773,4014864,4394.823216,2215584
2011,6,5379684,4016736,4283.836677,2215584
2011,7,5462625,4018599,4264.78978,2215584
2011,8,5792966,4020202,4294.127417,2215584
2011,9,5823652,4021638,4149.741107,2215584
2011,10,4694930,4023216,4264.293297,2215584
2011,11,3596927,4024884,4172.353655,2215584
2011,12,3630694,4026760,4251.475006,2215584
2012,1,3755080,4028659,4353.117541,2230011
2012,2,3467021,4030484,4025.720053,2230011
2012,3,3951415,4032414,4310.875597,2230011
2012,4,3981635,4370219,4219.934341,2230011
2012,5,4658501,4707951,4173.163271,2230011
2012,6,5113166,4038112,4015.271674,2230011
2012,7,5722580,4040110,4217.467986,2230011
2012,8,5780285,4042260,4206.974764,2230011
2012,9,5161692,4044671,3982.850309,2230011
2012,10,4745288,4047150,4193.387387,2230011
2012,11,3387017,4049705,4153.342741,2230011
2012,12,3641510,4052174,4155.315826,2230011
2013,1,3735286,4054724,4300.424463,2250312.75
2013,2,3375165,4057167,3983.712931,2250312.75
2013,3,3676647,4059463,4391.211844,2250312.75
2013,4,4183559,4061822,4223.590699,2250312.75
2013,5,4510098,4064361,4337.086034,2250312.75
2013,6,5169412,4067152,4276.91662,2250312.75
2013,7,5453464,4070380,4126.09314,2250312.75
2013,8,5869243,4074204,4240.343926,2250312.75
2013,9,5206759,4079123,3990.689739,2250312.75
2013,10,4940257,4084900,4101.652093,2250312.75
2013,11,4032321,4090940,4004.51004,2250312.75
2013,12,3915135,4097172,4057.747084,2250312.75
2014,1,4010532,4103456,4124.02112,2269653.75
2014,2,3709142,4109958,3869.224546,2269653.75
2014,3,3816481,4116529,4177.553514,2269653.75
2014,4,4208748,4123120,4087.98038,2269653.75
2014,5,4969082,4129772,4201.521928,2269653.75
2014,6,5063979,4136528,3863.45274,2269653.75
2014,7,5676323,4143005,3890.813742,2269653.75
2014,8,6104504,4149007,3983.11857,2269653.75
2014,9,5338817,4154382,3820.847123,2269653.75
2014,10,4822095,4159234,4028.191525,2269653.75
2014,11,3676543,4164095,3962.498685,2269653.75
2014,12,3811327,4169028,4107.498776,2269653.75
2015,1,3861826,4173910,4098.84259,2293525.5
2015,2,3413480,4178779,3694.007326,2293525.5
2015,3,4371133,4183671,4253.887737,2293525.5
2015,4,4772068,4188531,4186.127427,2293525.5
2015,5,5207149,4193338,4181.771687,2293525.5
2015,6,5670543,4198228,4066.839457,2293525.5
2015,7,6055308,4203132,4197.64245,2293525.5
2015,8,5991347,4208125,4108.609213,2293525.5
2015,9,5664552,4212991,3949.552774,2293525.5
2015,10,5029788,4217718,4159.923227,2293525.5
2015,11,4665529,4222535,4016.580587,2293525.5
