year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,826226.0,1068161,1637.4299999999996,392462
2007,2,715660.0,1069372,1477.4100000000003,392462
2007,3,649715.0,1070971,1606.8200000000002,392462
2007,4,606678.0,1071757,1682.4900000000002,392462
2007,5,608898.0,1071665,1920.0000000000002,392462
2007,6,813851.0,1069628,2459.4399999999996,392462
2007,7,1018452.0,1069807,2777.4500000000003,392462
2007,8,953036.0,1070912,2205.2500000000005,392462
2007,9,748100.0,1071116,1804.1100000000001,392462
2007,10,670151.0,1073456,1630.2600000000002,392462
2007,11,679759.0,1074085,1518.5600000000002,392462
2007,12,834558.0,1074894,1563.9900000000002,392462
2008,1,803601.0,1075993,1567.2099999999998,390131
2008,2,734923.0,1076809,1511.1699999999994,390131
2008,3,709960.0,1077504,1543.7599999999995,390131
2008,4,615942.0,1077942,1562.5499999999997,390131
2008,5,589229.0,1077108,1754.2890000000007,390131
2008,6,660385.0,1075872,1921.35,390131
2008,7,966980.0,1076117,2542.96,390131
2008,8,833285.0,1078068,2532.8900000000003,390131
2008,9,635402.0,1079127,1797.5600000000002,390131
2008,10,619914.0,1080473,1589.5,390131
2008,11,699136.0,1081092,1526.0499999999997,390131
2008,12,827886.0,1082161,1567.2500000000002,390131
2009,1,838609.0,1082424,1563.0100000000004,386691
2009,2,693231.0,1083035,1421.8999999999999,386691
2009,3,694972.0,1083987,1555.7100000000003,386691
2009,4,582952.0,1084023,1548.49,386691
2009,5,584817.0,1082711,2024.35,386691
2009,6,682680.0,1082478,2188.0299999999997,386691
2009,7,740023.0,1081443,2361.02,386691
2009,8,796512.0,1081847,1982.8299999999997,386691
2009,9,694263.0,1081629,1999.84,386691
2009,10,666254.0,1082949,1575.2300000000002,386691
2009,11,660119.0,1083415,1382.75,386691
2009,12,820478.0,1084245,1482.2,386691
2010,1,848562.0,1084993,1511.17,382578
2010,2,686565.0,1086065,1437.4,382578
2010,3,661996.0,1087923,1478.27,382578
2010,4,547789.0,1087668,1526.96,382578
2010,5,622566.0,1087528,1783.1800000000005,382578
2010,6,777196.0,1087287,1804.6899999999998,382578
2010,7,1025881.0,1086943,1960.1299999999994,382578
2010,8,1052830.0,1087811,2071.38,382578
2010,9,619307.0,1088055,1688.0600000000002,382578
2010,10,616933.0,1089325,1677.66,382578
2010,11,666289.0,1090769,1448.5599999999997,382578
2010,12,821862.0,1091363,1542.8200000000004,382578
2011,1,837107.0,1092192,1561.2799999999995,387873
2011,2,708913.0,1092808,1401.9399999999998,387873
2011,3,690945.0,1093480,1556.2199999999998,387873
2011,4,578761.0,1093678,1453.87,387873
2011,5,602996.0,1093296,1575.2100000000003,387873
2011,6,774811.0,1092529,1758.68,387873
2011,7,1147673.0,1092494,2084.05,387873
2011,8,940863.0,1093970,1985.1900000000005,387873
2011,9,658022.0,1093418,1936.51,387873
2011,10,615495.0,1094526,1757.2200000000005,387873
2011,11,659362.0,1095070,1481.4000000000003,387873
2011,12,754084.0,1095812,1532.5,387873
2012,1,770959.0,1096282,1518.4999999999995,392008
2012,2,675473.706,1097054,1391.8,392008
2012,3,637559.501,1098104,1486.8000000000002,392008
2012,4,565174.826,1097989,1494.1000000000001,392008
2012,5,615719.38,1098036,1628.6000000000001,392008
2012,6,833982.436,1097402,1918.7299999999996,392008
2012,7,1174258.095,1097680,2297.6000000000004,392008
2012,8,832893.666,1098207,2114.4999999999995,392008
2012,9,651639.77,1098026,2112.0,392008
2012,10,652396.214,1099944,1689.1,392008
2012,11,716835.724,1100441,1434.5000000000002,392008
2012,12,779915.871,1100921,1490.8999999999996,392008
2013,1,807846.382,1101909,1547.8,400938
2013,2,696649.726,1102636,1363.8,400938
2013,3,701597.789,1103310,1489.8,400938
2013,4,615887.6,1104264,1496.6999999999998,400938
2013,5,600038.08,1104148,1547.1999999999998,400938
2013,6,759238.269,1103631,1650.2,400938
2013,7,994884.95,1104667,2084.6,400938
2013,8,932831.667,1105759,2216.2000000000003,400938
2013,9,703207.979,1106059,1915.3,400938
2013,10,624892.032,1107409,1561.1,400938
2013,11,668319.406,1108402,1423.8999999999999,400938
2013,12,828179.231,1109645,1481.4000000000003,400938
2014,1,858908.504,1110643,1549.612,411273
2014,2,753104.637,1111196,1392.457,411273
2014,3,719811.634,1112101,1629.3500000000004,411273
2014,4,587057.474,1112500,1523.493,411273
2014,5,624412.653,1113027,1639.7629999999997,411273
2014,6,767540.357,1112825,1703.4810000000004,411273
2014,7,841466.767,1113401,1903.273,411273
2014,8,899611.909,1113945,2074.4929999999995,411273
2014,9,651738.499,1113636,1714.612,411273
2014,10,615437.061,1115433,1600.809,411273
2014,11,691455.597,1116464,1442.592,411273
2014,12,774032.772,1117871,1492.562,411273
2015,1,806056.245,1118891,1505.4939999999997,412517
2015,2,714407.943,1119993,1358.684,412517
2015,3,662016.067,1120837,1518.699,412517
2015,4,550474.661,1121853,1504.462,412517
2015,5,579226.962,1121623,1606.691,412517
2015,6,729668.474,1121729,1712.2279999999996,412517
2015,7,893138.683,1121196,1879.601,412517
2015,8,829525.576,1121931,1886.9750000000004,412517
2015,9,736301.446,1122522,1702.4979999999998,412517
2015,10,629880.834,1124279,1602.0270000000005,412517
2015,11,632803.737,1125245,1400.0019999999995,412517
2015,12,741854.434,1125968,1502.0920000000003,412517
2016,1,801614.51,1126784,1589.628,419952
2016,2,662085.686,1128263,1465.429,419952
2016,3,639108.466,1129124,1442.3999999999999,419952
2016,4,538646.562,1129683,1456.1629999999998,419952
2016,5,604295.871,1130380,1687.0079999999998,419952
2016,6,799727.347,1130539,1843.6720000000003,419952
2016,7,956242.969,1130370,2052.384,419952
2016,8,954075.257,1131893,1941.549,419952
2016,9,671468.027,1132176,1720.6889999999999,419952
2016,10,600378.875,1133567,1606.9790000000003,419952
2016,11,608253.0,1134574,1502.7700000000004,419952
2016,12,785149.0,1135931,1541.2700000000002,419952
