year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,989154,2438539,38852.299999999996,7909000
2007,2,962541,2434253,33636.4,7909000
2007,3,925002,2424696,41022.299999999996,7909000
2007,4,828301,2418458,44235.0,7909000
2007,5,806466,2414839,39283.200000000004,7909000
2007,6,1036982,2409958,40758.0,7909000
2007,7,1264029,2397097,43387.6,7909000
2007,8,1379470,2390259,43706.9,7909000
2007,9,1226202,2387380,37314.0,7909000
2007,10,1034042,2381374,40340.299999999996,7909000
2007,11,895609,2377211,37269.0,7909000
2007,12,964209,2365081,41378.799999999996,7909000
2008,1,969622,2357324,39174.700000000004,7946000
2008,2,928928,2346415,39089.100000000006,7946000
2008,3,864498,2339988,41567.9,7946000
2008,4,782788,2331567,38199.0,7946000
2008,5,753847,2317934,40076.799999999996,7946000
2008,6,991652,2304572,39447.0,7946000
2008,7,1335724,2295850,39711.0,7946000
2008,8,1325809,2295527,38998.0,7946000
2008,9,1156498,2296330,40671.0,7946000
2008,10,872722,2293470,38542.299999999996,7946000
2008,11,798357,2287111,38088.0,7946000
2008,12,939261,2285717,42535.1,7946000
2009,1,979880,2283696,39317.299999999996,7991000
2009,2,910515,2281687,33042.799999999996,7991000
2009,3,829996,2282842,35997.200000000004,7991000
2009,4,765600,2283434,38325.0,7991000
2009,5,764080,2273383,39525.0,7991000
2009,6,835709,2272733,43587.0,7991000
2009,7,1008891,2277054,40833.200000000004,7991000
2009,8,1220275,2276758,40572.799999999996,7991000
2009,9,1126574,2278166,36675.0,7991000
2009,10,823828,2283857,40231.799999999996,7991000
2009,11,797589,2282097,35226.0,7991000
2009,12,889190,2286965,42178.6,7991000
2010,1,955380,2281090,37274.4,8194000
2010,2,899528,2284384,37091.6,8194000
2010,3,816069,2285762,47758.6,8194000
2010,4,726045,2292334,38919.0,8194000
2010,5,747500,2285817,37767.299999999996,8194000
2010,6,1018720,2288407,36975.0,8194000
2010,7,1441599,2289277,38821.299999999996,8194000
2010,8,1453782,2288865,38564.0,8194000
2010,9,878426,2291020,37263.0,8194000
2010,10,887408,2293171,38393.5,8194000
2010,11,797839,2289871,34911.0,8194000
2010,12,895854,2289434,36477.700000000004,8194000
2011,1,954311,2284836,37138.0,8293000
2011,2,889557,2285257,36150.799999999996,8293000
2011,3,820248,2289227,41800.4,8293000
2011,4,748555,2283698,39312.0,8293000
2011,5,732574,2279530,40188.4,8293000
2011,6,980842,2274930,37470.0,8293000
2011,7,1294092,2261900,39711.0,8293000
2011,8,1395616,2260549,48477.799999999996,8293000
2011,9,1118411,2254936,45360.0,8293000
2011,10,875429,2245254,42730.4,8293000
2011,11,770941,2226892,38112.0,8293000
2011,12,823569,2215781,39773.0,8293000
2012,1,867046,2204100,38424.5,8384000
2012,2,798358,2198306,33654.5,8384000
2012,3,745178,2190811,34462.700000000004,8384000
2012,4,676703,2183428,34905.0,8384000
2012,5,690512,2174768,39695.5,8384000
2012,6,880701,2164624,39507.0,8384000
2012,7,1273881,2148896,39673.799999999996,8384000
2012,8,1312317,2142866,39807.1,8384000
2012,9,1148336,2140690,37416.0,8384000
2012,10,805979,2137135,38576.4,8384000
2012,11,735252,2128268,36006.0,8384000
2012,12,783457,2122877,39791.6,8384000
2013,1,824210,2121394,36917.9,8459000
2013,2,809088,2116363,35280.0,8459000
2013,3,749135,2114990,37851.0,8459000
2013,4,672072,2114347,33642.0,8459000
2013,5,649394,2113860,37692.9,8459000
2013,6,860669,2105328,43629.0,8459000
2013,7,1289282,2108529,40498.4,8459000
2013,8,1146192,2110847,37767.299999999996,8459000
2013,9,1024708,2111709,34827.0,8459000
2013,10,746715,2115293,34034.9,8459000
2013,11,692917,2111859,34071.0,8459000
2013,12,809028,2113556,37909.9,8459000
2014,1,840397,2118117,36874.5,8521000
2014,2,822370,2118825,36360.799999999996,8521000
2014,3,752973,2114920,37398.4,8521000
2014,4,661980,2116832,38937.0,8521000
