year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,773263,595395,2383.6,930494
2007,2,630926,596668,2180.3,930494
2007,3,463318,597535,2505.4,930494
2007,4,443523,596705,2422.05,930494
2007,5,488284,597228,2661,930494
2007,6,729773,597773,2825.7,930494
2007,7,872209,597908,3126.7,930494
2007,8,1047423,599192,4188.05,930494
2007,9,697551,600002,3263.99,930494
2007,10,549191,599861,2999.57,930494
2007,11,536273,600395,2612.2,930494
2007,12,710858,599992,2442.5,930494
2008,1,750461,600776,2409.4,944655
2008,2,645219,602004,2235.1,944655
2008,3,562985,602371,2383.1,944655
2008,4,454866,602342,2540.9,944655
2008,5,560038,602865,3106.2,944655
2008,6,838741,603204,3379.47,944655
2008,7,1019289,603822,4385.93,944655
2008,8,970243,604715,3820.41,944655
2008,9,602849,605102,3097.6,944655
2008,10,484032,604959,2953.26,944655
2008,11,482781,605458,2482.66,944655
2008,12,861717,606022,2414.3,944655
2009,1,799446,606296,2380.8,961675
2009,2,452142,606757,2133,961675
2009,3,563238,607381,2489.7,961675
2009,4,495653,607890,2492.01,961675
2009,5,520436,608323,2758.13,961675
2009,6,890894,608518,3957.9,961675
2009,7,998709,609477,4576.67,961675
2009,8,957470,610592,3523.04,961675
2009,9,584163,610680,2983.91,961675
2009,10,463812,610772,2632.22,961675
2009,11,466106,610844,2397.95,961675
2009,12,840367,611277,2321.99,961675
2010,1,893707,612034,2472.28,990016
2010,2,644182,612795,1991.14,990016
2010,3,598617,612904,2238.63,990016
2010,4,447678,613090,2496.04,990016
2010,5,533885,613382,2889.98,990016
2010,6,922897,613381,3407.1,990016
2010,7,1027602,614340,3597.3,990016
2010,8,1211491,615148,4899.65,990016
2010,9,726767,615837,3273.82,990016
2010,10,492940,615723,3043.81,990016
2010,11,496539,615573,2484.84,990016
2010,12,762758,615962,2300.26,990016
2011,1,814368,616476,2377.54,1006714
2011,2,728557,616744,2352.2,1006714
2011,3,476652,617540,2600.1,1006714
2011,4,496606,617553,3235.4,1006714
2011,5,595166,618204,3203.09,1006714
2011,6,1041729,618624,4478.9,1006714
2011,7,1282750,619611,5553.18,1006714
2011,8,1229879,620298,5051.1,1006714
2011,9,662741,621250,4013.09,1006714
2011,10,487442,621478,3286.3,1006714
2011,11,523767,620642,2676.6,1006714
2011,12,787111,621388,2493.46,1006714
2012,1,685442,622056,2375.77,1025501
2012,2,580558,622972,2191.8,1025501
2012,3,497349,623804,2441.3,1025501
2012,4,462838,624269,2573.5,1025501
2012,5,696452,624766,3264.7,1025501
2012,6,845385,625333,3631.11,1025501
2012,7,1199809,626173,5296.45,1025501
2012,8,1042035,626828,4940.55,1025501
2012,9,701365,627450,3695.6,1025501
2012,10,515550,627420,3016.16,1025501
2012,11,515177,628185,2742,1025501
2012,12,680516,628703,2610.6,1025501
2013,1,800148,629349,2353.44,1045981
2013,2,592440,630417,2003.25,1045981
2013,3,615671,630986,2333.46,1045981
2013,4,527492,631568,2232.24,1045981
2013,5,571573,632285,3264.7,1045981
2013,6,799075,631006,3012.75,1045981
2013,7,960796,631626,3573.4,1045981
2013,8,1007492,632595,3432.52,1045981
2013,9,771340,633696,3394.67,1045981
2013,10,540263,634074,2703.62,1045981
2013,11,556071,635086,2349.34,1045981
2013,12,926072,635654,2404.7,1045981
2014,1,850154,636320,2439.6,1061825
2014,2,729165,637092,2247.1,1061825
2014,3,672610,637850,2486.31,1061825
2014,4,458181,638264,2716.47,1061825
2014,5,608985,638401,3313.21,1061825
2014,6,815843,638458,2958.34,1061825
2014,7,889401,638999,3440.28,1061825
2014,8,1008202,639747,3694.15,1061825
2014,9,715483,640355,3229.84,1061825
2014,10,548145,640632,2967.6,1061825
2014,11,605013,641636,2358.27,1061825
2014,12,751421.531,642200,2250.95,1061825
2015,1,852399.078,642857,2354.14,1081239
2015,2,651076.284,644056,2034.34,1081239
2015,3,619127.754,644352,2261.73,1081239
2015,4,439478.516,644543,2337.36,1081239
2015,5,515015.525,644948,2363.74,1081239
2015,6,875673.006,645639,3119.38,1081239
2015,7,1025141.266,646550,2185.96,1081239
2015,8,969202.79,647212,3578.75,1081239
2015,9,832578.966,647542,3360.02,1081239
2015,10,482013.742,648034,2993.52,1081239
2015,11,479698.573,649077,2319.84,1081239
2015,12,690562.338,650306,2191.56,1081239
2016,1,837260.916,651367,2227.17,1097154
2016,2,554920.309,652066,2132.56,1097154
2016,3,494315.417,652698,2473.55,1097154
2016,4,467279.591,653087,2508.65,1097154
2016,5,537015.185,653710,2851.41,1097154
2016,6,920971.701,654164,3519.31,1097154
2016,7,1150444.362,655055,3888.96,1097154
2016,8,1017098.503,656123,3809.13,1097154
2016,9,750146.816,656186,3059.34,1097154
2016,10,574249.106,655950,3044.55,1097154
2016,11,468618.514,655939,2505.05,1097154
2016,12,796552.71,657144,2440.01,1097154
2017,1,805437.284,657680,2254.43,1108734
2017,2,501271.208,658286,2016.1,1108734
2017,3,534362.528,659069,2504.1,1108734
2017,4,440362.953,659212,2424.2,1108734
2017,5,528879.2,660009,2916.36,1108734
2017,6,856665.531,660628,3802.49,1108734
2017,7,1067625.718,661384,4154.61,1108734
2017,8,917797.269,662067,3315.68,1108734
2017,9,714966.102,662673,3316.32,1108734
2017,10,571269.701,662680,2901.2,1108734
2017,11,499272.143,662192,2589.1,1108734
2017,12,707112.959,663754,2344.3,1108734
2018,1,960255.671,664347,2499.3,1108734
2018,2,666737.342,664458,2086.3,1108734
2018,3,537129.338,664889,2459,1108734
2018,4,505840.599,664832,2568,1108734
2018,5,708423.344,665391,3113.2,1108734
2018,6,933031.853,666126,3336.1,1108734
2018,7,1086144.671,666748,3811.1,1108734
2018,8,953683.248,667279,3392.6,1108734
2018,9,692027.268,667479,2917.4,1108734
2018,10,586122.729,667765,2585.95,1108734
