year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,312343,292422,2127.0,600000
2007,2,285130,292795,1934.0,600000
2007,3,283461,292740,2108.0,600000
2007,4,173813,292964,2153.0,600000
2007,5,239784,293189,2798.0,600000
2007,6,308946,293314,4268.0,600000
2007,7,455597,293773,5491.0,600000
2007,8,449959,293833,3650.0,600000
2007,9,294985,294147,3453.0,600000
2007,10,214443,294148,2571.0,600000
2007,11,214341,294969,2206.0,600000
2007,12,352991,295406,2127.0,600000
2008,1,352205,295868,2205.0,600000
2008,2,300414,296144,2030.0,600000
2008,3,264882,296286,2125.0,600000
2008,4,215869,296127,2122.0,600000
2008,5,198665,296013,2709.0,600000
2008,6,278407,296188,2682.0,600000
2008,7,433899,296282,3627.0,600000
2008,8,403094,296876,4678.0,600000
2008,9,246745,296732,3059.0,600000
2008,10,220667,297062,2441.0,600000
2008,11,216101,297879,2067.0,600000
2008,12,355277,298314,2152.0,600000
2009,1,365088,298546,2209.0,600000
2009,2,252655,298843,1889.0,600000
2009,3,270966,298807,2079.0,600000
2009,4,208764,298784,2148.0,600000
2009,5,210010,299175,3135.0,600000
2009,6,289186,299204,3159.0,600000
2009,7,400430,299145,3873.0,600000
2009,8,325517,299737,3532.0,600000
2009,9,253150,300192,2985.0,600000
2009,10,215589,301201,2176.0,600000
2009,11,234186,301789,1912.0,600000
2009,12,326399,302334,2021.0,600000
2010,1,395169,302675,2111.0,600000
2010,2,261972,303025,1944.0,600000
2010,3,313796,302819,2160.0,600000
2010,4,175382,302518,2263.0,600000
2010,5,211131,303166,2784.0,600000
2010,6,345036,302718,2902.0,600000
2010,7,442388,303520,3558.0,600000
2010,8,484233,303569,4343.0,600000
2010,9,277142,303689,3016.0,600000
2010,10,180852,304043,3010.0,600000
2010,11,211011,304230,2029.0,600000
2010,12,350068,304514,1974.0,600000
2011,1,362873,304776,2068.0,600000
2011,2,297957,304704,1846.0,600000
2011,3,297452,306107,1951.0,600000
2011,4,158951,305931,1999.0,600000
2011,5,244746,307624,2751.0,600000
2011,6,321157,308181,3325.0,600000
2011,7,461906,307783,4271.0,600000
2011,8,445150,309722,3576.0,600000
2011,9,250107,310984,3166.0,600000
2011,10,203313,311205,2731.0,600000
2011,11,209166,311831,2029.0,600000
2011,12,336830,312101,1974.0,600000
2012,1,298807,306286,1984.0,600000
2012,2,278336,307298,1868.0,600000
2012,3,260250,307193,2087.0,600000
2012,4,177215,307504,2401.0,600000
2012,5,232085,307606,3211.0,600000
2012,6,384863,307728,4156.0,600000
2012,7,546828,308138,6025.0,600000
2012,8,433540,311453,5145.0,600000
2012,9,261354,308616,4115.0,600000
2012,10,187590,309727,2808.0,600000
2012,11,233938,310349,2027.0,600000
2012,12,294177,310291,2032.0,600000
2013,1,354034,310974,2100.0,600000
2013,2,278292,311018,1855.0,600000
2013,3,296993,310559,2078.0,600000
2013,4,234390,311460,2009.0,600000
2013,5,240501,312423,2456.0,600000
2013,6,266962,311118,2785.0,600000
2013,7,433949,312325,4949.0,600000
2013,8,387869,311551,4713.0,600000
2013,9,325606,312709,3698.0,600000
2013,10,237894,312780,2559.0,600000
2013,11,214669,312613,2004.0,600000
2013,12,358438,313516,2107.0,600000
2014,1,377309,314256,2194.0,600000
2014,2,294946,314901,1896.0,600000
2014,3,298559,314645,2141.0,600000
2014,4,211312,314994,2367.0,600000
2014,5,227127,314414,2944.0,600000
2014,6,318168,315694,3147.0,600000
2014,7,394164,315908,2037.0,600000
2014,8,367716,315333,3825.0,600000
2014,9,277298,316515,2696.0,600000
2014,10,208971,317364,2471.0,600000
2014,11,227749,316797,1996.0,600000
2014,12,358219,317644,1931.0,600000
2015,1,347884,317495,2035.0,600000
2015,2,275835,317760,1864.0,600000
2015,3,270304,318561,2110.0,600000
2015,4,196861,318904,2182.0,600000
2015,5,203160,318267,2391.0,600000
2015,6,298613,319492,2931.0,600000
2015,7,450132,320498,3767.0,600000
2015,8,359327,320178,3350.0,600000
2015,9,299473,320360,3078.0,600000
2015,10,237500,319997,2765.0,600000
2015,11,190960,320926,2006.0,600000
2015,12,322435,321573,1985.0,600000
2016,1,351080,321405,2015.0,600000
2016,2,278986,322334,1917.0,600000
2016,3,242428,322719,1927.0,600000
2016,4,197552,322241,2242.0,600000
2016,5,216981,323481,2425.0,600000
2016,6,388429,324073,4098.0,600000
2016,7,475634,323362,3976.0,600000
2016,8,393960,324618,3653.0,600000
2016,9,311737,325283,2966.0,600000
2016,10,216971,325045,2513.0,600000
2016,11,185028,325401,2123.0,600000
2016,12,346547,325450,2028.0,600000
2017,1,366353,326366,2055.0,535000
2017,2,242704,326714,1828.0,535000
2017,3,253098,327693,2017.0,535000
2017,4,215202,326485,2060.0,535000
2017,5,223687,327785,2502.0,535000
2017,6,349866,329310,4034.0,535000
2017,7,482423,329263,4639.0,535000
2017,8,364212,329370,3938.0,535000
2017,9,293893,328807,3647.0,535000
2017,10,236050,330094,2414.0,535000
2017,11,212412,330486,2079.0,535000
2017,12,323285,330539,2047.0,535000
2018,1,381517,331614,2150.0,535000
2018,2,308610,332196,1812.0,535000
2018,3,288468,331599,1972.0,535000
2018,4,236085,332885,2057.0,535000
2018,5,259013,333353,3116.0,535000
2018,6,408870,332607,3569.0,535000
2018,7,460329,333799,3908.0,535000
2018,8,378936,334887,3664.0,535000
2018,9,315069,333643,2934.0,535000
2018,10,215348,334824,2137.0,535000
2018,11,249724,335694,1897.0,535000
2018,12,341806,335707,1979.0,535000
