year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,1304777.0,1378957,2540.795,414500
2007,2,1482149.0,1453907,2291.3450000000003,414500
2007,3,1368113.0,1441633,2786.049,414500
2007,4,1321163.0,1446571,2808.559,414500
2007,5,1471813.0,1457136,3072.79,414500
2007,6,1709203.0,1439464,2779.9300000000003,414500
2007,7,2005177.0,1367356,2699.1800000000003,414500
2007,8,2382297.0,1544281,2964.69,414500
2007,9,2102360.0,1377525,2610.1400000000003,414500
2007,10,1913594.0,1443420,2616.64,414500
2007,11,1543393.0,1514795,2558.05,414500
2007,12,1307845.0,1449195,2572.22,414500
2008,1,1456377.0,1442333,2420.2300000000005,413113
2008,2,1301126.0,1466010,2303.4800000000005,413113
2008,3,1247505.0,1406139,2547.8,413113
2008,4,1354417.0,1477927,2610.52,413113
2008,5,1452025.0,1446369,3049.4700000000003,413113
2008,6,1948538.0,1481381,2669.76,413113
2008,7,1830180.0,1354056,2547.36,413113
2008,8,2027718.0,1456247,2538.58,413113
2008,9,2235722.0,1523982,2443.4700000000003,413113
2008,10,1641316.0,1382150,2545.9600000000005,413113
2008,11,1399229.0,1502965,2436.33,413113
2008,12,1434254.0,1448933,2436.07,413113
2009,1,1376272.0,1427104,2401.22,426612
2009,2,1618774.0,1469790,2146.62,426612
2009,3,1291802.0,1431072,2535.3500000000004,426612
2009,4,1224077.0,1420220,2485.19,426612
2009,5,1462910.0,1430327,2531.7200000000003,426612
2009,6,1821182.0,1472777,2407.08,426612
2009,7,2046571.0,1437857,2418.1900000000005,426612
2009,8,1895960.0,1364658,2354.36,426612
2009,9,1962189.0,1423116,2277.35,426612
2009,10,1831805.0,1388677,2507.87,426612
2009,11,1620816.0,1598157,2308.97,426612
2009,12,1246838.0,1432141,2161.23,426612
2010,1,1898161.0,1436475,2101.6900000000005,426612
2010,2,1581544.0,1408114,1836.56,435140
2010,3,1646028.0,1460638,2130.27,435140
2010,4,1202071.0,1445768,2257.24,435140
2010,5,1462500.0,1436418,2518.14,435140
2010,6,1933927.0,1468050,2439.73,435140
2010,7,2055318.0,1422561,2573.05,435140
2010,8,2135860.0,1402438,2477.1900000000005,435140
2010,9,1990903.0,1451630,2364.07,435140
2010,10,1589268.0,1361733,2574.33,435140
2010,11,1485374.0,1609285,2312.21,435140
2010,12,1543107.0,1514485,2228.7200000000003,435140
2011,1,1739591.0,1375237,2131.2599999999998,420272
2011,2,1414735.0,1453415,2013.4700000000003,420272
2011,3,1126721.0,1375808,2357.66,420272
2011,4,1258745.0,1444384,2388.2400000000002,420272
2011,5,1589560.0,1453925,2665.68,420272
2011,6,1833100.0,1453806,2503.3599999999997,420272
2011,7,1986293.0,1448126,2475.9200000000005,420272
2011,8,2186530.0,1537933,2426.25,420272
2011,9,2008612.0,1450147,2310.67,420272
2011,10,1582608.0,1365216,2310.3900000000003,420272
2011,11,1316925.0,1597874,2226.6899999999996,420272
2011,12,1194416.0,1473580,2242.98,420272
2012,1,1305111.674,1387413,2227.63,423996
2012,2,1161109.566,1376771,2108.8099999999995,423996
2012,3,1238504.42,1470844,2403.2299999999996,423996
2012,4,1331542.516,1449157,2482.27,423996
2012,5,1441847.879,1470737,2557.75,423996
2012,6,1751799.561,1464139,2273.7200000000003,423996
2012,7,1742528.62,1387578,2527.97,423996
2012,8,2149845.467,1542995,2388.8700000000003,423996
2012,9,1820002.911,1404111,2249.19,423996
2012,10,1724920.391,1451243,2314.25,423996
2012,11,1427308.152,1629469,2280.48,423996
2012,12,1156813.171,1469818,2269.0200000000004,423996
2013,1,1254612.381,1385210,2270.7799999999997,424243
2013,2,1262881.513,1468867,2074.3,424243
2013,3,1226992.536,1399956,2370.35,424243
2013,4,1313509.789,1476489,2318.04,424243
2013,5,1470829.742,1552943,2435.97,424243
2013,6,1706526.759,1484817,2312.72,424243
2013,7,1908034.92,1484608,2357.5,424243
2013,8,1820620.11,1402771,2410.71,424243
2013,9,1983817.233,1477554,2293.4799999999996,424243
2013,10,1774336.516,1491852,2470.11,424243
2013,11,1419736.954,1575906,2294.54,424243
2013,12,1366063.471,1656929,2379.2900000000004,424243
2014,1,1249022.432,1334901,2261.88,417754
2014,2,1575864.684,1487826,2027.4700000000003,417754
2014,3,1225714.016,1513573,2351.2,417754
2014,4,1198794.814,1499654,2384.3399999999997,417754
2014,5,1440263.926,1497628,2528.74,417754
2014,6,1756597.058,1497407,2501.08,417754
2014,7,1979925.685,1508334,2508.83,417754
2014,8,2188613.287,1586532,2607.6499999999996,417754
2014,9,2039254.0,1484374,2353.51,417754
2014,10,1602653.0,1460814,2543.3,417754
2014,11,1351836.0,1603032,2380.32,417754
2014,12,1394141.0,1571016,2380.96,417754
2015,1,1319005.21,1433362,2339.36,428806
2015,2,1334973.478,1451869,2085.36,428806
2015,3,1450105.376,1514984,2498.84,428806
2015,4,1434535.259,1520430,2486.97,428806
2015,5,1592004.245,1523035,2746.21,428806
2015,6,1917301.587,1521202,2596.6400000000003,428806
2015,7,2121567.0,1508334,2677.5199999999995,428806
2015,8,2005262.787,1525925,2553.13,428806
2015,9,2025648.57,1528446,2421.2299999999996,428806
2015,10,1668278.327,1467713,2651.1299999999997,428806
2015,11,1718953.389,1687494,2499.6900000000005,428806
2015,12,1344349.449,1596729,2532.85,428806
2016,1,1400266.523,1479253,2401.9199999999996,428072
2016,2,1411613.794,1448280,2275.96,428072
2016,3,1361307.98,1545804,2602.5299999999997,428072
2016,4,1302284.352,1482233,2555.9100000000003,428072
2016,5,1618349.0,1610406,2696.16,428072
