year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,1038878,834760,6388.78,1500000
2007,2,890777,836421,5747.76,1500000
2007,3,693888,836980,7345.94,1500000
2007,4,673042,830735,8214.44,1500000
2007,5,976801,829971,10398.89,1500000
2007,6,1273107,831611,11709.74,1500000
2007,7,1672071,832576,12313.23,1500000
2007,8,1619251,833735,11222.93,1500000
2007,9,1758359,833712,10600.79,1500000
2007,10,1117844,837609,9965.02,1500000
2007,11,818321,841914,8685.08,1500000
2007,12,834076,844041,6265.34,1500000
2008,1,984342,844754,6316.09,1500000
2008,2,914324,845882,5347.81,1500000
2008,3,743747,844616,7077.06,1500000
2008,4,680258,836637,8399.74,1500000
2008,5,869745,836229,9685.49,1500000
2008,6,1150404,837152,10685.96,1500000
2008,7,1637729,834892,10743.82,1500000
2008,8,1677995,835666,10105.61,1500000
2008,9,1481999,835403,9139.14,1500000
2008,10,1094404,840395,9219.87,1500000
2008,11,773308,843132,7660.77,1500000
2008,12,766873,845724,6149.84,1500000
2009,1,889578,847309,5990.54,1500000
2009,2,735949,848765,5498.91,1500000
2009,3,757770,847244,7272.5,1500000
2009,4,626628,839685,7976.44,1500000
2009,5,1016862,838303,9552.57,1500000
2009,6,1163146,837122,9886.55,1500000
2009,7,1583430,838284,11103.28,1500000
2009,8,1688200,837418,10832.01,1500000
2009,9,1493741,837757,9346.97,1500000
2009,10,1013564,844048,8994.15,1500000
2009,11,731301,848109,7378.75,1500000
2009,12,804928,851755,6078.05,1500000
2010,1,880944,854219,5497.4,1500000
2010,2,755177,856315,5098.74,1500000
2010,3,717000,855387,5967.89,1500000
2010,4,678687,847565,7635.39,1500000
2010,5,867035,846162,9323.82,1500000
2010,6,1310108,845210,10614.43,1500000
2010,7,1737453,845044,11316.37,1500000
2010,8,1560547,844445,10082.08,1500000
2010,9,1377233,845200,9659.87,1500000
2010,10,911479,851365,8665.83,1500000
2010,11,695319,855326,7400.71,1500000
2010,12,785030,858135,6172.69,1500000
2011,1,887013,860191,6145.25,1500000
2011,2,814929,862408,5591.28,1500000
2011,3,661423,862160,6888.04,1500000
2011,4,767590,854238,7834.14,1500000
2011,5,900676,852043,9577.58,1500000
2011,6,1284803,853090,10636.89,1500000
2011,7,1673977,853920,11127.25,1500000
2011,8,1736180,854290,10994.58,1500000
2011,9,1369093,855481,10113.43,1500000
2011,10,920864,861268,9420.2,1500000
2011,11,664041,866126,6873.36,1500000
2011,12,944797,870384,5785.51,1500000
2012,1,811072,872508,5892.14,1500000
2012,2,690634,878629,5813.76,1500000
2012,3,671113,871109,6656.33,1500000
2012,4,798719,861614,7828.9,1500000
2012,5,1079244,859968,9705.42,1500000
2012,6,1462937,860429,10636.89,1500000
2012,7,1583567,860352,10620.64,1500000
2012,8,1671540,862061,10199.02,1500000
2012,9,1297053,863687,8739.95,1500000
2012,10,909463,870047,9106.48,1500000
2012,11,666116,875364,7534.74,1500000
2012,12,861116,878389,6203.85,1500000
2013,1,945363,881051,5749.06,1500000
2013,2,754625,882714,5242.05,1500000
2013,3,708483,882313,6471.46,1500000
2013,4,755316,872875,7649.11,1500000
2013,5,1080075,871757,9558,1500000
2013,6,1501431,872612,10666.77,1500000
2013,7,1677301,872828,10623.85,1500000
2013,8,1586975,874860,10234.85,1500000
2013,9,1288552,875914,8665.63,1500000
2013,10,761862,882800,8888,1500000
2013,11,660291,888392,6902.09,1500000
2013,12,861711,891668,5940.54,1500000
2014,1,812965,894229,6001.04,1500000
2014,2,651565,895793,5698.08,1500000
2014,3,661549,894556,6655.29,1500000
2014,4,745760,886460,7875.26,1500000
2014,5,1023461,885048,9519.06,1500000
2014,6,1434624,885334,10555.16,1500000
2014,7,1706900,885953,10847.23,1500000
2014,8,1509624,887309,9439.92,1500000
2014,9,1328293,888234,8085.57,1500000
2014,10,906346,895298,8039.81,1500000
2014,11,687871,900257,7318.24,1500000
2014,12,824675,903484,5894.94,1500000
2015,1,838634,905990,5796.72,1500000
2015,2,614163,907444,5337,1500000
2015,3,729171,905812,6728.5,1500000
2015,4,739840,897608,7800.66,1500000
2015,5,913787,896190,8404.49,1500000
2015,6,1456061,896318,9658.93,1500000
2015,7,1658330,897283,10626.24,1500000
2015,8,1706656,898106,10607.78,1500000
2015,9,1358950,899457,8872.78,1500000
2015,10,948679,905858,,1500000
2015,11,677364,910612,6831.49,1500000
2015,12,944429,914246,6230.36,1500000
2016,1,908866,916729,5653.67,1500000
2016,2,693595,917737,5823.04,1500000
2016,3,683068,916160,7191.99,1500000
2016,4,732553,908913,7692.91,1500000
2016,5,971980,907285,9053.77,1500000
2016,6,1576046,908375,10607.25,1500000
2016,7,1845050,910445,11060.39,1500000
2016,8,1617028,911346,9898.17,1500000
2016,9,1241559,915334,8844.62,1500000
2016,10,990761,919639,8945.58,1500000
2016,11,709885,924918,7122.47,1500000
2016,12,814867,928721,6118.88,1500000
2017,1,853449,930840,5472.17,1500000
2017,2,654397,932005,5333.19,1500000
2017,3,752086,930978,6762.77,1500000
2017,4,805324,924384,8057.21,1500000
2017,5,1066070,922191,9526.72,1500000
2017,6,1588221,923633,10706.33,1500000
2017,7,1808957,924254,10903.53,1500000
2017,8,1679573,925814,10293.39,1500000
2017,9,1342987,927723,9501.46,1500000
2017,10,975598,933274,9659.83,1500000
2017,11,724301,938678,7958.02,1500000
2017,12,823927,942690,6867.97,1500000
2018,1,772289,944724,6470.92,1500000
2018,2,683944,946307,5802.73,1500000
2018,3,707956,945600,6949.84,1500000
2018,4,857040,938623,8174.55,1500000
2018,5,1143218,938642,9655.46,1500000
2018,6,1526104,938675,10485.35,1500000
