year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,914501.0,697503,2662.334,860000
2007,2,842893.0,698492,2374.0563,860000
2007,3,698179.0,699845,2606.6446,860000
2007,4,596990.0,700399,2559.5242,860000
2007,5,546072.0,701016,3113.4596,860000
2007,6,520956.0,701697,3830.9187306176,860000
2007,7,539290.0,701920,4589.138,860000
2007,8,549832.0,702602,4349.401,860000
2007,9,531881.0,703272,3627.8616,860000
2007,10,527862.707,704489,2681.8179,860000
2007,11,628715.305,705745,2483.5837,860000
2007,12,801824.615,706444,2596.5458,860000
2008,1,912394.278,708131,2642.1438,860000
2008,2,737636.113,709539,2484.4326,860000
2008,3,707916.028,709725,2592.8733,860000
2008,4,656788.983,710362,2564.9048,860000
2008,5,577792.842,710583,3188.2431,860000
2008,6,529275.483,710819,3713.9948,860000
2008,7,567136.302,711329,4397.552,860000
2008,8,562480.412,711565,4205.9752219905,860000
2008,9,513721.027,711963,3561.762,860000
2008,10,560966.045,712309,2862.0316,860000
2008,11,634399.519,713007,2476.158318,860000
2008,12,917088.204,712554,2791.3463,860000
2009,1,858114.887,712741,2638.7403,866029
2009,2,745348.343,713983,2466.978,866029
2009,3,747407.964,714516,2697.1123,866029
2009,4,605382.181,714243,2706.2642,866029
2009,5,536460.283,714305,3113.4772,866029
2009,6,504252.643,714379,3767.354,866029
2009,7,615999.024,714005,4640.129,866029
2009,8,576686.411,714088,4274.22652,866029
2009,9,526686.053,714869,3401.0362,866029
2009,10,554036.539,714926,2808.6783,866029
2009,11,677619.742,715005,2618.3955,866029
2009,12,952591.07,715458,2850.2829,896386
2010,1,748087.175,715644,2702.834,896386
2010,2,635216.488,716257,2403.841,896386
2010,3,662798.551,716643,2629.1088,896386
2010,4,614194.353,717290,2662.9083,896386
2010,5,548189.464,717797,2824.0876,896386
2010,6,522881.364,717908,3048.8791,896386
2010,7,568790.812,718149,4250.609,896386
2010,8,548504.515,718178,4324.95335,896386
2010,9,508417.134,718351,3156.9015,896386
2010,10,542381.886,718646,2739.4126,896386
2010,11,689658.248,718736,2519.225,896386
2010,12,863327.595,719031,2655.4541,896386
2011,1,872956.336,719348,2638.45237681,914496
2011,2,695731.509,719763,2232.0679,914496
2011,3,722373.79,719734,2649.7425,914496
2011,4,642326.644,719825,2590.6455,914496
2011,5,566223.925,719788,2746.5369,914496
2011,6,506374.707,719886,3190.3915,914496
2011,7,510928.633,719888,3920.232,914496
2011,8,553619.611,720054,4159.230139992999,914496
2011,9,533822.721,719993,3442.0946,914496
2011,10,534027.378,720283,2683.4813,914496
2011,11,724228.256,720888,2509.3329,914496
2011,12,869898.613,720269,2610.5108,927073
2012,1,831539.81,721954,2468.1026072100003,927073
2012,2,692599.109,722218,2456.5058,927073
2012,3,735119.364,722419,2685.9102,927073
2012,4,594569.821,722794,2613.917,927073
2012,5,531208.846,722695,2967.6816,927073
2012,6,495407.22,723169,3062.2894,927073
2012,7,542976.951,723496,3849.203,927073
2012,8,586579.435,723408,4208.6025799861,927073
2012,9,495916.764,723804,3559.575,927073
2012,10,525439.779,724570,2928.4561,927073
2012,11,655301.572,725245,2556.0603,927073
2012,12,818745.796,725502,2631.7753,927073
2013,1,897428.982,726042,2668.1732,933275
2013,2,669302.944,726512,2379.855,933275
2013,3,662714.08,726799,2694.9853,933275
2013,4,556446.327,727288,2675.0851,933275
2013,5,522791.514,727328,3185.8304,933275
2013,6,500755.66,727793,3507.8606,933275
2013,7,597479.622,728157,4205.09376,933275
2013,8,559517.155,728779,3852.16048,933275
2013,9,503031.541,729512,3030.7304,933275
2013,10,597263.397,730008,2526.6285,933275
2013,11,655288.105,731209,2350.8327,933275
2013,12,979748.7,732341,2729.1576,933275
2014,1,794072.63,733301,2670.5093,935146
2014,2,764174.0,733591,2519.1424,935146
2014,3,615473.535,734265,2746.8957,935146
2014,4,555788.355,734434,2791.896,935146
2014,5,524129.734,734562,2977.6012,935146
2014,6,472283.376,735153,3450.7895,935146
2014,7,624957.776,735487,4053.3202619706003,935146
2014,8,608429.008,736043,4184.316,935146
2014,9,512537.245,736289,3487.4064,935146
2014,10,514371.052,736948,2783.4269,935146
2014,11,668361.723,737947,2687.486393,935146
2014,12,807285.031,738008,2537.0966,935146
2015,1,759848.2,738973,2542.381,943600
2015,2,581868.362,739784,2294.0054,943600
2015,3,589714.743,739837,2601.7099,943600
2015,4,560583.563,740202,2533.2349,943600
2015,5,499383.504,740825,3045.322,943600
2015,6,567850.609,741507,4010.96644,943600
2015,7,675350.125,742571,4357.4773000000005,943600
2015,8,597941.337,743370,4160.2073,943600
2015,9,475654.787,744172,3175.2163,943600
2015,10,512591.232,745339,2964.0825999999997,943600
2015,11,650732.444,746050,2607.2117,943600
2015,12,853795.353,746969,2565.8173,943600
2016,1,829014.271,748405,2704.9786,926058
2016,2,615749.132,749430,2452.6324,926058
2016,3,657996.972,750027,2570.7529,926058
2016,4,501003.854,750299,2628.1163,926058
2016,5,516913.466,751019,3095.8503,926058
2016,6,539661.219,751565,3327.445,926058
2016,7,524284.614,752306,3684.9348,926058
2016,8,611789.237,753579,3945.81766,926058
2016,9,481583.068,754149,3050.0887,926058
2016,10,548150.826,755005,2534.1142,926058
2016,11,587494.699,755921,2400.3991,926058
2016,12,934108.604,756675,2482.8247,926058
2017,1,990661.448,757251,2674.2223,937000
2017,2,706887.008,758015,2246.3622609,937000
2017,3,685946.948,758996,2505.39687,937000
2017,4,560747.104,760084,2410.0718,937000
2017,5,553137.449,761492,2850.087,937000
2017,6,511914.908,762754,3305.1477,937000
2017,7,590015.041,763442,4014.787,937000
2017,8,686167.899,763365,4163.092,937000
2017,9,540908.125,763852,3166.05902,937000
2017,10,511187.114,764638,2660.2329,937000
2017,11,660141.122,765628,2425.1675,937000
2017,12,881871.099,767012,2488.9321,937000
2018,1,782520.018,767940,2503.0468,952000
2018,2,667419.772,768875,2268.5706,952000
2018,3,683257.184,769843,2533.121816,952000
2018,4,598978.509,770784,2521.4972,952000
2018,5,531853.498,799709,3234.9463,952000
2018,6,496296.324,800797,3436.7316,952000
2018,7,627540.607,773399,4061.3296,952000
2018,8,626326.622,774482,3951.3935,952000
2018,9,479418.862,768589,2922.1002,952000
2018,10,500522.512,774532,2666.6102,952000
2018,11,627928.25,775802,2469.2829,952000
2018,12,830360.631,776207,2460.693,952000
