year,month,elecuse,elecuse_population,wateruse,wateruse_population
2008,1,1472299.53,1071043,1324.405,460912
2008,2,1487107.748,1072628,1208.383,460912
2008,3,1110939.919,1073792,1234.55,460912
2008,4,999370.259,1075622,1266.095,460912
2008,5,901706.314,1077071,1398.617,460912
2008,6,1232676.338,1078644,1725.588,460912
2008,7,1505716.151,1080546,1715.395,460912
2008,8,1486892.596,1082026,1802.559,460912
2008,9,1317736.378,1083172,1556.701,460912
2008,10,928570.316,1084864,1568.702,460912
2008,11,961427.412,1085966,1358.936,460912
2008,12,1428395.115,1087039,1326.044,460912
2009,1,1563915.641,1087756,1360.732,475712
2009,2,1552909.967,1088760,1248.018,475712
2009,3,1372266.743,1089501,1402.184,475712
2009,4,1005008.324,1090602,1461.199,475712
2009,5,918376.528,1091284,1640.528,475712
2009,6,1225909.823,1092260,1693.441,475712
2009,7,1487253.162,1093522,1845.105,475712
2009,8,1459848.978,1094489,1780.98,475712
2009,9,1261594.053,1095481,1624.106,475712
2009,10,951844.989,1096353,1543.841,475712
2009,11,886290.513,1097329,1386.392,475712
2009,12,1268421.02,1098279,1375.555,475712
2010,1,1959371.426,1098742,1393.769,485219
2010,2,1608261.85,1099377,1286.26,485219
2010,3,1545761.62,1099978,1410.393,485219
2010,4,1002342.522,1100478,1604.102,485219
2010,5,908415.738,1101030,1809.169,485219
2010,6,1336755.985,1101870,1829.193,485219
2010,7,1696012.079,1102559,1988.545,485219
2010,8,1668866.518,1103241,1850.374,485219
2010,9,1450071.145,1103946,1910.374,485219
2010,10,1012159.326,1104424,1798.57,485219
2010,11,914059.003,1104883,1489.9906,485219
2010,12,1576767.847,1105466,1435.331,485219
2011,1,2027639.528,1085578,1444.267,498870
2011,2,1233161.899,1085861,1337.565,498870
2011,3,1116677.764,1085748,1463.756,498870
2011,4,931433.483,1085629,1440.479667,498870
2011,5,953502.953,1085501,1633.148,498870
2011,6,1563294.811,1085594,1901.461,498870
2011,7,1736868.615,1085917,1978.709333,498870
2011,8,1566974.568,1086109,1835.535333,498870
2011,9,1141813.116,1109190,1653.643,498870
2011,10,871407.538,1086429,1647.784667,498870
2011,11,1040284.623,1086646,1412.1437,498870
2012,1,1539420.845,1091153,1386.267,510992
2012,2,1211574.964,1092100,1342.149,510992
2012,3,1061818.316,1092780,1438.4139,510992
2012,4,814803.414,1093108,1469.178,510992
2012,5,1101166.781,1093461,1651.1564,510992
2012,6,1243583.674,1093874,1725.553,510992
2012,7,1690054.77,1094271,1850.1485,510992
2012,8,1447788.878,1094726,1715.148,510992
2012,9,1103996.711,1095143,1576.882,510992
2012,10,846734.538,1095453,1559.532,510992
2012,11,1245008.391,1095849,1399.016,510992
2012,12,1400534.424,1096257,1365.433,510992
2013,1,1556987.779,1101173,1387.8496,521972
2013,2,1334464.536,1102738,1262.8253,521972
2013,3,1485822.052,1104232,1472.686,521972
2013,4,1019212.123,1104314,1442.864,521972
2013,5,907231.758,1105405,1564.785,521972
2013,6,1298562.127,1106442,1609.581,521972
2013,7,1479218.486,1107249,1659.3646,521972
2013,8,1395813.486,1108795,1696.4132,521972
2013,9,1138689.173,1109307,1656.476,521972
2013,10,883144.006,1110482,1636.34,521972
2013,11,1110359.868,1113089,1435.302,521972
2013,12,1639890.317,1114281,1406.867,521972
2014,1,1939275.937,1115965,1421.5259,534991
2014,2,1412556.085,1116373,1271.7193,534991
2014,3,1476576.31,1116741,1431.91,534991
2014,4,946372.839,1116941,1400.385,534991
2014,5,1138393.089,1118529,1612.414,534991
2014,6,1355538.061,1119446,1665.298,534991
2014,7,1485479.323,1121269,1729.004,534991
2014,8,1386913.432,1123954,1620.541,534991
2014,9,1163725.861,1125240,1621.9127,534991
2014,10,892392.349,1126775,1641.101,534991
2014,11,1240602.194,1129139,1425.841,534991
2014,12,1583385.403,1130323,1406.6403,534991
2015,1,1742490.471,1132095,1413.468,544911.8914
2015,2,1772344.329,1134423,1317.635,544911.8914
2015,3,1275077.739,1133706,1477.405,544911.8914
2015,4,878445.404,1134551,1440.8652,544911.8914
2015,5,1104596.944,1136065,1659.8139,544911.8914
2015,6,1513227.144,1137649,1755.835,544911.8914
2015,7,1645464.783,1139355,1773.754,544911.8914
2015,8,1318108.925,1140615,1847.872,544911.8914
2015,9,1251146.637,1141745,1664.061,544911.8914
2015,10,893560.792,1143352,1628.718,544911.8914
2015,11,979905.795,1144891,1447.085,544911.8914
2015,12,1179280.615,1146432,1410.5986,544911.8914
2016,1,1809391.646,1148693,1430.3957,555256.1798
2016,2,1412110.673,1149943,1324.141,555256.1798
2016,3,1090223.072,1150460,1416.5402,555256.1798
2016,4,898554.878,1151958,1450.681,555256.1798
2016,5,1045364.266,1152777,1525.253,555256.1798
2016,6,1409012.963,1154276,1630.905434,555256.1798
2016,7,1712863.015,1156816,1684.555706,555256.1798
2016,8,1665373.009,1157825,1804.549819,555256.1798
2016,9,1294405.623,1159423,1673.894695,555256.1798
2016,10,803269.235,1160312,1664.880653,555256.1798
2016,11,1092280.356,1160081,1501.3628,555256.1798
2016,12,1552207.309,1162473,1408.586,555256.1798
2017,1,1446447.898,1164468,1432.340377,570285
2017,2,1119067.574,1166097,1303.663477,570285
2017,3,1219385.525,1167926,1474.07572,570285
2017,4,887091.944,1169564,1432.192136,570285
2017,5,1151127.938,1170863,1587.001,570285
2017,6,1400654.808,1172477,1635.482955,570285
2017,7,1646446.234,1174259,1787.74111,570285
2017,8,1491447.375,1176003,1782.3131,570285
2017,9,1155449.841,1177575,1694.806488,570285
2017,10,978033.446,1179352,1750.66459,570285
2017,11,1214860.432,1181702,1456.317,570285
2017,12,1608231.897,1183832,1415.2669,570285
2018,1,1926951.053,1185236,1505.530871,580787
2018,2,1291493.664,1186302,1294.725413,580787
2018,3,1284062.353,1188454,1412.2283,580787
2018,4,962730.772,1189394,1440.238,580787
2018,5,1259941.251,1191245,1676.8059,580787
2018,6,1469038.257,1193910,1708.547,580787
2018,7,1587767.336,1195268,1710.8741,580787
2018,8,1593133.753,1197544,1677.0872,580787
2018,9,1337200.817,1199067,1602.2645,580787
2018,10,1027502.298,1199294,1675.286,580787
2018,11,1286082.495,1200734,1445.345,580787
2018,12,1509719.881,1203058,1420.84,580787
