year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,667800,713152,1235.0399,400000
2007,2,461843,708496,1124.8092,400000
2007,3,486172,713547,1460.4021999999998,400000
2007,4,479131,716941,2167.0179,400000
2007,5,754607,718101,3074.232,400000
2007,6,1140917,721485,3332.6193,400000
2007,7,1584592,722386,3872.1041,400000
2007,8,1309241,724022,3809.5166,400000
2007,9,1062737,727549,2960.1181,400000
2007,10,436119,721079,1997.5764000000001,400000
2007,11,381934,720863,1181.8726,400000
2007,12,606634,724950,1122.7621,400000
2008,1,669276,723055,1087.406362194164,400000
2008,2,522062,722100,999.9710022670951,400000
2008,3,460816,722875,1189.0977045816674,400000
2008,4,420665,721233,2006.0539999999999,400000
2008,5,602599,724801,2659.343,400000
2008,6,976032,724898,3044.2681819999993,400000
2008,7,1529300,726448,3574.3310000000006,400000
2008,8,1369853,729960,3577.6300000000006,400000
2008,9,998811,726783,2997.2960000000003,400000
2008,10,594009,726347,2022.8319999999994,400000
2008,11,365923,724945,1185.7610000000002,400000
2008,12,532060,725856,1166.3019999999997,400000
2009,1,644826,727892,1105.674,400000
2009,2,447091,726729,994.3680000000002,400000
2009,3,473983,726345,1136.0699999999997,400000
2009,4,433560,725376,1736.8439999999998,400000
2009,5,767169,724130,2847.4709999999995,400000
2009,6,976436,724340,2485.133,400000
2009,7,1364877,724390,3515.801,400000
2009,8,1308609,726773,3358.943999999999,400000
2009,9,1008913,725614,2914.1319999999996,400000
2009,10,520946,725611,1873.922,400000
2009,11,362813,721993,1054.648,400000
2009,12,584319,726174,1057.5870000000002,400000
2010,1,601883,722207,1129.464,400000
2010,2,463905,723753,979.844,400000
2010,3,453097,727145,1170.712,400000
2010,4,410135,722746,1582.7050000000002,400000
2010,5,514806,726402,2383.8580000000006,400000
2010,6,960837,728748,2857.1030000000005,400000
2010,7,1478816,728591,3416.2719999999995,400000
2010,8,1366573,731284,3284.6459999999997,400000
2010,9,912199,732544,2684.48,400000
2010,10,594443,730456,1639.8410000000003,400000
2010,11,372286,729374,1040.681,400000
2010,12,555406,733579,1008.873,400000
2011,1,609048,735163,1018.1309999999999,400000
2011,2,454558,729618,892.624,400000
