year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,474385.0,519891,2199.0,490000
2007,2,353415.0,519916,2027.2,490000
2007,3,325400.0,519920,2570.1,490000
2007,4,277373.0,520523,2964.5,490000
2007,5,336361.0,520489,4024.7,490000
2007,6,391598.0,520295,5148.9,490000
2007,7,527689.0,521849,5787.6,490000
2007,8,490606.0,521634,5628.799999999999,490000
2007,9,434346.0,522391,4367.6,490000
2007,10,274968.0,523158,3027.9,490000
2007,11,303698.0,522613,2643.2000000000003,490000
2007,12,422464.0,522238,2119.8,490000
2008,1,483153.0,523135,1579.7,490000
2008,2,368296.0,522060,1449.9,490000
2008,3,317167.0,522351,2339.3999999999996,490000
2008,4,292260.0,522029,3272.2,490000
2008,5,337558.0,521574,4177.8,490000
2008,6,404889.0,522122,4971.700000000001,490000
2008,7,538264.0,522617,5346.6,490000
2008,8,503598.0,523102,4902.1,490000
2008,9,447135.0,524090,3945.1,490000
2008,10,303194.0,523882,3143.9,490000
2008,11,285877.0,523937,1924.4,490000
2008,12,419556.0,524517,2145.0,490000
2009,1,477912.0,524775,1857.1999999999998,490000
2009,2,326197.0,524830,1239.0,490000
2009,3,350411.0,525408,1639.1,490000
2009,4,290607.0,525177,2695.6000000000004,490000
2009,5,343731.0,524486,3630.8,490000
2009,6,379824.0,525269,3974.4,490000
2009,7,516546.0,524823,4771.0,490000
2009,8,506027.0,526119,4443.0,490000
2009,9,450642.0,526489,3912.6,490000
2009,10,329361.0,526152,2731.7,490000
2009,11,291927.0,527024,1935.6999999999998,490000
2009,12,448154.0,526980,1624.3,490000
2010,1,444489.0,527555,1429.9,490000
2010,2,329358.0,527427,1261.0,490000
2010,3,331499.384,526724,1641.9,490000
2010,4,305293.102,527167,1779.1,490000
2010,5,303194.232,527383,2623.3,490000
2010,6,367180.081,527759,4054.1,490000
2010,7,502649.76,527511,4696.2,490000
2010,8,448993.723,528626,4275.4,490000
2010,9,390540.726,528877,3686.4,490000
2010,10,335138.577,528908,2862.7,490000
2010,11,313617.259,529289,1865.3,490000
2010,12,418404.241,528690,1593.5,490000
2011,1,444015.063,529289,1557.9,490000
2011,2,344612.763,529572,1343.3999999999999,490000
2011,3,358146.753,529680,1348.2,490000
2011,4,303210.233,529648,2238.1,490000
2011,5,295724.296,529800,2955.4,490000
2011,6,350622.933,529838,3218.7,490000
2011,7,517879.077,529695,4427.6,490000
2011,8,461980.128,530604,4527.3,490000
2011,9,460370.66,530524,3870.9,490000
2011,10,326296.741,531273,2369.3,490000
2011,11,301247.51,531052,1756.4,490000
2011,12,427151.975,531207,1617.5,490000
2012,1,447050.224,531420,1594.6,490000
2012,2,334732.132,531793,1583.7,490000
2012,3,334641.242,532392,1805.5,490000
2012,4,316403.417,532675,1950.6,490000
2012,5,332372.844,532576,3552.2,490000
2012,6,398936.843,532616,4494.9,490000
2012,7,492980.703,533641,5033.4,490000
2012,8,542942.632,533790,5114.1,490000
2012,9,420302.941,534417,4167.9,490000
2012,10,331879.689,534980,2933.7,490000
2012,11,288328.477,535216,1870.1000000000001,490000
2012,12,403624.971,535204,1557.0,490000
2013,1,480963.107,536075,1508.0,490000
2013,2,344348.636,536550,1555.6999999999998,490000
2013,3,315397.961,537086,2161.8,490000
2013,4,278567.5,537876,2601.5,490000
2013,5,353505.081,537690,3555.4,490000
2013,6,415194.422,538272,3923.8,490000
2013,7,585030.596,539069,4305.0,490000
2013,8,457627.159,539401,4050.5,490000
2013,9,409020.126,540269,3345.9,490000
2013,10,295028.878,540693,2879.3999999999996,490000
2013,11,291249.0,540694,1996.5,490000
2013,12,429132.814,540981,1675.5,490000
2014,1,437886.217,541210,1633.7,490000
2014,2,313474.787,541159,1269.0,490000
2014,3,303228.214,541885,1545.0,490000
2014,4,293270.668,542106,1797.4,490000
2014,5,336981.07,541996,2647.9,490000
2014,6,453395.163,542541,3192.5,490000
2014,7,548697.552,543092,3311.6000000000004,490000
2014,8,525360.967,543971,3066.2,490000
2014,9,430931.694,543857,2704.9,490000
2014,10,340391.063,544044,2311.0,490000
2014,11,284701.431,544405,1568.7,490000
2014,12,374637.078,544899,1270.4,490000
2015,1,433048.15,545098,1165.8,490000
2015,2,310648.456,545407,1066.4,490000
2015,3,299412.139,545964,1633.9,490000
2015,4,279716.008,545948,1846.6,490000
2015,5,314518.386,545546,2140.3,490000
2015,6,413550.99,545595,2479.3,490000
2015,7,591960.386,545623,2704.4,490000
2015,8,494145.016,546245,2717.8,490000
2015,9,430663.043,546522,2523.3999999999996,490000
2015,10,346616.159,546934,2156.3,490000
2015,11,309180.253,547325,1464.0,490000
2015,12,434851.146,547653,1348.3,490000
2016,1,441660.49,548031,1391.9,490000
2016,2,320198.095,548371,1315.3000000000002,490000
2016,3,306499.53,548794,1307.4,490000
2016,4,299443.284,548850,1669.9,490000
2016,5,328813.692,549132,2124.9,490000
2016,6,471217.928,549478,2643.3,490000
2016,7,543382.162,549498,2914.6,490000
2016,8,529261.537,550290,2727.2,490000
2016,9,396035.31,550490,2436.7,490000
2016,10,312609.52,551099,1797.6,490000
2016,11,292601.943,551518,1219.8,490000
2016,12,432266.97,551890,981.4,490000
2017,1,470407.951,552625,971.4,490000
2017,2,340798.026,552419,821.8,490000
2017,3,334019.068,552247,1010.9,490000
2017,4,284793.308,552428,1053.4,490000
2017,5,362779.01,552250,2077.8,490000
2017,6,474639.824,552069,2724.3999999999996,490000
2017,7,656315.654,551862,3514.3,490000
2017,8,591023.384,552740,3271.7,490000
2017,9,471910.93,552757,2541.6,490000
2017,10,280184.572,553048,2081.8,490000
2017,11,289087.645,553489,1038.5,490000
2017,12,404905.799,554201,877.3,490000
2018,1,422133.241,555071,782.8,490000
2018,2,311277.823,555461,874.8,490000
2018,3,352453.857,555973,935.1,490000
2018,4,283342.315,556266,1206.9,490000
2018,5,295862.625,556519,2018.6,490000
2018,6,407130.403,556841,2597.0,490000
2018,7,578950.673,557190,2824.8,490000
2018,8,526540.83,557681,2459.2,490000
2018,9,363269.5,558601,2004.0,490000
2018,10,289681.555,559136,2153.9,490000
2018,11,287554.722,559576,1593.6999999999998,490000
2018,12,400438.045,559907,1045.8000000000002,490000
