year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,826226.0,1068161,1049.37668,414735
2007,2,715660.0,1069372,970.636216,414735
2007,3,649715.0,1070971,1006.257472,414735
2007,4,606678.0,1071757,1019.487348,414735
2007,5,608898.0,1071665,1076.984612,414735
2007,6,813851.0,1069628,1460.21942,414735
2007,7,1018452.0,1069807,1790.337252,414735
2007,8,953036.0,1070912,1765.350312,414735
2007,9,748100.0,1071116,1702.851172,414735
2007,10,670151.0,1073456,1431.313708,414735
2007,11,679759.0,1074085,1139.358088,414735
2007,12,834558.0,1074894,1010.897316,414735
2008,1,803601.0,1075993,1068.706496,418765
2008,2,734923.0,1076809,949.280068,418765
2008,3,709960.0,1077504,986.340476,418765
2008,4,615942.0,1077942,976.687536,418765
2008,5,589229.0,1077108,969.399024,418765
2008,6,660385.0,1075872,1192.071892,418765
2008,7,966980.0,1076117,1580.523252,418765
2008,8,833285.0,1078068,1674.700192,418765
2008,9,635402.0,1079127,1778.733528,418765
2008,10,619914.0,1080473,1596.561868,418765
2008,11,699136.0,1081092,1066.5919000000001,418765
2008,12,827886.0,1082161,1026.90302,418765
2009,1,838609.0,1082424,1015.318744,419919
2009,2,693231.0,1083035,939.948768,419919
2009,3,694972.0,1083987,958.291224,419919
2009,4,582952.0,1084023,974.549004,419919
2009,5,584817.0,1082711,1044.651564,419919
2009,6,682680.0,1082478,1420.278464,419919
2009,7,740023.0,1081443,1658.41698,419919
2009,8,796512.0,1081847,1564.718012,419919
2009,9,694263.0,1081629,1554.773352,419919
2009,10,666254.0,1082949,1386.01034,419919
2009,11,660119.0,1083415,1051.6476080000002,419919
2009,12,820478.0,1084245,997.649488,419919
2010,1,848562.0,1084993,1099.64976,415203
2010,2,686565.0,1086065,902.956428,415203
2010,3,661996.0,1087923,874.696988,415203
2010,4,547789.0,1087668,943.64688,415203
2010,5,622566.0,1087528,1004.108468,415203
2010,6,777196.0,1087287,1272.312844,415203
2010,7,1025881.0,1086943,1326.827084,415203
2010,8,1052830.0,1087811,1259.739712,415203
2010,9,619307.0,1088055,1401.827548,415203
2010,10,616933.0,1089325,1250.284992,415203
2010,11,666289.0,1090769,1045.149732,415203
2010,12,821862.0,1091363,1001.450824,415203
2011,1,837107.0,1092192,966.37112,417089
2011,2,708913.0,1092808,905.19594,417089
2011,3,690945.0,1093480,1000.60334,417089
2011,4,578761.0,1093678,916.320196,417089
2011,5,602996.0,1093296,970.541968,417089
2011,6,774811.0,1092529,1099.631808,417089
2011,7,1147673.0,1092494,1334.5255,417089
2011,8,940863.0,1093970,1244.323432,417089
2011,9,658022.0,1093418,1433.269728,417089
2011,10,615495.0,1094526,1419.658372,417089
2011,11,659362.0,1095070,1116.036196,417089
2011,12,754084.0,1095812,1031.84356,417089
2012,1,770959.0,1096282,971.505392,418035
2012,2,675473.706,1097054,878.964328,418035
2012,3,637559.501,1098104,977.933704,418035
2012,4,565174.826,1097989,978.887404,418035
2012,5,615719.38,1098036,956.028524,418035
2012,6,833982.436,1097402,1184.009948,418035
2012,7,1174258.095,1097680,1511.538952,418035
2012,8,832893.666,1098207,1398.409936,418035
2012,9,651639.77,1098026,1647.459528,418035
2012,10,652396.214,1099944,1521.688564,418035
2012,11,716835.724,1100441,1093.137672,418035
2012,12,779915.871,1100921,1080.952004,418035
