year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,678338.0,587232,5032.06729125977,1311764
2007,2,661596.0,589022,4739.26324462891,1311764
2007,3,484627.0,593043,5415.45603942871,1311764
2007,4,491300.0,592372,5454.15225219727,1311764
2007,5,565018.0,593546,5632.64060974121,1311764
2007,6,798216.0,595989,5860.70811462402,1311764
2007,7,846173.0,595964,5527.82460021973,1311764
2007,8,890547.0,598495,6527.67602539063,1311764
2007,9,929269.0,600453,6254.5192565918,1311764
2007,10,752214.0,601015,6617.70018005371,1311764
2007,11,594822.0,602921,5993.6633605957,1311764
2007,12,554052.0,604620,5612.03631591797,1311764
2008,1,686800.0,604624,5567.05429077148,1311764
2008,2,596802.0,606762,5460.42599487305,1311764
2008,3,499403.0,607130,6113.41842651367,1311764
2008,4,519491.0,608390,6387.42712402344,1311764
2008,5,673828.0,610066,7784.53375244141,1311764
2008,6,996418.0,609037,9522.65625,1311764
2008,7,977211.0,610645,7905.37333679199,1311764
2008,8,989768.0,613347,7104.7202911377,1311764
2008,9,910619.0,612322,7254.03558349609,1311764
2008,10,683180.0,613450,7253.33183288574,1311764
2008,11,520786.0,615211,6410.54342651367,1311764
2008,12,543794.0,615370,5901.22985839844,1311764
2009,1,705217.0,616374,5761.05615234375,1320500
2009,2,528335.0,617752,5453.14321899414,1320500
2009,3,488175.0,618355,6335.51518249512,1320500
2009,4,525881.0,618663,6009.30932617188,1320500
2009,5,676994.0,621027,6749.97541809082,1320500
2009,6,859492.0,620882,7711.55661010742,1320500
2009,7,1210829.0,621857,8632.35403442383,1320500
2009,8,1150958.0,622967,8701.67147827148,1320500
2009,9,944546.0,624718,6095.83944702148,1320500
2009,10,686475.0,626188,5101.7208404541,1320500
2009,11,489575.0,625814,4914.32327270508,1320500
2009,12,627758.0,627194,4683.38291931152,1320500
2010,1,859557.0,628398,4844.05899047852,1320500
2010,2,641475.0,629373,4349.47465515137,1320500
2010,3,580902.0,629723,5076.46495056152,1320500
2010,4,526134.0,631925,5487.43601989746,1320500
2010,5,588080.0,632843,6240.4596862793,1320500
2010,6,859466.0,631937,6645.7583770752,1320500
2010,7,1052546.0,633947,6749.3917388916,1320500
2010,8,1054771.0,633592,9409.87707519531,1320500
2010,9,1069252.0,633900,6693.84864807129,1320500
2010,10,677100.0,635320,6863.92192077637,1320500
2010,11,523314.0,635013,6251.96017456055,1320500
2010,12,604617.0,636707,6128.09924316406,1320500
2011,1,709563.0,636257,5644.3072052002,1651559
2011,2,727342.0,636901,5494.34408569336,1651559
2011,3,504875.0,638238,6900.53936767578,1651559
2011,4,613006.0,640672,7576.66871643066,1651559
2011,5,716660.0,639829,7694.00955200195,1651559
2011,6,1005502.0,641002,8165.7124786377,1651559
2011,7,1181250.0,642797,8244.64151000977,1651559
2011,8,1150174.0,643463,9019.22207641602,1651559
2011,9,1218405.0,645400,7905.19952392578,1651559
2011,10,788494.0,645180,6812.39169311523,1651559
2011,11,546774.0,645978,6122.50866699219,1651559
2011,12,627942.0,647505,5579.73774719238,1651559
2012,1,696857.0,647434,5679.84768676758,1651559
2012,2,559908.0,648607,5114.53179931641,1651559
2012,3,532393.0,650674,5786.50221252441,1651559
2012,4,600860.299,650214,6818.4034576416,1651559
2012,5,702280.189,650849,6718.63484191895,1651559
2012,6,948369.303,651161,7808.02629089355,1651559
2012,7,1085585.045,652744,7487.64045715332,1651559
2012,8,1093030.268,655041,8210.7448425293,1651559
2012,9,1097897.47,656364,6839.11094665527,1651559
2012,10,679381.021,656543,6202.38096618652,1651559
2012,11,641009.35,658425,5952.88150024414,1651559
2012,12,534746.555,659891,5791.52365112305,1651559
2013,1,745848.64,659928,5695.46820068359,1674505
2013,2,579969.032,660757,5361.60592651367,1674505
2013,3,509973.546,663506,6481.3373260498,1674505
2013,4,510230.168,663636,6040.35255432129,1674505
2013,5,598327.919,665443,6243.72999572754,1674505
2013,6,896820.04,666431,6570.9585723877,1674505
2013,7,1017465.462,665787,7510.36529541016,1674505
2013,8,1147989.956,669080,8376.46644592285,1674505
2013,9,1086078.755,667924,6883.75312805176,1674505
2013,10,736124.93,669063,6317.83863830566,1674505
2013,11,592421.233,671384,5843.37634277344,1674505
2013,12,721224.533,672765,5792.9398651123,1674505
2014,1,870879.084,674223,5834.8498840332,1674505
2014,2,772143.887,675671,5290.53483581543,1674505
