year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,731886,1203065,5286,1252000
2007,2,641935,1203850,3988.78,1252000
2007,3,596600,1204193,5294.27,1252000
2007,4,542223,1204875,6081.61,1252000
2007,5,534314,1205736,6851.14,1252000
2007,6,554889,1206604,7024.21,1252000
2007,7,621655,1207773,7589.05,1252000
2007,8,693108,1208654,7818.03,1252000
2007,9,771125,1209266,7317.51,1252000
2007,10,558806.091,1210496,7007.28,1252000
2007,11,610125.092,1209946,6267.03,1252000
2007,12,673148.327,1210636,4381.01,1252000
2008,1,733629.254,1210630,4376.28,1271000
2008,2,653484.222,1210770,4101.391,1271000
2008,3,621505.883,1211891,5637.17,1271000
2008,4,556849.456,1211703,5735.13,1271000
2008,5,556771.733,1211829,6035.94,1271000
2008,6,592508.073,1212428,6505.93,1271000
2008,7,673049.459,1212921,7291.67,1271000
2008,8,667029.8,1213689,7234.4,1271000
2008,9,727033.736,1214625,6514.44,1271000
2008,10,669508.011,1214973,6521.29,1271000
2008,11,600706.062,1216738,5225.87,1271000
2008,12,646392.436,1217156,3964.051,1271000
2009,1,717746.558,1217423,4681.21,1282000
2009,2,623226.115,1217751,4022.65,1282000
2009,3,586258.219,1218391,4953.37,1282000
2009,4,560323.853,1219076,4975.36,1282000
2009,5,563281.8,1219513,5485.43,1282000
2009,6,554013.447,1220726,5400.57,1282000
2009,7,626399.224,1221255,6126.99,1282000
2009,8,692182.863,1222579,6261.29,1282000
2009,9,747546.847,1223088,6159.45,1282000
2009,10,634863.957,1223731,5892.81,1282000
2009,11,579869.383,1225079,4500.97,1282000
2009,12,650370.096,1225514,4046.06,1282000
2010,1,705154.514,1225838,3671.76,1306000
2010,2,624157.469,1225909,3020.62,1306000
2010,3,583796.775,1226607,4016.49,1306000
2010,4,559518.77,1227496,4360.67,1306000
2010,5,516389.12,1228442,5648.44,1306000
2010,6,549783.958,1228632,5964.2,1306000
2010,7,592587.994,1229276,6053.47,1306000
2010,8,589359.581,1230047,6030.82,1306000
2010,9,685107.306,1230330,5431.1,1306000
2010,10,638931.962,1231161,4398.21,1306000
2010,11,588484.218,1231832,4132.34,1306000
2010,12,670887.034,1231724,3772.662,1306000
2011,1,723046.896,1232374,4125.87,1321000
2011,2,627075.95,1232563,3719.55,1321000
2011,3,608820.561,1233292,3796.86,1321000
2011,4,549924.199,1234035,4234.22,1321000
