year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,3073711.0,4699314,7052.0,2500000
2007,2,2398624.0,4020667,6017.0,2500000
2007,3,2481109.0,4646888,7032.0,2500000
2007,4,2119610.0,4399369,8959.0,2500000
2007,5,2374355.0,4729925,9653.0,2500000
2007,6,2468188.0,4506292,9797.0,2500000
2007,7,2894103.0,4589655,9918.0,2500000
2007,8,2866101.0,4707602,10149.0,2500000
2007,9,2867211.0,4426960,9603.0,2500000
2007,10,2410797.0,4923333,9757.0,2500000
2007,11,2170261.0,4378303,9618.0,2500000
2007,12,2624812.657,4505666,9412.0,2500000
2008,1,3147230.417,4979071,6359.0,2500000
2008,2,2540428.845,4301262,5629.0,2500000
2008,3,2398198.815,4565278,6862.0,2500000
2008,4,2242818.159,4543902,8340.0,2500000
2008,5,2270210.338,4541171,9965.0,2500000
2008,6,2476881.173,4588016,10029.0,2500000
2008,7,3092785.744,4791384,10469.0,2500000
2008,8,2888408.639,4628140,10243.0,2500000
2008,9,2944203.741,4546611,9814.0,2500000
2008,10,2551220.137,5021677,9946.0,2500000
2008,11,1938382.637,3974401,7902.0,2500000
2008,12,2924582.938,4981622,7273.0,2500000
2009,1,2808056.419,4366172,6361.0,2500000
2009,2,2378589.939,4123836,6085.0,2500000
2009,3,2474521.284,4578435,6087.0,2500000
2009,4,2361342.645,4737324,7540.0,2500000
2009,5,2174314.025,4409957,9523.0,2500000
2009,6,2537772.061,4758519,9136.0,2500000
2009,7,2989250.573,4798330,9718.0,2500000
2009,8,2909399.636,4594887,9379.0,2500000
2009,9,2888709.165,4582437,8561.0,2500000
2009,10,2569451.481,4786120,8442.0,2500000
2009,11,2077063.56,4149524,6249.0,2500000
2009,12,3033701.341,5004807,6676.0,2500000
2010,1,2711217.708,4211948,4945.0,2500000
2010,2,2424032.0,4114819,5269.0,2500000
2010,3,2613164.705,4688327,6099.0,2500000
2010,4,2393288.857,4791594,6034.0,2500000
2010,5,2088754.821,4473974,7491.0,2500000
2010,6,2411044.167,4469510,8379.0,2500000
2010,7,2799658.703,4574274,9359.0,2500000
2010,8,2886081.424,4602402,9595.0,2500000
2010,9,2734920.514,4585220,9523.0,2500000
2010,10,2506367.431,4714999,8232.0,2500000
2010,11,2163608.802,4244989,6587.0,2500000
2010,12,3001322.806,4997457,5998.0,2500000
2011,1,2682343.835,4170039,5948.0,2600000
2011,2,2353936.1,4111861,5095.0,2600000
2011,3,2805467.876,5051066,5529.0,2600000
2011,4,2216282.061,4367036,6301.0,2600000
2011,5,2179618.604,4601001,7905.0,2600000
2011,6,2423049.704,4827050,7953.0,2600000
2011,7,2803534.596,4562354,8893.0,2600000
2011,8,2927955.344,4888409,8906.0,2600000
2011,9,2877529.251,4627319,8262.0,2600000
2011,10,2446371.643,4600762,7674.0,2600000
2011,11,2226957.045,4403172,6038.0,2600000
2011,12,2785732.452,4809702,5552.0,2600000
2012,1,3021676.753,4604042,5950.0,2600000
2012,2,2449650.378,4400637,5491.0,2600000
2012,3,2539143.691,4836372,6171.0,2600000
2012,4,2201979.017,4410308,6659.0,2600000
2012,5,2376014.766,4847942,8488.0,2600000
2012,6,2476684.578,4642854,9132.0,2600000
2012,7,2766092.29,4640159,9782.0,2600000
2012,8,3204687.0,5013857,9964.0,2600000
2012,9,2657022.623,4333438,9162.0,2600000
2012,10,2549865.034,4806508,7702.0,2600000
2012,11,2145382.071,4353504,5641.0,2600000
2012,12,2498049.12,4342592,5133.0,2600000
2013,1,3085136.948,4789187,5249.0,2600000
2013,2,2385180.0,4136032,5220.0,2600000
2013,3,2426034.0,4778173,7192.0,2600000
2013,4,2023535.0,4389564,7269.0,2600000
2013,5,2320647.0,4799070,9561.0,2600000
2013,6,2438492.0,4565490,9987.0,2600000
2013,7,3109366.0,4614973,9850.0,2600000
2013,8,2896060.0,4791171,10115.0,2600000
2013,9,2673917.0,4338967,9516.0,2600000
2013,10,2381701.0,5002495,8017.0,2600000
2013,11,1944421.0,4115489,5853.0,2600000
2013,12,2790884.0,4786945,5821.0,2600000
2014,1,2685650.0,4563299,6381.0,2600000
2014,2,2194165.0,4116480,7384.0,2600000
2014,3,2174585.0,4572234,8734.0,2600000
2014,4,2059569.0,4576895,7163.0,2600000
2014,5,2110699.0,4578533,9234.0,2600000
2014,6,2461787.0,4585859,9504.0,2600000
2014,7,3004287.0,4806554,8542.0,2600000
2014,8,2992717.0,4528859,8016.0,2600000
2014,9,2718382.0,4439844,7445.0,2600000
2014,10,2524598.0,5029192,6861.0,2600000
2014,11,1878777.0,4110381,5830.0,2600000
2014,12,2483866.0,4817220,5050.0,2600000
2015,1,2525774.0,4449564,5315.0,2600000
2015,2,2022918.0,4030701,5165.0,2600000
2015,3,2095427.0,4670578,8361.0,2600000
2015,4,1854392.0,4446028,9767.0,2600000
2015,5,1850166.0,4446971,8745.0,2600000
2015,6,2281356.0,4472649,6432.0,2600000
2015,7,2904697.0,4839590,6959.0,2600000
2015,8,2595856.0,4206728,7433.0,2600000
2015,9,2651892.0,4421554,7886.0,2600000
2015,10,2309614.0,4634049,8782.0,2600000
2015,11,1836091.0,3977338,5215.0,2600000
2015,12,2630798.0,4840659,7361.0,2600000
2016,1,2575637.0,4377453,5549.0,2700000
2016,2,2021718.0,4013157,4649.0,2700000
2016,3,2141600.0,4854756,5258.0,2700000
2016,4,1758847.0,4203687,5479.0,2700000
2016,5,1824707.0,4435701,6585.0,2700000
