year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,2706607,4196075,1131,336833
2007,2,2074045,4199532,983,336833
2007,3,2259039,4203974,1240,336833
2007,4,1998178,4205858,1124,336833
2007,5,2157765,4209046,1333,336833
2007,6,2295307,4211304,1333,336833
2007,7,2990387,4213239,1474,336833
2007,8,3414983,4216275,1458,336833
2007,9,3092172,4219673,1315,336833
2007,10,2414707,4222006,1202,336833
2007,11,2075489,4223461,1155,336833
2007,12,2345482,4223201,977,336833
2008,1,2765184,4225138,933,338494
2008,2,2245482,4226025,854,338494
2008,3,2088912,4227389,1073,338494
2008,4,2161327,4228574,1102,338494
2008,5,2122263,4230199,1171,338494
2008,6,2415652,4229979,1300,338494
2008,7,3335036,4231814,1203,338494
2008,8,3090857,4234586,1363,338494
2008,9,3189443,4235434,1250,338494
2008,10,2672306,4236806,1276,338494
2008,11,1925242,4238904,1075,338494
2008,12,2631610,4238472,922,338494
2009,1,2586814,4239917,971,341346
2009,2,2018743,4240756,807,341346
2009,3,2292020,4241916,1036,341346
2009,4,2067434,4243322,1112,341346
2009,5,2062009,4244726,1221,341346
2009,6,2373236,4244227,1150,341346
2009,7,3010583,4246289,1311,341346
2009,8,3113718,4246903,1302,341346
2009,9,3263306,4249210,1218,341346
2009,10,2594629,4251284,1118,341346
2009,11,1974199,4253084,1029,341346
2009,12,2625284,4254722,903,341346
2010,1,2393908,4257952,863,325427
2010,2,2078846,4261616,760,325427
2010,3,2388037,4262639,957,325427
2010,4,2069580,4265434,975,325427
2010,5,1861408,4268406,1123,325427
2010,6,2325713,4268865,1172,325427
2010,7,2659295,4271284,1247,325427
2010,8,2948844,4273092,1261,325427
2010,9,2878812,4275203,1167,325427
2010,10,2475006,4277010,982,325427
2010,11,2114748,4277562,902,325427
2010,12,2553581,4278028,858,325427
2011,1,2577853,4279622,865,328571
2011,2,1975245,4281866,810,328571
2011,3,2449559,4283800,887,328571
2011,4,2041452,4285161,960,328571
2011,5,2015461,4286419,1112,328571
2011,6,2224047,4287694,1145,328571
2011,7,2709444,4288397,1260,328571
2011,8,3185123,4289954,1275,328571
2011,9,3102627,4292186,1156,328571
2011,10,2320916,4292305,1004,328571
2011,11,2166596,4293782,917,328571
2011,12,2541831,4294667,921,328571
2012,1,2505696,4294771,926,331222
2012,2,2096699,4299236,870,331222
2012,3,2264006,4301409,922,331222
2012,4,2027367,4302820,896,331222
2012,5,2170972,4303957,1108,331222
2012,6,2371434,4300523,1180,331222
2012,7,2765813,4306490,1214,331222
2012,8,3607280,4308880,1279,331222
2012,9,3261089,4308879,1212,331222
2012,10,2998343,4311584,1106,331222
2012,11,2116265,4314030,1006,331222
2012,12,2312743,4314448,817,331222
2013,1,2759205,4316670,896,334538
2013,2,2057029,4318404,842,334538
2013,3,2138934,4319558,1014,334538
2013,4,2035491,4323466,1057,334538
2013,5,2186457,4326420,1163,334538
2013,6,2283256,4325927,1162,334538
2013,8,2988488,4328632,1249,334538
2013,9,3298120,4332767,1182,334538
2013,11,1877103,4335381,993,334538
2013,12,2390330,4338158,919,334538
2014,1,2546258,4341946,998,334398
2014,2,1884271,4344167,853,334398
2014,3,1953269,4346106,943,334398
2014,4,2079033,4347404,1033,334398
2014,5,2139326,4347470,1241,334398
2014,6,2511313,4352216,1200,334398
2014,7,3160061,4353019,1233,334398
2014,8,3185401,4352946,1190,334398
2014,9,3367871,4355385,1146,334398
2014,10,2899063,4360367,1100,334398
2014,11,1802196,4360200,958,334398
2014,12,2444354,4363072,808,334398
2015,1,2437338,4362737,861,334472
2015,2,1821147,4365374,826,334472
2015,3,2119058,4369402,962,334472
2015,4,2010263,4371664,971,334472
2015,5,1881419,4372406,925,334472
2015,6,2356596,4375513,945,334472
2015,7,3110554,4377562,974,334472
2015,8,3051053,4379984,1003,334472
2015,9,3544619,4382455,930,334472
2015,10,3100030,4380791,954,334472
2015,11,2089589,4385382,866,334472
2015,12,2522118,4387766,824,334472
2016,7,3055491,4403609,1055,334953
2016,8,3834417,4404083,1052,334953
2016,9,2999448,4407490,981,334953
2016,10,2423069,4410047,936,334953
2016,11,2032715,4412358,848,334953
2016,12,2362090,4412456,790,334953
2017,1,2440068,4417363,729,334136
2017,2,2003740,4418880,664,334136
2017,3,2251361,4422325,842,334136
2017,4,1719357,4427496,926,334136
2017,5,2132232,4422278,999,334136
2017,6,2520262,4429429,1016,334136
2017,7,3297674,4419164,1058,334136
2017,8,3795426,4434375,1064,334136
2017,9,3319857,4433865,1011,334136
2017,10,2442766,4438579,1018,334136
2017,11,2111592,4441896,899,334136
2017,12,2145921,4443179,923,334136
2018,1,2341629,4362915,847,334136
2018,2,1732174,4364416,806,334136
2018,3,3019932,4357870,822,334136
2018,4,1488548,4358367,954,334136
2018,5,2478320,4348795,994,334136
2018,6,2124441,4351079,996,334136
2018,7,3659349,4352069,1123,334136
2018,8,5299120,4354801,1130,334136
2018,9,1441710,4355258,1025,334136
2018,10,2538868,4358089,977,334136
2018,11,1840299,4364823,895,334136
2018,12,2360765,4364201,770,334136
