year,month,elecuse,elecuse_population,wateruse,wateruse_population
2010,1,375686.565,358614,3256.87,1300000
2010,2,360901.036,358615,2923.52,1300000
2010,3,322281.394,358650,3187.58,1300000
2010,4,270842.706,358976,3125.89,1300000
2010,5,273705.809,359063,3442.96,1300000
2010,6,217084.869,359093,3539.96,1300000
2010,7,207428.686,359287,5137.51,1300000
2010,8,191637.994,359415,5161.12,1300000
2010,9,187327.927,359298,3594.88,1300000
2010,10,182245.829,359326,3372.85,1300000
2010,11,212470.2,359406,3242.55,1300000
2010,12,292963.311,359655,3239.89,1300000
2011,1,377097.724,360033,3254.65,1300000
2011,2,358041.444,360163,2894.05,1300000
2011,3,372504.977,360426,3201.64,1300000
2011,4,323353.629,360454,3149.71,1300000
2011,5,281023.815,360259,3296.92,1300000
2011,6,232456.037,360289,3629.2,1300000
2011,7,208792.403,360352,4453.18,1300000
2011,8,184736.94,360396,5182.64,1300000
2011,9,183679.031,360614,4385.86,1300000
2011,10,179209.817,360730,3355.69,1300000
2011,11,216536.408,360782,3080.34,1300000
2011,12,278639.675,360808,3111.35,1300000
2012,1,372742.394,360987,3186.26,1300000
2012,2,382342.498,361383,2926.92,1300000
2012,3,363012.356,361426,3182.67,1300000
2012,4,303069.203,361485,3117.23,1300000
2012,5,266856.019,362153,3660.5,1300000
2012,6,217353.955,362305,3657.51,1300000
2012,7,209516.16,362628,4561.87,1300000
2012,8,181942.852,362575,5301.12,1300000
2012,9,181785.873,363094,4538.06,1300000
2012,10,177479.291,363325,3716.77,1300000
2012,11,213853.153,363325,3192.36,1300000
2012,12,276997.665,365604,3141.07,1300000
2013,1,371664.085,365952,3184.4,1300000
2013,2,377035.047,366095,2917.87,1300000
2013,3,367222.877,366170,3225.49,1300000
2013,4,294743.269,366664,3088.46,1300000
2013,5,254624.936,367024,3727.16,1300000
2013,6,206883.482,367204,4235.95,1300000
2013,7,198204.717,367944,5340.07,1300000
2013,8,182537.111,368464,5020.73,1300000
2013,9,185728.432,368735,3773.28,1300000
2013,10,184926.204,368965,3287.45,1300000
2013,11,224816.002,370023,3068.32,1300000
2013,12,289281.909,370804,3201.75,1300000
2014,1,389316.86,372052,3122.62,1300000
2014,2,386546.852,372208,2812.81,1300000
2014,3,370924.953,372560,3109.39,1300000
2014,4,280072.739,373029,3070.26,1300000
2014,5,239341.914,373805,3730.78,1300000
2014,6,207171.77,374378,4314.75,1300000
2014,7,182855.822,374641,5368.74,1300000
2014,8,171263.005,375006,5112.73,1300000
2014,9,192248.577,375616,4085.8,1300000
2014,10,225271.236,376827,3380.9,1300000
2014,11,164917.156,377275,3130.64,1300000
2014,12,280630.833,378040,3133.98,1300000
2015,1,332144.336,379017,3122.53,1300000
2015,2,305181.761,379075,2810.91,1300000
2015,3,307118.907,379524,3199.79,1300000
2015,4,291695.667,380247,3128.85,1300000
2015,5,237420.722,380842,3940.619,1300000
2015,6,195573.4,381235,5242.16,1300000
2015,7,200415.33,381746,5915.74,1300000
2015,8,190002.123,382337,5156.6,1300000
2015,9,174663.562,382768,3648.08,1300000
2015,10,183284.807,382981,3385.74,1300000
2015,11,178062.238,383232,3107.48,1300000
2015,12,300680.819,384019,3170.52,1300000
2016,1,337486.917,384320,3198.32,1400000
2016,2,292683.562,385223,2963.85,1400000
2016,3,285169.959,385489,3147.25,1400000
2016,4,213239.571,386089,3365.75,1400000
2016,5,195894.98,386304,4043,1400000
2016,6,188329.188,386733,4475.3,1400000
2016,7,196114.44,387509,4782.89,1400000
2016,8,197557.349,389339,5221.64,1400000
2016,9,189949.777,396387,3917.46,1400000
2016,10,237820.417,397122,3325.78,1400000
2016,11,299815.452,397577,3021.44,1400000
2016,12,399363.516,397211,3108.2,1400000
2017,1,369402.164,398056,3178.45,1400000
2017,2,376231.266,398476,2829.81,1400000
2017,3,412333.187,400585,3224.28,1400000
2017,4,309188.601,401634,3055.83,1400000
2017,5,278915.495,402812,3560.5,1400000
2017,6,214743.946,403189,4286.74,1400000
2017,7,183937.038,404467,5483.04,1400000
2017,8,204306.792,405850,5598.09,1400000
2017,9,181676.186,406485,4340.02,1400000
2017,10,216419.85,407457,3403.28,1400000
2017,11,200737.951,408071,3121.65,1400000
2017,12,286422.895,409571,3144.21,1400000
2018,1,373186.925,410954,3127.64,1400000
2018,2,318499.204,412605,2877.05,1400000
2018,3,352716.682,402345,3242.28,1400000
2018,4,309267.302,408227,3086.91,1400000
2018,5,244145.283,408560,4042.45,1400000
2018,6,227973.925,409415,4463.58,1400000
2018,7,185723.67,410762,5494.88,1400000
2018,8,203906.301,411812,5283.57,1400000
2018,9,162543.194,412617,3984.25,1400000
2018,10,211003.839,412951,3365.27,1400000
2018,11,201690.068,413411,3014.1,1400000
2018,12,277972.836,414305,3115.84,1400000
