year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,1295502.0,1027780,3588.0,548400
2007,2,1271208.0,1027169,3560.0,548400
2007,3,958174.0,1028829,3762.0,548400
2007,4,817792.0,1026034,3600.0,548400
2007,5,1121148.0,1024241,4253.0,548400
2007,6,1249950.0,1025472,4560.0,548400
2007,7,1415302.0,1027177,4454.0,548400
2007,8,1760940.0,1029012,5001.0,548400
2007,9,1233119.0,1029458,4230.0,548400
2007,10,901971.0,1027626,3829.0,548400
2007,11,913088.0,1026726,3655.0,548400
2007,12,1319534.0,1032494,3840.0,548400
2008,1,1426844.0,1034002,4007.0,550853
2008,2,1326185.0,1035464,3540.0,550853
2008,3,1225124.0,1028991,3693.0,550853
2008,4,837202.0,1029688,3698.0,550853
2008,5,791828.0,1034934,3958.0,550853
2008,6,1252192.0,1026583,4253.0,550853
2008,7,1414062.0,1032583,4667.0,550853
2008,8,1384288.0,1112398,4619.0,550853
2008,9,909575.0,1032257,4039.0,550853
2008,10,766526.0,1034955,3993.0,550853
2008,11,1029425.0,1034289,3542.0,550853
2008,12,1540462.0,1033887,3610.0,550853
2009,1,1541699.0,1034026,3679.0,552566
2009,2,1127489.0,1035117,3254.0,552566
2009,3,1028205.0,1037222,3583.0,552566
2009,4,875421.0,1033148,3407.0,552566
2009,5,844051.0,1031291,3754.0,552566
2009,6,1325103.0,1032994,4079.0,552566
2009,7,1227161.0,1030950,4184.0,552566
2009,8,1288053.0,1033718,4195.0,552566
2009,9,876951.0,1033177,3808.0,552566
2009,10,828574.0,1032325,3566.0,552566
2009,11,937128.0,1033132,3391.0,552566
2009,12,1513496.0,1033238,3342.0,552566
2010,1,1653949.0,1037869,2811.0,512438
2010,2,1353634.0,1037805,2951.0,512438
2010,3,1048564.0,1034647,3184.0,512438
2010,4,754883.0,1037406,3163.0,512438
2010,5,909361.0,1033774,3771.0,512438
2010,6,1454410.0,1033958,3649.0,512438
2010,7,1645214.0,1032948,4106.0,512438
2010,8,1626290.0,1036129,3855.0,512438
2010,9,936183.0,1035392,3656.0,512438
2010,10,783982.0,1032251,3537.0,512438
2010,11,907360.0,1036499,2935.0,512438
2010,12,1566079.0,1036412,3129.0,512438
2011,1,1569878.0,1037449,3290.0,513976
2011,2,1215523.0,1037818,2974.0,513976
2011,3,1063284.0,1038002,2820.0,513976
2011,4,748345.0,1034604,3047.0,513976
2011,5,906338.0,1034651,3418.0,513976
2011,6,1287497.0,1033844,4115.0,513976
2011,7,1809530.0,1033004,3751.0,513976
2011,8,1498375.0,1035350,3414.0,513976
2011,9,836259.0,1033792,2595.0,513976
2011,10,725950.0,1031672,2524.0,513976
2011,11,922682.0,1032082,2503.0,513976
2011,12,1283288.0,1032311,3115.0,513976
2012,1,1312554.0,1036745,3461.0,515270
2012,2,1088161.836,1036101,3157.0,515270
2012,3,872612.042,1037888,3392.0,515270
2012,4,685706.658,1034731,3525.0,515270
2012,5,1040540.131,1035343,3695.0,515270
2012,6,1321075.454,1034371,4079.0,515270
2012,7,1834816.516,1035962,5818.0,515270
2012,8,1358692.142,1040081,4330.0,515270
2012,9,837612.575,1036800,3786.0,515270
2012,10,805920.463,1034761,3584.0,515270
2012,11,959856.885,1034700,3179.0,515270
2012,12,1267647.237,1037111,3242.0,515270
2013,1,1418691.533,1039506,3218.0,516435
2013,2,1167607.468,1039662,2928.0,516435
2013,3,1215669.608,1041217,3190.0,516435
2013,4,828625.276,1040617,3186.0,516435
2013,5,890629.422,1036249,3010.0,516435
2013,6,1144356.622,1039140,3280.0,516435
2013,7,1298341.886,1039399,4092.0,516435
2013,8,1272224.567,1037449,4400.0,516435
2013,9,1007733.274,1037676,4098.0,516435
2013,10,834251.07,1036915,3683.0,516435
2013,11,1026481.635,1038014,3172.0,516435
2013,12,1457136.993,1041385,3414.0,516435
2014,1,1639840.606,1042431,3741.0,517199
2014,2,1389498.66,1042941,3629.0,517199
2014,3,1153103.922,1044864,3605.0,517199
2014,4,742660.823,1042425,3359.0,517199
2014,5,930820.414,1039624,3981.0,517199
2014,6,1222734.311,1038172,3945.0,517199
2014,7,1189886.482,1041796,4626.0,517199
2014,8,1345521.557,1038584,4422.0,517199
2014,9,865189.6,1039755,3870.0,517199
2014,10,751899.657,1039220,3711.0,517199
2014,11,1095739.49,1040280,3258.0,517199
2014,12,1322371.644,1043038,3308.0,517199
2015,1,1459586.617,1044133,3460.0,517063
2015,2,1379622.207,1045951,3166.0,517063
2015,3,1066150.083,1046008,3532.0,517063
2015,4,673657.21,1043004,3332.0,517063
2015,5,834372.924,1041952,3392.0,517063
2015,6,1185316.351,1041672,3476.0,517063
2015,7,1344585.144,1041472,4124.0,517063
2015,8,1234391.473,1043148,4341.0,517063
2015,9,1008425.922,1043668,4089.0,517063
2015,10,728371.261,1041909,4090.0,517063
2015,11,843060.26,1043772,3825.0,517063
2015,12,1145693.274,1046546,3757.0,517063
2016,1,1444335.645,1047757,3857.0,514622
2016,2,1135616.759,1048737,3662.0,514622
2016,3,897408.767,1048444,3774.0,514622
2016,4,722970.988,1047151,3522.0,514622
2016,5,795121.771,1046888,3804.0,514622
2016,6,1380501.301,1046833,4800.0,514622
2016,7,1436784.805,1041472,4489.0,514622
